"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Annotation"
"TNXB",0,2.27852064810396,0.719,0.053,0,"Fibroblasts"
"PMP22",0,2.24611312750249,0.877,0.226,0,"Fibroblasts"
"COL6A2",0,2.23004492979608,0.916,0.182,0,"Fibroblasts"
"RARRES2",0,2.21943038198464,0.763,0.125,0,"Fibroblasts"
"CTSK",0,2.21366715685196,0.7,0.057,0,"Fibroblasts"
"SCARA5",0,2.17364216048173,0.7,0.023,0,"Fibroblasts"
"OLFML3",0,2.11339605892391,0.691,0.04,0,"Fibroblasts"
"EFEMP1",0,2.09313486763152,0.866,0.159,0,"Fibroblasts"
"PCOLCE2",0,2.08155083953083,0.629,0.071,0,"Fibroblasts"
"MT1M",0,2.07979460084858,0.723,0.198,0,"Fibroblasts"
"WISP2",0,2.02397912054377,0.728,0.117,0,"Fibroblasts"
"PTGDS",0,1.98449879046286,0.439,0.078,0,"Fibroblasts"
"MT1A",0,1.96991707940478,0.445,0.058,0,"Fibroblasts"
"MYOC",0,1.96570714956121,0.377,0.017,0,"Fibroblasts"
"ABI3BP",0,1.95928356206404,0.709,0.074,0,"Fibroblasts"
"OGN",0,1.94628827578116,0.883,0.159,0,"Fibroblasts"
"TIMP1",0,1.92867307998858,0.993,0.68,0,"Fibroblasts"
"MT2A",0,1.92102066657901,0.989,0.809,0,"Fibroblasts"
"CPE",0,1.90959882536954,0.744,0.12,0,"Fibroblasts"
"COL6A1",0,1.90514549935839,0.776,0.128,0,"Fibroblasts"
"HTRA3",0,1.90504717077262,0.505,0.02,0,"Fibroblasts"
"PODN",0,1.89557517523199,0.637,0.032,0,"Fibroblasts"
"S100A13",0,1.85169648817775,0.831,0.211,0,"Fibroblasts"
"CXCL14",0,1.79643257988224,0.291,0.01,0,"Fibroblasts"
"GPRC5A",0,1.79505214643215,0.576,0.055,0,"Fibroblasts"
"UGDH",0,1.79221808989641,0.553,0.072,0,"Fibroblasts"
"ID3",0,1.7694755279163,0.818,0.314,0,"Fibroblasts"
"CST3",0,1.75839076528971,0.994,0.66,0,"Fibroblasts"
"RTN4",0,1.74406431285735,0.923,0.468,0,"Fibroblasts"
"OMD",0,1.72753133487983,0.648,0.074,0,"Fibroblasts"
"EMP1",0,1.71382122230604,0.755,0.17,0,"Fibroblasts"
"GAS1",0,1.70089011410627,0.514,0.018,0,"Fibroblasts"
"MYC",0,1.69637296967423,0.665,0.145,0,"Fibroblasts"
"MGP",0,1.684121344418,0.998,0.709,0,"Fibroblasts"
"CD34",0,1.67823521091192,0.614,0.063,0,"Fibroblasts"
"AKAP12",0,1.66995807951421,0.652,0.108,0,"Fibroblasts"
"ABCA8",0,1.66596646788526,0.514,0.024,0,"Fibroblasts"
"GNB2L1",0,1.66474217282248,0.793,0.212,0,"Fibroblasts"
"CRISPLD2",0,1.66248322667747,0.548,0.058,0,"Fibroblasts"
"TSKU",0,1.65832758636298,0.471,0.023,0,"Fibroblasts"
"LAPTM4A",0,1.65755638166514,0.958,0.549,0,"Fibroblasts"
"LGALS3BP",0,1.64341109438827,0.694,0.154,0,"Fibroblasts"
"NBL1",0,1.64160293549078,0.619,0.09,0,"Fibroblasts"
"CEBPD",0,1.62665837785424,0.856,0.382,0,"Fibroblasts"
"CYBRD1",0,1.61978120910254,0.649,0.117,0,"Fibroblasts"
"C10orf10",0,1.60962828920769,0.318,0.05,0,"Fibroblasts"
"LRP1",0,1.59969505341506,0.678,0.162,0,"Fibroblasts"
"MEDAG",0,1.59474508141712,0.524,0.041,0,"Fibroblasts"
"C1QTNF3",0,1.58793415732267,0.431,0.014,0,"Fibroblasts"
"PTPRS",0,1.57673609464802,0.343,0.021,0,"Fibroblasts"
"FBLN5",0,1.56591723904666,0.697,0.125,0,"Fibroblasts"
"CFH",0,1.56114548927561,0.65,0.115,0,"Fibroblasts"
"MT1X",0,1.55991576741682,0.752,0.387,0,"Fibroblasts"
"VIMP",0,1.55936980349413,0.578,0.091,0,"Fibroblasts"
"LXN",0,1.52535452131655,0.454,0.08,0,"Fibroblasts"
"ITM2A",0,1.52505580009506,0.692,0.213,0,"Fibroblasts"
"SFRP1",0,1.5224140708303,0.396,0.021,0,"Fibroblasts"
"PLAT",0,1.51956932535129,0.548,0.064,0,"Fibroblasts"
"LHFP",0,1.50953600415643,0.512,0.049,0,"Fibroblasts"
"LEPR",0,1.50174973534189,0.506,0.051,0,"Fibroblasts"
"CYP4B1",0,1.48948685867874,0.436,0.029,0,"Fibroblasts"
"PTGIS",0,1.47647078569133,0.599,0.086,0,"Fibroblasts"
"WBP5",0,1.46747905711394,0.539,0.08,0,"Fibroblasts"
"CD248",0,1.46648240277145,0.45,0.022,0,"Fibroblasts"
"FGFR1",0,1.45172119153355,0.57,0.086,0,"Fibroblasts"
"PHGDH",0,1.42799639357545,0.516,0.047,0,"Fibroblasts"
"SELM",0,1.42796831892225,0.744,0.137,0,"Fibroblasts"
"PROCR",0,1.42723475635714,0.465,0.065,0,"Fibroblasts"
"PRRX1",0,1.4266675641969,0.514,0.043,0,"Fibroblasts"
"REXO2",0,1.42482952970187,0.697,0.215,0,"Fibroblasts"
"CTSF",0,1.41787991486319,0.533,0.08,0,"Fibroblasts"
"EPHX1",0,1.3981441298952,0.573,0.116,0,"Fibroblasts"
"AEBP1",0,1.39543621514608,0.733,0.155,0,"Fibroblasts"
"LTBP4",0,1.39098478367847,0.582,0.1,0,"Fibroblasts"
"SEPP1",0,1.38938887609945,0.661,0.09,0,"Fibroblasts"
"MXRA8",0,1.38855455278046,0.518,0.049,0,"Fibroblasts"
"HTRA1",0,1.38848439899134,0.573,0.112,0,"Fibroblasts"
"CD63",0,1.38189678412799,0.991,0.738,0,"Fibroblasts"
"DPT",0,1.37442156548824,0.36,0.022,0,"Fibroblasts"
"C11orf96",0,1.3615305482054,0.601,0.135,0,"Fibroblasts"
"SPARC",0,1.35622146488075,0.772,0.236,0,"Fibroblasts"
"PDPN",0,1.35610481704512,0.44,0.024,0,"Fibroblasts"
"NR4A1",0,1.33666809734227,0.763,0.357,0,"Fibroblasts"
"FSTL3",0,1.33576155832405,0.456,0.053,0,"Fibroblasts"
"F3",0,1.33097765263083,0.381,0.05,0,"Fibroblasts"
"AXL",0,1.33067735590148,0.512,0.13,0,"Fibroblasts"
"F10",0,1.32944979462419,0.458,0.035,0,"Fibroblasts"
"SMIM14",0,1.30895460061631,0.594,0.154,0,"Fibroblasts"
"STEAP1",0,1.28427269440949,0.401,0.021,0,"Fibroblasts"
"SPOCK1",0,1.2828107588509,0.424,0.018,0,"Fibroblasts"
"SPTSSA",0,1.26979495892256,0.594,0.176,0,"Fibroblasts"
"SEP15",0,1.26955184445665,0.537,0.101,0,"Fibroblasts"
"COL1A1",0,1.26907782811378,0.391,0.063,0,"Fibroblasts"
"ANXA2",0,1.26654243002735,0.936,0.621,0,"Fibroblasts"
"VASN",0,1.25946719076389,0.419,0.042,0,"Fibroblasts"
"TWIST2",0,1.25764398544724,0.393,0.018,0,"Fibroblasts"
"NFIA",0,1.24970819339059,0.628,0.161,0,"Fibroblasts"
"C16orf89",0,1.2446690383338,0.407,0.032,0,"Fibroblasts"
"COL6A3",0,1.24340600128912,0.411,0.036,0,"Fibroblasts"
"NGFRAP1",0,1.23988823063377,0.499,0.085,0,"Fibroblasts"
"SLIT2",0,1.23471409786818,0.395,0.02,0,"Fibroblasts"
"TMEM59",0,1.2227568489979,0.906,0.561,0,"Fibroblasts"
"SOD2",0,1.22060175206422,0.781,0.385,0,"Fibroblasts"
"COL3A1",0,1.21573674118398,0.392,0.079,0,"Fibroblasts"
"ANGPTL1",0,1.20924846336749,0.386,0.033,0,"Fibroblasts"
"CADM3",0,1.20653435512554,0.383,0.01,0,"Fibroblasts"
"PIM1",0,1.20361467243039,0.495,0.14,0,"Fibroblasts"
"TIMP2",0,1.2000536414569,0.638,0.209,0,"Fibroblasts"
"SPON2",0,1.19766384428365,0.509,0.083,0,"Fibroblasts"
"GLTSCR2",0,1.1941712228787,0.557,0.128,0,"Fibroblasts"
"TNFAIP6",0,1.18643779388435,0.308,0.048,0,"Fibroblasts"
"NENF",0,1.18517979855763,0.631,0.211,0,"Fibroblasts"
"TGFBR3",0,1.18096230393867,0.445,0.055,0,"Fibroblasts"
"MT1E",0,1.17618359708344,0.795,0.306,0,"Fibroblasts"
"TFPI",0,1.17338829744299,0.774,0.188,0,"Fibroblasts"
"EID1",0,1.16861025042091,0.901,0.513,0,"Fibroblasts"
"IFITM3",0,1.16413101277299,0.983,0.574,0,"Fibroblasts"
"VIT",0,1.16199618623742,0.352,0.009,0,"Fibroblasts"
"ABCA6",0,1.15988594379254,0.379,0.027,0,"Fibroblasts"
"HSD11B1",0,1.15480800355409,0.352,0.011,0,"Fibroblasts"
"LAMA2",0,1.15300235208072,0.364,0.018,0,"Fibroblasts"
"MT1G",0,1.14564571489374,0.221,0.041,0,"Fibroblasts"
"ADD3",0,1.14518310284438,0.528,0.116,0,"Fibroblasts"
"NUCB2",0,1.14119958419846,0.62,0.21,0,"Fibroblasts"
"SEMA3C",0,1.13968804933054,0.333,0.027,0,"Fibroblasts"
"ANGPTL5",0,1.13847819598635,0.326,0.011,0,"Fibroblasts"
"ARL6IP5",0,1.13317509341394,0.854,0.482,0,"Fibroblasts"
"DDR2",0,1.13234861454561,0.412,0.048,0,"Fibroblasts"
"ECM1",0,1.13234313629519,0.381,0.038,0,"Fibroblasts"
"PDK4",0,1.12413746420236,0.55,0.237,0,"Fibroblasts"
"EFEMP2",0,1.11068681971553,0.472,0.078,0,"Fibroblasts"
"PID1",0,1.11048478933929,0.441,0.083,0,"Fibroblasts"
"DHRS3",0,1.10971912309657,0.443,0.136,0,"Fibroblasts"
"ALDH2",0,1.10757125233982,0.685,0.292,0,"Fibroblasts"
"PDGFRA",0,1.10590065145334,0.38,0.029,0,"Fibroblasts"
"LARP6",0,1.09497046670271,0.414,0.046,0,"Fibroblasts"
"ALDH1A1",0,1.09452769920038,0.497,0.124,0,"Fibroblasts"
"PBX1",0,1.09446531956668,0.426,0.057,0,"Fibroblasts"
"AKR1C1",0,1.09273093209532,0.333,0.033,0,"Fibroblasts"
"APP",0,1.09122650713609,0.655,0.227,0,"Fibroblasts"
"DDAH2",0,1.090807664906,0.667,0.276,0,"Fibroblasts"
"GSTM3",0,1.08750072304381,0.471,0.091,0,"Fibroblasts"
"DBN1",0,1.08748242909592,0.382,0.041,0,"Fibroblasts"
"PIGT",0,1.08619759306074,0.539,0.165,0,"Fibroblasts"
"TSHZ2",0,1.0846677962194,0.388,0.034,0,"Fibroblasts"
"FHL1",0,1.08087107356668,0.735,0.22,0,"Fibroblasts"
"FIBIN",0,1.07949777465249,0.426,0.072,0,"Fibroblasts"
"LIMA1",0,1.07699008123188,0.504,0.124,0,"Fibroblasts"
"LINC01133",0,1.07166743423322,0.311,0.015,0,"Fibroblasts"
"VKORC1",0,1.0716447664366,0.655,0.263,0,"Fibroblasts"
"QSOX1",0,1.07160462729718,0.478,0.138,0,"Fibroblasts"
"ELN",0,1.0662537506133,0.464,0.099,0,"Fibroblasts"
"MFGE8",0,1.06294284496402,0.849,0.254,0,"Fibroblasts"
"GFPT2",0,1.06129939370817,0.316,0.012,0,"Fibroblasts"
"CAB39L",0,1.05961312128742,0.368,0.037,0,"Fibroblasts"
"ABLIM1",0,1.05755308710271,0.43,0.065,0,"Fibroblasts"
"ISLR",0,1.05192210181031,0.403,0.04,0,"Fibroblasts"
"CNN3",0,1.04942744010133,0.625,0.177,0,"Fibroblasts"
"NFIB",0,1.04887605452863,0.512,0.126,0,"Fibroblasts"
"STEAP2",0,1.048358567327,0.309,0.014,0,"Fibroblasts"
"TSPAN4",0,1.04621540988404,0.568,0.191,0,"Fibroblasts"
"LDHA",0,1.04595959306696,0.895,0.614,0,"Fibroblasts"
"ZNF385A",0,1.04409996284416,0.334,0.071,0,"Fibroblasts"
"S100A10",0,1.04348165889678,0.946,0.73,0,"Fibroblasts"
"FXYD1",0,1.0364324082814,0.652,0.177,0,"Fibroblasts"
"AOX1",0,1.03561031285502,0.325,0.011,0,"Fibroblasts"
"MMP23B",0,1.03222152316079,0.358,0.045,0,"Fibroblasts"
"HSPB6",0,1.02994839895756,0.41,0.064,0,"Fibroblasts"
"TPPP3",0,1.02618619414346,0.261,0.052,0,"Fibroblasts"
"RBP1",0,1.02605442936257,0.41,0.087,0,"Fibroblasts"
"SEMA3B",0,1.02408299695626,0.334,0.024,0,"Fibroblasts"
"TCEB2",0,1.01936291982993,0.632,0.174,0,"Fibroblasts"
"PPIC",0,1.01835632461626,0.472,0.122,0,"Fibroblasts"
"SOCS3",0,1.01815153711773,0.69,0.353,0,"Fibroblasts"
"CERCAM",0,1.01784624258441,0.351,0.031,0,"Fibroblasts"
"NDN",0,1.01427536537811,0.393,0.052,0,"Fibroblasts"
"CYP1B1",0,1.01362564127223,0.336,0.059,0,"Fibroblasts"
"SPSB1",0,1.00591331377381,0.322,0.04,0,"Fibroblasts"
"C14orf2",0,1.00492744945429,0.639,0.177,0,"Fibroblasts"
"PRDX4",0,1.00189398844941,0.506,0.167,0,"Fibroblasts"
"ATP5J",0,1.00128015202536,0.534,0.136,0,"Fibroblasts"
"PTX3",0,0.999485900796721,0.192,0.024,0,"Fibroblasts"
"IGFBP7",0,0.99849762374021,0.954,0.424,0,"Fibroblasts"
"TMEM176A",0,0.996628216140726,0.391,0.106,0,"Fibroblasts"
"TNFRSF12A",0,0.995831889390249,0.481,0.146,0,"Fibroblasts"
"SRPX",0,0.989283441204038,0.379,0.071,0,"Fibroblasts"
"USP53",0,0.988769299708532,0.469,0.167,0,"Fibroblasts"
"CALU",0,0.988615448946435,0.521,0.167,0,"Fibroblasts"
"ATRAID",0,0.987532598818254,0.686,0.322,0,"Fibroblasts"
"CTGF",0,0.987483662815798,0.526,0.191,0,"Fibroblasts"
"GABARAPL1",0,0.985253941639669,0.603,0.239,0,"Fibroblasts"
"MESDC2",0,0.980288212467311,0.346,0.047,0,"Fibroblasts"
"GLT8D2",0,0.979080663722117,0.374,0.041,0,"Fibroblasts"
"FAM46A",0,0.976960697103176,0.284,0.021,0,"Fibroblasts"
"RCN3",0,0.97454832272269,0.363,0.048,0,"Fibroblasts"
"GALNT15",0,0.972848198868745,0.289,0.022,0,"Fibroblasts"
"PRKCDBP",0,0.972479984360404,0.522,0.097,0,"Fibroblasts"
"FKBP10",0,0.969031830182713,0.396,0.053,0,"Fibroblasts"
"S100A6",0,0.96331369802273,0.998,0.913,0,"Fibroblasts"
"ATP5I",0,0.962943424640275,0.583,0.164,0,"Fibroblasts"
"KRT10",0,0.959567338184386,0.599,0.235,0,"Fibroblasts"
"HIGD1A",0,0.959544323022307,0.505,0.167,0,"Fibroblasts"
"C10orf54",0,0.958426451016133,0.373,0.063,0,"Fibroblasts"
"SOD3",0,0.953734701121896,0.615,0.162,0,"Fibroblasts"
"TMEM176B",0,0.953528255482032,0.485,0.153,0,"Fibroblasts"
"LAMC1",0,0.95329640766244,0.373,0.057,0,"Fibroblasts"
"TMEM98",0,0.945450040711434,0.375,0.05,0,"Fibroblasts"
"HEXB",0,0.941254893612985,0.629,0.278,0,"Fibroblasts"
"SGCE",0,0.939328720408977,0.37,0.056,0,"Fibroblasts"
"SELK",0,0.933642406061619,0.482,0.126,0,"Fibroblasts"
"PLPP3",0,0.930090059014346,0.386,0.08,0,"Fibroblasts"
"ADI1",0,0.928283565734464,0.627,0.272,0,"Fibroblasts"
"SVEP1",0,0.921216879086961,0.262,0.011,0,"Fibroblasts"
"LRRN4CL",0,0.920242081954051,0.296,0.007,0,"Fibroblasts"
"ARID5B",0,0.918379981758086,0.736,0.37,0,"Fibroblasts"
"TSPAN8",0,0.910992966196134,0.252,0.018,0,"Fibroblasts"
"CYGB",0,0.910961296452664,0.272,0.017,0,"Fibroblasts"
"PTRF",0,0.909517187678366,0.475,0.095,0,"Fibroblasts"
"KLF10",0,0.907387982598151,0.493,0.209,0,"Fibroblasts"
"FMO2",0,0.906169760750068,0.361,0.095,0,"Fibroblasts"
"SHFM1",0,0.899797403856742,0.472,0.121,0,"Fibroblasts"
"ALDOA",0,0.897754175287354,0.628,0.233,0,"Fibroblasts"
"GSTM5",0,0.897435101882743,0.294,0.014,0,"Fibroblasts"
"CHPT1",0,0.891944729992381,0.403,0.112,0,"Fibroblasts"
"TPST1",0,0.889180563235978,0.317,0.03,0,"Fibroblasts"
"PLTP",0,0.888511273578014,0.679,0.225,0,"Fibroblasts"
"LOX",0,0.887429465037309,0.303,0.021,0,"Fibroblasts"
"RHOBTB3",0,0.886512023978026,0.335,0.052,0,"Fibroblasts"
"C1orf21",0,0.884834809218477,0.411,0.088,0,"Fibroblasts"
"SCPEP1",0,0.884398503490102,0.519,0.211,0,"Fibroblasts"
"OLFML1",0,0.884188237073661,0.298,0.016,0,"Fibroblasts"
"GEM",0,0.882507852878781,0.336,0.09,0,"Fibroblasts"
"NFIC",0,0.872692132032298,0.504,0.186,0,"Fibroblasts"
"CD59",0,0.872167148106982,0.783,0.347,0,"Fibroblasts"
"PNRC1",0,0.870734961722188,0.822,0.569,0,"Fibroblasts"
"PLXDC2",0,0.866634896794303,0.441,0.174,0,"Fibroblasts"
"OSR2",0,0.865015277692313,0.21,0.013,0,"Fibroblasts"
"CHRDL1",0,0.864691550648941,0.271,0.01,0,"Fibroblasts"
"MORF4L2",0,0.857102753322959,0.622,0.276,0,"Fibroblasts"
"PDLIM4",0,0.856168145221192,0.346,0.054,0,"Fibroblasts"
"TMEM45A",0,0.85232048939059,0.312,0.035,0,"Fibroblasts"
"RAB34",0,0.849498620048844,0.477,0.159,0,"Fibroblasts"
"ITM2B",0,0.846453724502034,0.986,0.812,0,"Fibroblasts"
"UCHL1",0,0.84300778135379,0.253,0.014,0,"Fibroblasts"
"THBS2",0,0.841415198556953,0.331,0.051,0,"Fibroblasts"
"EBF1",0,0.838638186147747,0.316,0.046,0,"Fibroblasts"
"MRC2",0,0.835358825626102,0.289,0.035,0,"Fibroblasts"
"SSR4",0,0.834522529624576,0.849,0.587,0,"Fibroblasts"
"PRCP",0,0.832419100640349,0.471,0.171,0,"Fibroblasts"
"P4HA2",0,0.828940304762969,0.306,0.041,0,"Fibroblasts"
"IGSF10",0,0.827317260287858,0.234,0.007,0,"Fibroblasts"
"TAX1BP3",0,0.82514459129672,0.461,0.166,0,"Fibroblasts"
"KDELR2",0,0.824703971037423,0.575,0.282,0,"Fibroblasts"
"GNG11",0,0.82447955880452,0.63,0.157,0,"Fibroblasts"
"ANG",0,0.822938120748994,0.347,0.082,0,"Fibroblasts"
"ATP5L",0,0.822649806565264,0.636,0.189,0,"Fibroblasts"
"CTSA",0,0.822361134205477,0.545,0.243,0,"Fibroblasts"
"ATP5H",0,0.820326885655826,0.417,0.105,0,"Fibroblasts"
"CES1",0,0.818376030593634,0.285,0.063,0,"Fibroblasts"
"COL14A1",0,0.818246368852747,0.312,0.061,0,"Fibroblasts"
"SCRG1",0,0.816715068709578,0.249,0.044,0,"Fibroblasts"
"OS9",0,0.812975082853643,0.58,0.282,0,"Fibroblasts"
"ANK2",0,0.812500384812962,0.241,0.01,0,"Fibroblasts"
"ATP5B",0,0.812063624618545,0.447,0.122,0,"Fibroblasts"
"CTTN",0,0.809938329514106,0.346,0.08,0,"Fibroblasts"
"CLEC11A",0,0.808104735299101,0.342,0.079,0,"Fibroblasts"
"CHPF",0,0.807841893935353,0.295,0.048,0,"Fibroblasts"
"FMOD",0,0.807007538016961,0.294,0.037,0,"Fibroblasts"
"MYDGF",0,0.806361491422347,0.602,0.312,0,"Fibroblasts"
"BACE2",0,0.803392971357893,0.32,0.058,0,"Fibroblasts"
"C19orf43",0,0.802772897138791,0.463,0.126,0,"Fibroblasts"
"SRPX2",0,0.802316223365265,0.268,0.014,0,"Fibroblasts"
"TUBB6",0,0.798189036056798,0.448,0.164,0,"Fibroblasts"
"ATP5O",0,0.79580097922472,0.481,0.137,0,"Fibroblasts"
"ERRFI1",0,0.79546351489923,0.378,0.103,0,"Fibroblasts"
"MYEOV2",0,0.793492401223133,0.424,0.111,0,"Fibroblasts"
"GSTP1",0,0.793119176208449,0.91,0.613,0,"Fibroblasts"
"CEBPB",0,0.791832640721477,0.703,0.367,0,"Fibroblasts"
"TCEB1",0,0.791375019124469,0.401,0.105,0,"Fibroblasts"
"ATP6V0E1",0,0.790046355258331,0.858,0.562,0,"Fibroblasts"
"P4HB",0,0.789656994188046,0.63,0.347,0,"Fibroblasts"
"SPTBN1",0,0.786739843773254,0.492,0.158,0,"Fibroblasts"
"LRPAP1",0,0.786633381818511,0.618,0.318,0,"Fibroblasts"
"METTL7A",0,0.783973066092373,0.387,0.144,0,"Fibroblasts"
"NPY1R",0,0.783375708261979,0.223,0.012,0,"Fibroblasts"
"ATP5D",0,0.778145587718183,0.441,0.121,0,"Fibroblasts"
"OAF",0,0.777936440681968,0.26,0.017,0,"Fibroblasts"
"RBMS3",0,0.775713076000991,0.302,0.054,0,"Fibroblasts"
"ARF4",0,0.77498166628051,0.648,0.353,0,"Fibroblasts"
"NFYB",0,0.771079411727462,0.285,0.061,0,"Fibroblasts"
"LINC00493",0,0.770922138047393,0.358,0.077,0,"Fibroblasts"
"SSPN",0,0.770471738251671,0.326,0.061,0,"Fibroblasts"
"SDF4",0,0.770418361639353,0.402,0.134,0,"Fibroblasts"
"PDIA3",0,0.770170197367373,0.734,0.453,0,"Fibroblasts"
"H2AFJ",0,0.767939962238467,0.636,0.323,0,"Fibroblasts"
"CPQ",0,0.767615047196973,0.424,0.154,0,"Fibroblasts"
"BICC1",0,0.76726855867135,0.236,0.011,0,"Fibroblasts"
"KLF9",0,0.766765992859021,0.498,0.211,0,"Fibroblasts"
"ADH5",0,0.763557898085296,0.497,0.199,0,"Fibroblasts"
"ATP5G3",0,0.762220237258246,0.416,0.108,0,"Fibroblasts"
"RABAC1",0,0.758903950726385,0.772,0.462,0,"Fibroblasts"
"C1GALT1C1",0,0.756979159331294,0.317,0.07,0,"Fibroblasts"
"TM2D1",0,0.756880924884456,0.44,0.162,0,"Fibroblasts"
"ADAMTS4",0,0.754878913850943,0.225,0.03,0,"Fibroblasts"
"RAI2",0,0.7547398178513,0.25,0.02,0,"Fibroblasts"
"RNH1",0,0.753674073567109,0.69,0.389,0,"Fibroblasts"
"ST3GAL4",0,0.752392649399851,0.294,0.044,0,"Fibroblasts"
"ATP5G1",0,0.751203592706055,0.346,0.082,0,"Fibroblasts"
"MPZL1",0,0.750936485645782,0.309,0.067,0,"Fibroblasts"
"CILP",0,0.748190457202339,0.184,0.006,0,"Fibroblasts"
"BSG",0,0.745650667607149,0.703,0.4,0,"Fibroblasts"
"CCPG1",0,0.745383170161666,0.474,0.197,0,"Fibroblasts"
"LMNA",0,0.74532138379095,0.885,0.567,0,"Fibroblasts"
"RSPO3",0,0.744787772873885,0.202,0.012,0,"Fibroblasts"
"POLR2J3",0,0.74474650951033,0.31,0.067,0,"Fibroblasts"
"ATPIF1",0,0.743655185406088,0.377,0.099,0,"Fibroblasts"
"CTHRC1",0,0.740593866089827,0.216,0.046,0,"Fibroblasts"
"C14orf166",0,0.739670788421275,0.384,0.099,0,"Fibroblasts"
"C7orf73",0,0.739177546810796,0.321,0.069,0,"Fibroblasts"
"PGRMC1",0,0.736355345936059,0.412,0.151,0,"Fibroblasts"
"LAMP1",0,0.733334475333207,0.554,0.27,0,"Fibroblasts"
"CKB",0,0.732555253248523,0.413,0.125,0,"Fibroblasts"
"RDH10",0,0.730014232620599,0.214,0.019,0,"Fibroblasts"
"USMG5",0,0.729400903230009,0.51,0.159,0,"Fibroblasts"
"NID1",0,0.728935125803765,0.252,0.025,0,"Fibroblasts"
"BCHE",0,0.728211509776487,0.219,0.012,0,"Fibroblasts"
"TRIP10",0,0.728161495191105,0.296,0.058,0,"Fibroblasts"
"PAM",0,0.727777385979335,0.38,0.103,0,"Fibroblasts"
"PLPP1",0,0.726275780254255,0.415,0.113,0,"Fibroblasts"
"NOVA1",0,0.726052827078511,0.228,0.015,0,"Fibroblasts"
"PCSK5",0,0.723486095340323,0.235,0.018,0,"Fibroblasts"
"POLR2L",0,0.723282492047623,0.861,0.579,0,"Fibroblasts"
"TNFRSF1A",0,0.72162648112778,0.48,0.209,0,"Fibroblasts"
