"","ciri2_ids","dcc_ids"
"81","chr5:167486001-167558250","chr17:5546407-5571375"
"82","chr12:628708-632694","chr17:694609-739440"
"83","chr4:133205267-133215619","chr6:144189453-144275272"
"84","chr10:96672236-96722491","chr13:83862000-83863692"
"85","chr14:85057352-85061960","chr8:117318623-117334586"
"86","chr13:101729059-101732557","chr8:104493052-104514522"
"87","chr9:1473647-1485363","chr1:253147925-253148277"
"88","chr8:127289436-127301219","chr10:48460656-48470732"
"89","chr9:67331634-67341341","chr3:140614866-140622850"
"90","chr9:70787138-70787910","chr18:44477275-44483422"
"91","chr12:24285582-24285875","chr8:60917720-60920949"
"92","chr1:127025462-127025957","chr2:24134222-24161334"
"93","chr4:66214543-66219277","chr1:177172066-177172263"
"94","chr17:37911319-37913118","chr7:25947789-25948397"
"95","chr3:175512077-175516165","chr7:120608346-120610489"
"96","chr4:66193731-66214585","chr18:63843748-63844188"
"97","chr3:94736244-94745177","chr1:204773090-204780713"
"98","chr3:150384228-150387116","chr16:20765038-20956663"
"99","chr9:75222546-75230161","chr6:27858538-27897891"
"100","chr5:105185997-105187360","chr5:6058283-6084027"
"101","chr14:45668936-45691895","chr8:118616528-118620855"
"102","chr4:66463926-66473208","chr7:140415139-140417547"
"103","chr2:2903491-2918203","chr11:24491881-24498116"
"104","chr13:109457218-109588736","chr11:34612627-34616155"
"105","chr10:4624614-4629886","chr6:29032002-29074704"
"106","chr10:48460656-48484868","chr1:136017017-136017482"
"107","chr8:26267895-26294259","chr1:221158192-221158255"
"108","chr17:86845723-86873000","chr18:307052-312848"
"109","chr10:95327724-95328546","chr14:82168512-82171569"
"110","chr2:227687641-227700240","chr1:150937283-150961642"
"111","chr8:26267895-26271172","chr14:106153575-106167943"
"112","chr1:128621052-128628362","chr10:49002448-49003062"
"113","chr1:259479327-259488326","chrMT:4478-4543"
"114","chr17:65855661-65896119","chr9:81204850-81208345"
"115","chr17:24032670-24045965","chr17:5555491-5571375"
"116","chr14:6612028-6622491","chr12:14654706-14703546"
"117","chr2:231078900-231128709","chr4:174810962-174816343"
"118","chr1:217779008-217782988","chr3:94360855-94363073"
"119","chr14:106153575-106167943","chr18:81170024-81208554"
"120","chr17:79761095-79789485","chr1:176920081-176920214"
"121","chr8:23508992-23560371","chr5:103106261-103201011"
"122","chr5:172949060-172965700","chr18:27261576-27278436"
"123","chr2:23399715-23410608","chr1:261347528-261350203"
"124","chr2:62955690-62956953","chr10:38622808-38633058"
"125","chr17:79563596-79575914","chr7:73684650-73698020"
"126","chr12:51582921-51584301","chr13:98386342-98403224"
"127","chr5:75968777-75975620","chr5:75999930-76011558"
"128","chr19:22113525-22179584","chr9:1473647-1485363"
"129","chr18:69642130-69657373","chr17:2928274-3717786"
"130","chr6:43309180-43321981","chr8:125047301-125047441"
"131","chr3:133108204-133122763","chr12:15075273-15098764"
"132","chr15:41008529-41011344","chrX:118538895-118550021"
"133","chr10:77765225-77772738","chr13:51584446-51584674"
"134","chr13:81156728-81162420","chr1:222763689-222775140"
"135","chr10:66595570-66597359","chr19:17493068-17494680"
"136","chr12:5733574-5773035","chr14:33452541-33543244"
"137","chr18:81418662-81428974","chr8:46716191-46730691"
"138","chr9:38321692-38326937","chr4:96739878-96745521"
"139","chr4:87186852-87193410","chr14:37238505-37254001"
"140","chr14:69800154-69819258","chr1:177569617-177569872"
"141","chr14:4154610-4182331","chr4:27549175-27563899"
"142","chr1:253120469-253134791","chr15:23840157-23853169"
"143","chr14:79953865-79974054","chr13:85397122-85399509"
"144","chr8:130006477-130031678","chr1:166378662-166385907"
"145","chr2:188301023-188309036","chr3:123072945-123073059"
"146","chr3:80718406-80732927","chr1:221157349-221157418"
"147","chr3:60744743-60756038","chr18:57070638-57071680"
"148","chr8:116609560-116615939","chr12:47286246-47286938"
"149","chr12:24271680-24273857","chr2:113177840-113198013"
"150","chr5:144904225-144907761","chr5:135354650-135359472"
"151","chr12:24513410-24524704","chr1:173253925-173347994"
"152","chr11:34612627-34614139","chr6:72392025-72430205"
"153","chr11:34612627-34631134","chr1:217835316-217844959"
"154","chr7:123685068-123715127","chr10:61882916-61885796"
"155","chr3:61781151-61813898","chr8:112777013-112778440"
"156","chr5:29851601-29865341","chr6:21301779-21323737"
"157","chr5:168944838-168991261","chr7:142876375-142876464"
"158","chr10:13767446-13810899","chrX:984901-990236"
"159","chrX:71965794-71972395","chr18:81724770-81726644"
"160","chr2:34574151-34576926","chr11:31943121-31955266"
"161","chr9:11217254-11219449","chr19:25886356-25886887"
"162","chr9:73752937-73799430","chr14:69800154-69819258"
"163","chr7:97702398-97703700","chr1:88145614-88147210"
"164","chr13:69077866-69083366","chr20:27756685-27757153"
"165","chr2:197722898-197836197","chr17:55367271-55374136"
"166","chr7:123600187-123652318","chr8:56585375-56590733"
"167","chr8:87268950-87273285","chr14:54840654-54869803"
"168","chr1:78369712-78370333","chr1:143143055-143143524"
"169","chr4:64894605-64899587","chr8:33312321-33335423"
"170","chr9:50892486-50906966","chr9:92633470-92633974"
"171","chr4:82682367-82692626","chr5:157901413-157903058"
"172","chr1:217801085-217816442","chr17:79573257-79612177"
"173","chr1:218878878-218892208","chr19:52166168-52166499"
"174","chr5:12171585-12172003","chrX:157319616-157319683"
"175","chr16:3060713-3072642","chr1:141024396-141026781"
"176","chr18:48505040-48521166","chr3:62696762-62733674"
"177","chr5:12156802-12172003","chr9:113386175-113416653"
"178","chr2:188308301-188309036","chr5:57335882-57336829"
"179","chr19:39164242-39195019","chr1:6800132-6819230"
"180","chr5:144367260-144380803","chr17:87758882-87760775"
"181","chr18:24662368-24665851","chr9:10359261-10363595"
"182","chr13:101498614-101503027","chr16:85333905-85334060"
"183","chr1:36417425-36419485","chr7:123709341-123715127"
"184","chr4:127663314-127673795","chr9:113918918-113927885"
"185","chr15:108315938-108318732","chr1:177172061-177172258"
"186","chr5:148050939-148060187","chr1:89969184-89969839"
"187","chr6:22362488-22407626","chr17:9912158-9929565"
"188","chr5:136420692-136510629","chr7:28987514-28992637"
"189","chr7:129696842-129708614","chr3:119264196-119265879"
"190","chr1:12128638-12134025","chr6:49198513-49218570"
"191","chr10:48460656-48470732","chrX:157322647-157323317"
"192","chr2:34491467-34517560","chr5:7830490-7872679"
"193","chr1:220039308-220049075","chr3:150814608-150833140"
"194","chr5:127160496-127165240","chr1:260791756-260801171"
"195","chr10:13931236-13933066","chr4:168296980-168297373"
"196","chr8:129617811-129627374","chr5:127620259-127629649"
"197","chr1:142556681-142565170","chr5:76711755-76728269"
"198","chr1:222763689-222775140","chr1:104785950-104795565"
"199","chr18:44477275-44489940","chr2:166406958-166423542"
"200","chr6:10920914-10923681","chr19:22172781-22179584"
"201","chr10:55349536-55362785","chr19:22158621-22179584"
"202","chr7:64024698-64033477","chr20:8247936-8251825"
"203","chr2:226954949-226963787","chr16:40469880-40483041"
"204","chr9:112317485-112342454","chr17:52477332-52555114"
"205","chr2:113739689-113747247","chr3:61781151-61813898"
"206","chr12:5603316-5604016","chr1:192952650-192955267"
"207","chr1:114304821-114311513","chr4:31548414-31550688"
"208","chr5:90813890-90827570","chr14:43511710-43517916"
"209","chr2:33258536-33287948","chr1:221152613-221152815"
"210","chr13:76979427-77004245","chr20:4311414-4502852"
"211","chr7:120608346-120610489","chr1:150830996-150887461"
"212","chr1:204959173-204988430","chr8:71266628-71337745"
"213","chr15:23605382-23606634","chr8:39218756-39235362"
"214","chr2:140366057-140387503","chr10:106712126-106721811"
"215","chr1:206956299-206978733","chr2:252807923-252811538"
"216","chr5:136420698-136471341","chr4:170856780-170856940"
"217","chr12:5646166-5654694","chr12:9229552-9240810"
"218","chr11:38379650-38410172","chr12:5646166-5654694"
"219","chr4:5722369-5734607","chr5:166485517-166492515"
"220","chr6:136059672-136084622","chr6:10961830-11001179"
"221","chr10:106673704-106699402","chr17:43627537-43816993"
"222","chr10:110157631-110164041","chr1:278580846-278749829"
"223","chr4:8066905-8149019","chr1:253120469-253148277"
"224","chr7:74333372-74358584","chr15:24302102-24308087"
"225","chr6:72418120-72430205","chr5:167014847-167016955"
"226","chr5:100957656-100977901","chr1:221158125-221158234"
"227","chr16:2117271-2126628","chr2:86868285-86964272"
"228","chr2:34476081-34559392","chr2:209143856-209152642"
"229","chr17:58006111-58031197","chrX:71119280-71121063"
"230","chr17:694609-728329","chr11:34611539-34631134"
"231","chr2:248464229-248613351","chr9:45203455-45205627"
"232","chr6:49198513-49218570","chr20:19739535-19780300"
"233","chr1:201442093-201451005","chr2:247949321-247953356"
"234","chr3:33465220-33503687","chr3:160491308-160495240"
"235","chr17:29730437-29757605","chr6:137349485-137359178"
"236","chr5:159085217-159086263","chr9:75051555-75060794"
"237","chr15:51936366-51954838","chr7:141893813-141893860"
"238","chr9:112005677-112008516","chr18:77291625-77308494"
"239","chr18:59067798-59076998","chr2:187525295-187529234"
"240","chr10:92474821-92476192","chr14:46637992-46638180"
"241","chr2:22950023-22964734","chr16:2115374-2128403"
"242","chr14:83236400-83236920","chr18:36640589-36645658"
"243","chr17:5524117-5537540","chr2:113788385-113833233"
"244","chr3:2762162-2764477","chr5:155702728-155709264"
"245","chr12:5616151-5632155","chr5:36040325-36054615"
"246","chr14:71861197-71877488","chr13:105693583-105701842"
"247","chr2:11780889-11790870","chr1:265605456-265653628"
"248","chr2:33950934-33955969","chr20:18695007-18696965"
"249","chr18:73479863-73498648","chr1:274700623-274718538"
"250","chr17:79345740-79373256","chr13:78836820-78847234"
"251","chr19:42856166-42920390","chr6:136059672-136084622"
"252","chr4:27509136-27537918","chr7:129696842-129708614"
"253","chr2:188269009-188309036","chr6:43309180-43321981"
"254","chr18:307052-312848","chr18:32548750-32554731"
"255","chr2:27713879-27755789","chr8:100006687-100009017"
"256","chr13:56114438-56129496","chr17:85036937-85057912"
"257","chr5:167486001-167581074","chr2:38006903-38014366"
"258","chr10:48188215-48200848","chr9:46123188-46125984"
"259","chr13:86432220-86451001","chr14:4154610-4182331"
"260","chr1:234383455-234538951","chr2:188308301-188309036"
"261","chr13:25672724-25691066","chr17:5524117-5537540"
"262","chr3:123825681-123833222","chr9:43974886-43977575"
"263","chr12:9297691-9313769","chrX:4876505-4898806"
"264","chr10:110665498-110690679","chr14:79973875-79987917"
"265","chr2:247883196-247896160","chr13:85401003-85401929"
"266","chr7:29284390-29288495","chr11:57442466-57454443"
"267","chr11:69785001-69837765","chr18:72189808-72194387"
"268","chr2:127855809-127866380","chr11:69636827-69640718"
"269","chrX:51713405-51794841","chr1:249715150-249787629"
"270","chr1:87096526-87100953","chr4:66463926-66473208"
"271","chr18:1318740-1340371","chr4:133073964-133094100"
"272","chr6:124386601-124400951","chr1:275999821-276141673"
"273","chr10:94307816-94320863","chr6:135790445-135797661"
"274","chr8:6135492-6152538","chr20:4305049-4496815"
"275","chr7:28987514-28990116","chr15:48231960-48241781"
"276","chr10:30980709-30993573","chr7:41322521-41326655"
"277","chr9:20826561-20834954","chr11:53545477-53563559"
"278","chr1:20961258-20962540","chr11:34668091-34722272"
"279","chr18:25055044-25059278","chr5:74954384-74956829"
"280","chr6:904491-907083","chr18:72571325-72611211"
"281","chr11:3142305-3142832","chr6:76613549-76626199"
"282","chr1:88145614-88147210","chr9:50892578-50906966"
"283","chr14:15086543-15091475","chr2:2903491-2918203"
"284","chr2:113739689-113745181","chr1:102613968-102660697"
"285","chr7:90253169-90277429","chr9:112317485-112318444"
"286","chr3:15042229-15042609","chr5:164221594-164314224"
"287","chr19:32214551-32215127","chr19:12691066-12713398"
"288","chr1:16859047-16875754","chr17:65855661-65896119"
"289","chr10:626473-633049","chr5:164432862-164528719"
"290","chr11:84632585-84638229","chr5:160138672-160148072"
"291","chr1:89869828-89871257","chr2:154520979-154532393"
"292","chr11:69064518-69068514","chr9:11217254-11219449"
"293","chr14:10786399-10794860","chr12:29976309-29988732"
"294","chr12:9273125-9313769","chr19:50871340-50871943"
"295","chr15:37820442-37825213","chr2:22775246-22792220"
"296","chrX:128202172-128205259","chr12:24986000-24986263"
"297","chr20:3149071-3169368","chr10:18359720-18402658"
"298","chr8:64635064-64648503","chr2:188301023-188309036"
"299","chr11:34060062-34073206","chr1:21854180-21854768"
"300","chr4:174810962-174831377","chr7:102817873-102817916"
"301","chr11:34462325-34500943","chr1:221158375-221158533"
"302","chr2:257626382-257634977","chr6:72418120-72430205"
"303","chr6:108797786-108802113","chr8:93334030-93350656"
"304","chr10:51724607-51739115","chr8:60917764-60918009"
"305","chr9:46123188-46125984","chr16:70799083-70799119"
"306","chr8:104504801-104514522","chr19:42856166-42920390"
"307","chr10:67695779-67711884","chr11:80969143-80970157"
"308","chr10:110680099-110690679","chr1:201523375-201524041"
"309","chr10:63908528-63915032","chr4:115820712-115843272"
"310","chr9:94463647-94481167","chr2:44804777-44806942"
"311","chr19:22373973-22382073","chr5:171771433-171771960"
"312","chr2:56061126-56069928","chrX:157319571-157319756"
"313","chr12:47286246-47292049","chr14:44440261-44456717"
"314","chr8:23508992-23534941","chr5:155691684-155709264"
"315","chrX:4876505-4898806","chr3:11705978-11709953"
"316","chr4:133741680-133744948","chr8:64635064-64648503"
"317","chr2:34396320-34434762","chr14:46517863-46653954"
"318","chr16:23555919-23600154","chr20:4302487-4493390"
"319","chr3:140598632-140616459","chr1:221183854-221184003"
"320","chr1:157470071-157490006","chr10:20321532-20392169"
"321","chr6:104798968-104846483","chr13:113832448-113847832"
"322","chr5:75999930-76011558","chr4:56738132-56738255"
"323","chr1:253120469-253148277","chr13:52430571-52435974"
"324","chr2:184309074-184309661","chr7:114608925-114611317"
"325","chr20:19767793-19780300","chr8:78521649-78538216"
"326","chr2:238742934-238746181","chr8:125047309-125047449"
"327","chr3:81134588-81143240","chrMT:13167-13294"
"328","chr5:73937165-73951450","chr7:30416990-30426040"
"329","chr1:278580846-278620822","chr10:35876034-35876397"
"330","chr18:75429814-75430443","chr15:36934315-36940208"
"331","chr19:34270069-34305849","chr2:113739689-113745181"
"332","chr3:54547246-54566332","chr7:90253169-90253772"
"333","chr1:166378662-166385907","chr3:21878521-21904269"
"334","chr13:95120752-95128782","chr20:6058575-6071140"
"335","chrY:1142577-1153312","chr6:135786660-135797661"
"336","chr17:79740146-79789485","chr14:76999946-77005684"
"337","chr3:81127393-81159096","chr5:7703776-7780390"
"338","chr10:30980709-30988908","chr19:32214551-32215127"
"339","chr14:43420839-43430679","chr7:60390972-60408823"
"340","chr4:8120652-8149019","chr2:34491467-34503654"
"341","chr9:81232085-81275269","chr3:163592872-163595055"
"342","chr4:115820712-115833021","chr8:85436186-85444178"
"343","chr11:61121301-61122547","chr15:25331703-25333342"
"344","chr6:125550201-125569718","chr9:99556600-100479719"
"345","chr3:123829471-123833222","chr1:257191149-257192683"
"346","chr10:35876013-35876397","chr17:79335091-79352484"
"347","chr5:105182877-105187360","chr6:19003638-19012898"
"348","chr12:15075273-15098764","chr6:136059672-136071884"
"349","chr2:231056605-231078948","chr20:7997058-8000029"
"350","chr4:96739878-96767151","chr1:263633065-263633397"
"351","chr10:106712126-106721811","chr6:91938501-91961861"
"352","chr15:34428289-34428656","chr18:71575008-71701423"
"353","chr5:171277663-171281241","chr3:113288397-113292074"
"354","chr4:58367537-58373168","chr20:45189472-45193661"
"355","chr4:125762257-125789911","chrMT:8808-9041"
"356","chr4:96732982-96810129","chr6:109742370-109745287"
"357","chr13:110049191-110052621","chr1:244630341-244641499"
"358","chr1:140131618-140158228","chr14:5990330-6026568"
"359","chr13:105699059-105701842","chr8:33252442-33279218"
"360","chr1:274688579-274701534","chr3:67751613-67755221"
"361","chr8:127971477-127991861","chr2:238023879-238038227"
"362","chr2:157066595-157082251","chr16:23555922-23600154"
"363","chr8:129123864-129133074","chr1:221152989-221153130"
"364","chrX:112033981-112050600","chr9:75528455-75769258"
"365","chr14:84748602-84751768","chr11:69785001-69896883"
"366","chr5:150850432-150865550","chr2:34373875-34404958"
"367","chr3:3512475-3517163","chr2:93488471-93495152"
"368","chr11:83939845-83940879","chr1:204761727-204780713"
"369","chr18:71698542-71701423","chr3:3413579-3414759"
"370","chr14:38500179-38505001","chr5:100957656-100977901"
"371","chr1:220039308-220040146","chr8:72138878-72148728"
"372","chr5:167486001-167547741","chr6:27858538-27889650"
"373","chr8:73720946-73737419","chr3:175512077-175535023"
"374","chr2:174336857-174342089","chr14:81556164-81598570"
"375","chr2:206956638-206976810","chr9:9858499-9861991"
"376","chr13:83643437-83660292","chr4:96739878-96787475"
"377","chr10:86175962-86195240","chr4:38263240-38271681"
"378","chr1:249802028-249813067","chr6:28022406-28051704"
"379","chr11:60383243-60388137","chr2:173977730-173991228"
"380","chr18:77477060-77520779","chr8:116609560-116615939"
"381","chr6:108573912-108589418","chr3:1981290-2008447"
"382","chr20:14319170-14348042","chr2:80131928-80215825"
"383","chr5:128678699-128681202","chr3:175512077-175516165"
"384","chr4:96732982-96767151","chr5:147482283-147483432"
"385","chr18:29633808-29634585","chr8:68539308-68542150"
"386","chr18:32548750-32554731","chr17:5429865-5436758"
"387","chr13:56096834-56129496","chr1:221065774-221067559"
"388","chr14:37228632-37262083","chr5:50318351-50319000"
"389","chr6:104844523-104864968","chrX:75174388-75174831"
"390","chr5:159113203-159119213","chr9:96985942-96988048"
"391","chr1:6804365-6816920","chr19:12686647-12796904"
"392","chr8:78908446-78910847","chrMT:11757-11864"
"393","chr6:21301779-21308087","chr4:151118221-151123637"
"394","chr19:17493068-17494680","chr2:219674871-219681115"
"395","chr4:96739878-96787475","chr4:96732982-96787475"
"396","chr10:71515700-71519615","chr10:61483520-61498597"
"397","chr2:123163417-123170775","chr7:41167312-41167751"
"398","chr2:62377060-62381205","chr7:70881900-70883134"
"399","chr10:110495072-110508344","chr12:51582921-51592889"
"400","chr4:49207203-49287862","chr3:92450292-92473765"
"401","chr14:79973875-79987917","chr9:19698615-19700137"
"402","chr8:64139289-64145423","chr11:71069746-71074618"
"403","chr2:24125860-24161334","chr4:181084623-181086169"
"404","chr12:5593776-5632155","chr6:72418120-72421935"
"405","chr1:104785950-104795565","chr6:108549456-108552990"
"406","chr19:33010738-33073342","chr18:48505040-48531023"
"407","chr2:251176578-251376470","chr10:57549452-57549919"
"408","chr8:79330088-79347376","chr5:23581726-23650756"
"409","chr2:27713879-27755196","chr14:71861197-71884876"
"410","chr3:21878521-21904269","chr3:58798745-58799794"
"411","chr8:45691134-45743143","chr2:226925637-226926225"
"412","chr17:24052253-24058139","chr1:260498142-260507970"
"413","chr1:174609600-174613577","chr9:93374436-93374540"
"414","chr5:64346707-64358597","chr17:84900262-84922765"
"415","chr3:1988750-1998592","chr5:136437825-136471341"
"416","chr11:31723564-31733245","chr2:206964921-206976810"
"417","chr4:49207203-49220556","chr1:78369712-78370333"
"418","chr5:50318351-50319000","chr9:113634097-113636969"
"419","chr15:36934315-36940208","chr8:90470886-90483077"
"420","chr9:73752937-73773659","chr2:258868022-258932200"
"421","chr14:7186515-7190518","chr4:183498456-183537970"
"422","chr20:13906484-13921285","chr9:92627389-92627894"
"423","chr11:86824053-86834088","chr5:69951194-69956147"
"424","chr14:5870915-5943886","chr2:150838385-150846727"
"425","chr11:89316354-89332868","chr5:6372860-6372910"
"426","chr18:2005294-2013322","chrY:366439-370065"
"427","chr11:74759325-74786639","chr15:23605382-23606634"
"428","chr4:96739878-96745521","chrX:104757354-104757521"
"429","chr1:185233419-185234547","chr5:129413066-129528945"
"430","chr4:151118221-151124504","chr3:166743545-166746478"
"431","chr7:14539567-14541384","chr18:47503453-47503540"
"432","chr1:278698312-278749829","chr9:112023471-112027242"
"433","chr4:10687758-10694249","chr4:57408487-57419089"
"434","chr2:34462446-34503654","chr3:81134588-81159096"
"435","chr12:39627016-39635912","chr1:218880619-218883236"
"436","chr4:168499186-168517342","chr9:75222546-75230161"
"437","chrX:157321814-157323322","chr3:59074112-59085401"
"438","chr1:251246098-251253724","chr2:174336857-174342089"
"439","chrX:114016360-114105957","chr3:133108204-133122763"
"440","chr15:38661026-38709984","chr5:148050939-148054556"
"441","chr1:154439745-154447475","chr3:123819852-123838734"
"442","chr17:79609613-79612177","chr17:79740146-79777211"
"443","chr16:31918079-31926351","chr20:26499544-26507687"
"444","chr17:5546407-5571375","chr6:9405093-9434931"
"445","chr7:51410270-51416139","chr4:58367537-58485447"
"446","chr8:124353233-124355370","chr1:221157830-221157980"
"447","chr4:140870957-140876764","chr14:2977679-2991160"
"448","chr14:86326421-86326743","chr1:154439745-154447475"
"449","chr4:10775672-10777395","chr1:140131618-140158228"
"450","chr9:66751637-66758584","chr18:63792894-63793032"
"451","chrY:572537-573919","chr11:68722906-68730129"
"452","chr13:35658619-35669017","chr1:214562895-214581660"
"453","chr3:176914734-176926722","chr13:67141798-67143114"
"454","chr6:105664810-105676672","chr1:225202103-225202303"
"455","chr16:22715018-22787198","chr8:26290097-26294259"
"456","chr8:33312321-33317709","chr14:23630512-23654497"
"457","chr2:187525295-187532740","chr4:66193731-66200637"
"458","chr9:81273370-81281375","chr10:95092245-95093286"
"459","chr13:95193009-95196402","chr10:57549452-57557666"
"460","chr16:2138232-2171786","chr4:123421564-123426886"
"461","chr19:12691066-12713398","chr20:20529114-20882268"
"462","chr9:88630024-88653711","chr6:4278307-4315062"
"463","chr18:69642130-69647714","chr3:160872822-160873119"
"464","chr15:51822314-51823271","chr6:125568127-125594377"
"465","chr4:58737815-58748928","chr15:44533258-44539992"
"466","chr19:42917629-42920390","chr18:63784568-63844188"
"467","chr6:54522274-54530157","chr6:12179226-12179776"
"468","chr1:164367968-164380890","chr18:31461554-31463598"
"469","chr11:89108654-89110961","chr8:125403516-125424942"
"470","chr9:121831708-121843361","chr7:29284390-29288495"
"471","chr9:69854064-69860576","chr1:221158161-221158250"
"472","chr9:65599576-65603811","chr10:59294314-59298784"
"473","chr11:34668091-34722272","chr13:75177963-75192743"
"474","chr10:74892407-74894828","chr18:71136036-71149287"
"475","chr16:22979368-22980295","chr17:76729094-76733565"
"476","chr2:206549585-206570833","chr3:94736244-94745177"
"477","chr4:58420810-58485447","chr1:104583432-104583489"
"478","chr14:45668936-45683858","chr20:27409750-27415954"
"479","chr8:68539308-68542150","chr1:221158209-221158250"
"480","chr8:112777013-112778440","chr19:40922649-40923916"
"481","chr4:49201155-49220556","chr6:21283827-21323737"
"482","chr14:37238505-37254001","chr1:190980864-190991049"
"483","chr10:16724062-16727861","chr6:144198389-144275563"
"484","chr13:76979427-77051919","chr11:34879058-34922336"
"485","chr7:119987740-119990759","chr16:7126591-7138308"
"486","chr9:73773518-73799430","chr1:185283877-185283911"
"487","chr3:147782473-147785568","chr5:58870933-58873011"
"488","chr8:55398022-55402713","chr10:91965974-91969538"
"489","chr3:122130941-122141403","chr7:59566764-59587384"
"490","chr7:62929510-62931338","chr6:124416560-124420161"
"491","chr7:90253169-90253772","chr3:54509941-54566332"
"492","chr11:34922140-34932316","chr1:265646932-265653628"
"493","chr2:150838385-150858459","chr14:34444412-34444469"
"494","chr9:71954951-71960153","chr2:34462446-34503654"
"495","chr11:70810417-70820621","chr1:211754068-211754454"
"496","chr1:243052191-243058963","chr12:36955272-36956043"
"497","chr1:204761727-204780713","chr4:131403367-131453028"
"498","chr1:194917622-194917768","chr1:128239552-128242835"
"499","chr1:143712491-143723739","NW_007906222.1:11235-12949"
