"ID","MA2","MA4","MA5","MA7","SA25","SA28","SA30","SA32","HA17","HA18","HA19","N-1","N-2","N-3","N-4"
"chr13:106507146-106507561",0,0,0,0,0,2,0,0,6,5,0,4,8,6,6
"chr10:96672236-96722491",5,5,0,2,0,0,0,2,5,3,0,0,4,4,5
"chr14:85057352-85061960",6,6,5,7,9,0,3,0,10,13,0,5,11,11,13
"chr13:101729059-101732557",5,9,5,3,7,0,7,2,7,10,12,9,8,10,12
"chr9:1473647-1485363",14,19,11,10,11,8,13,4,9,16,22,8,13,11,10
"chr8:127289436-127301219",6,8,9,9,11,0,12,5,0,11,2,7,3,8,8
"chr8:116550008-116559036",0,0,2,0,0,0,0,0,0,2,3,2,0,2,0
"chr17:18369555-18375993",2,0,0,0,0,3,5,0,2,3,2,0,0,0,0
"chr2:188055409-188059148",3,0,0,0,0,0,11,0,3,5,0,5,2,0,6
"chr9:67331634-67341341",5,3,8,3,0,0,6,0,2,2,0,0,0,2,0
"chr12:8323968-8356308",0,0,0,0,0,0,0,0,0,0,0,4,12,8,2
"chr9:70787138-70787910",7,2,0,9,0,0,0,0,0,3,3,0,0,6,0
"chr12:24285582-24285875",8,4,2,6,0,2,5,3,0,0,2,0,0,2,4
"chr11:36400178-36406937",0,0,0,0,0,0,0,0,3,5,4,2,0,0,0
"chr1:127025462-127025957",38,44,31,16,31,14,21,13,29,13,17,23,18,20,11
"chr10:73854212-73857079",0,0,0,0,0,2,0,0,3,0,0,3,4,0,2
"chr6:894593-907083",0,0,3,0,0,0,4,0,0,3,0,3,3,0,2
"chr4:66214543-66219277",10,3,4,2,0,2,0,3,4,2,0,3,6,0,2
"chr10:91965974-91973005",0,0,3,0,5,0,2,3,0,0,0,0,0,0,0
"chr17:37911319-37913118",7,0,0,3,4,2,0,0,3,5,4,11,7,3,6
"chr3:175512077-175516165",7,0,3,3,3,0,0,0,2,4,3,0,5,3,0
"chr2:227687641-227702229",0,0,0,0,0,0,2,0,2,3,0,0,0,0,0
"chr4:66193731-66214585",14,6,5,5,11,0,12,4,5,3,5,5,10,15,3
"chr12:47290206-47292049",0,3,0,2,0,0,0,0,4,2,0,3,0,4,5
"chr3:94736244-94745177",10,7,8,2,4,5,7,7,6,3,5,11,9,10,18
"chr3:150384228-150387116",2,7,6,0,4,0,0,0,6,13,0,11,12,7,10
"chr9:75222546-75230161",2,7,5,0,6,2,6,3,0,0,3,3,2,0,3
"chr2:4143950-4174344",0,0,0,2,0,0,0,0,0,0,0,5,3,2,0
"chr15:48241671-48284550",0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
"chr5:105185997-105187360",17,25,14,9,10,11,20,21,31,23,20,16,15,18,16
"chr14:45668936-45691895",5,16,0,5,0,3,9,0,4,12,8,3,8,6,15
"chr4:66463926-66473208",4,0,0,3,5,4,3,0,9,10,3,3,7,3,3
"chr2:2903491-2918203",16,12,13,14,17,9,22,13,10,19,29,16,24,17,22
"chr8:6135492-6161740",0,0,0,2,0,0,2,0,3,6,0,3,2,3,0
"chr13:109457218-109588736",3,0,4,6,2,6,0,2,2,4,4,5,0,0,9
"chr10:4624614-4629886",21,17,8,3,12,6,18,7,17,23,10,9,16,13,11
"chr10:48460656-48484868",4,3,3,4,4,0,2,0,0,2,0,0,3,2,3
"chr8:67801800-67812158",0,0,2,2,2,0,2,0,3,4,3,4,7,2,10
"chr2:186232196-186232527",0,0,0,0,0,0,0,0,2,4,2,0,0,0,0
"chrX:52581092-52679268",0,0,3,0,2,0,4,2,3,2,3,4,7,0,0
"chr8:85442932-85455670",0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
"chr10:48659695-48684279",4,0,2,0,0,0,3,0,3,3,0,3,3,5,2
"chr3:118399578-118409116",0,3,0,0,3,0,4,2,0,0,0,0,0,0,2
"chr18:57338957-57345061",0,0,0,0,0,0,0,0,6,5,0,0,0,0,0
"chr2:227687641-227700240",2,2,2,0,2,0,0,2,3,5,0,0,2,0,4
"chr8:26267895-26271172",8,5,0,5,0,0,0,3,0,5,3,9,8,5,10
"chr12:6404013-6419916",3,0,0,0,3,0,2,5,3,5,0,2,0,0,0
"chr6:122735612-122745664",2,0,0,0,0,0,2,0,0,0,0,3,2,2,0
"chr1:259479327-259488326",6,6,4,3,6,0,0,0,0,2,0,4,5,0,2
"chr3:177140837-177145025",0,0,0,0,0,2,0,0,2,0,3,0,0,0,0
"chr17:65855661-65896119",6,3,2,4,0,3,0,5,4,0,0,0,0,2,0
"chr19:57064910-57073804",0,5,0,0,0,0,0,0,3,5,0,0,0,0,3
"chr17:24032670-24045965",7,7,6,5,15,3,15,5,9,14,11,8,12,18,15
"chr16:7060974-7067145",0,0,0,0,0,0,0,0,0,0,0,2,0,3,4
"chr14:6612028-6622491",13,4,11,9,5,5,9,0,3,5,6,6,8,5,0
"chr2:231078900-231128709",7,6,3,2,7,3,9,7,3,0,3,7,2,7,4
"chr14:81267948-81280976",0,2,2,0,8,3,8,0,5,4,7,12,6,0,3
"chr18:1337228-1346489",0,0,0,0,0,0,0,0,0,0,0,2,2,0,3
"chr1:217779008-217782988",31,24,15,12,11,19,12,15,12,6,5,5,2,3,8
"chr13:68116206-68126511",0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
"chr14:106153575-106167943",10,2,3,2,0,0,4,0,3,4,0,0,3,6,6
"chr17:79761095-79789485",8,5,5,6,6,7,8,2,13,5,2,10,13,8,5
"chr8:23508992-23560371",16,15,13,14,20,15,21,9,26,18,13,22,9,12,18
"chr5:172949060-172965700",2,0,4,2,0,2,3,2,2,4,3,6,2,0,0
"chr2:23399715-23410608",4,18,10,14,28,7,16,7,35,20,8,16,43,25,20
"chr4:29740458-29769899",6,0,0,0,0,0,0,0,0,0,0,4,0,3,4
"chr2:62955690-62956953",0,5,0,3,3,0,3,0,0,0,0,0,0,0,0
"chr17:79563596-79575914",11,8,3,2,0,0,6,2,5,6,0,8,0,0,0
"chr18:4217010-4246828",0,11,0,0,2,4,0,0,3,0,5,3,3,6,4
"chr14:28786814-28836518",0,0,0,0,0,2,0,2,6,6,0,0,0,0,0
"chr12:51582921-51584301",25,15,18,11,3,7,7,8,9,29,11,11,20,16,18
"chr5:75968777-75975620",5,4,0,7,2,0,7,4,6,3,11,4,3,2,0
"chr19:22113525-22179584",3,0,4,3,0,0,2,0,0,3,5,3,5,2,8
"chr4:66322916-66331714",0,2,0,0,0,0,0,0,3,0,3,6,4,4,4
"chr13:78836820-78847234",8,0,0,0,2,0,3,0,3,0,0,2,4,0,3
"chr4:152214416-152266040",0,0,0,0,0,0,0,0,2,3,0,0,5,0,3
"chr18:69642130-69657373",14,9,7,0,2,3,6,6,2,8,16,8,18,7,9
"chr4:115104274-115142108",0,2,0,0,0,0,0,0,8,2,3,0,3,5,5
"chr9:51400307-51404424",0,0,3,0,0,2,0,0,0,6,4,2,0,2,2
"chr6:43309180-43321981",5,0,2,2,0,0,0,0,0,0,0,2,0,5,0
"chr3:133108204-133122763",7,7,10,0,2,5,4,5,8,5,12,3,4,8,0
"chr15:41008529-41011344",2,3,4,2,0,5,4,7,8,16,7,2,6,4,9
"chr10:77765225-77772738",15,17,6,7,3,3,8,6,7,8,6,6,4,0,5
"chr13:69016108-69031223",4,0,0,0,3,0,4,0,0,0,4,4,5,4,3
"chr13:81156728-81162420",2,0,3,2,3,0,3,0,0,2,0,0,4,2,3
"chr10:66595570-66597359",0,4,9,3,4,5,8,0,4,6,9,3,6,5,0
"chr12:5733574-5773035",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"chr18:81418662-81428974",7,0,0,5,0,0,3,0,3,9,0,6,7,4,9
"chr9:38321692-38326937",25,15,10,8,10,7,11,6,6,11,3,6,9,15,5
"chr1:166208849-166259335",3,0,0,0,3,0,0,5,9,3,0,6,4,5,4
"chr4:87186852-87193410",7,4,2,5,0,0,2,2,0,5,0,4,0,0,3
"chr14:69800154-69819258",9,11,11,5,11,6,8,8,11,22,12,13,17,17,12
"chr14:4154610-4182331",6,3,6,0,0,2,0,0,6,5,0,19,3,6,13
"chr4:27449971-27463961",0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
"chr1:253120469-253134791",7,3,6,8,6,2,3,2,0,0,0,6,3,5,4
"chr14:79953865-79974054",0,5,0,3,4,0,0,3,0,0,2,0,0,3,2
"chr8:130006477-130031678",4,10,3,9,7,0,3,5,0,3,0,6,5,5,6
"chr2:188301023-188309036",16,14,28,13,17,12,37,15,39,33,33,30,37,33,36
"chr1:46877133-46894154",4,0,0,2,0,0,0,0,5,5,8,4,2,5,0
"chr11:89499074-89505391",0,3,0,0,0,0,2,0,2,0,4,0,0,0,0
"chr3:80718406-80732927",5,5,0,4,2,0,4,0,4,2,7,4,4,5,3
"chr3:60744743-60756038",2,4,3,3,5,2,0,0,0,5,0,5,2,6,5
"chr3:59670519-59680308",0,0,4,2,5,0,0,0,8,0,3,0,2,5,0
"chr8:116609560-116615939",3,3,2,0,0,0,3,0,2,3,0,6,5,5,0
"chr12:24271680-24273857",4,3,0,4,2,0,8,2,3,3,0,5,0,0,0
"chr5:144904225-144907761",3,8,4,5,4,0,0,2,7,2,3,2,6,4,3
"chr12:24513410-24524704",4,0,3,0,9,4,4,4,5,11,0,8,9,6,10
"chr9:53492939-53508890",0,0,0,0,5,0,3,2,0,8,7,2,0,6,3
"chr11:34612627-34614139",94,70,50,51,118,76,135,95,121,206,136,87,116,120,104
"chr11:34612627-34631134",29,9,22,17,0,15,26,23,27,41,47,47,45,43,44
"chr3:61781151-61813898",6,9,5,4,5,3,4,0,3,2,4,2,8,0,4
"chr4:176830200-176879489",0,0,0,0,0,0,0,0,0,0,0,4,0,3,0
"chr5:29851601-29865341",5,0,0,6,2,0,4,0,0,6,5,4,2,7,4
"chr5:168944838-168991261",3,4,0,2,0,0,0,0,0,3,2,0,0,0,0
"chr1:140044382-140142798",2,0,0,0,0,2,0,0,0,0,3,3,0,5,4
"chr3:50948203-50963230",0,0,0,0,0,2,0,0,0,0,0,4,4,2,4
"chr10:13767446-13810899",21,0,18,0,0,0,0,11,47,0,20,31,5,24,0
"chr2:34574151-34576926",6,7,8,7,0,2,2,0,5,4,3,0,2,0,0
"chr9:11217254-11219449",10,15,10,8,21,11,11,10,13,16,10,6,16,8,9
"chr9:73752937-73799430",9,0,0,4,2,3,6,2,0,2,3,13,7,6,14
"chr7:97702398-97703700",0,3,0,3,0,2,5,0,3,10,2,0,0,0,0
"chr13:68736732-68756721",0,0,0,0,4,3,8,0,0,0,0,6,6,5,5
"chr19:25861153-25886887",0,0,0,7,2,2,0,0,0,0,4,3,4,3,3
"chr11:79309778-79361614",0,0,0,0,3,0,0,0,0,0,0,2,2,3,0
"chr6:125523808-125553497",0,0,4,0,0,4,0,3,0,0,3,3,6,4,2
"chr13:69077866-69083366",9,4,3,3,11,2,6,0,2,6,5,14,9,17,16
"chr2:197722898-197836197",64,28,51,43,32,33,40,19,49,76,27,64,59,35,68
"chr3:107229486-107246956",0,0,0,0,0,0,0,0,5,3,0,2,0,4,0
"chr8:87268950-87273285",3,2,2,2,0,2,2,3,4,5,0,3,3,6,7
"chr1:78369712-78370333",8,3,0,0,0,0,4,4,5,9,3,0,2,6,0
"chr4:64894605-64899587",7,2,12,4,3,0,6,0,10,3,7,5,5,7,16
"chr9:50892486-50906966",10,0,7,3,6,5,4,2,3,2,5,12,5,10,0
"chr4:7695555-7707693",0,0,0,0,0,0,4,0,2,5,5,5,3,4,8
"chrX:128186178-128198293",4,0,0,0,0,0,0,0,0,0,0,2,2,0,3
"chr4:82682367-82692626",7,3,8,4,6,6,5,6,12,21,5,15,21,21,12
"chr2:231383147-231409493",0,0,0,0,5,0,2,0,3,4,3,5,3,0,6
"chr20:21662942-21673084",4,0,0,0,0,0,2,3,0,0,0,0,3,0,3
"chr14:22107412-22113789",0,0,0,0,0,0,0,0,0,0,0,4,2,0,3
"chr1:217801085-217816442",5,2,3,2,3,0,0,0,0,0,0,0,0,0,0
"chr19:32512909-32528958",0,0,0,3,2,0,0,0,0,0,0,0,3,6,4
"chr6:115474914-115513406",0,0,0,0,0,0,3,0,0,0,0,4,3,0,5
"chr5:12171585-12172003",6,3,5,4,8,3,3,7,10,11,3,7,3,3,5
"chr2:238009644-238038227",0,2,0,0,0,2,0,0,0,9,2,2,5,0,6
"chr17:79775882-79789485",0,3,0,2,0,0,4,0,5,2,3,0,2,5,0
"chr5:13064947-13076754",0,0,0,0,3,0,4,0,0,0,0,0,0,0,0
"chr16:3060713-3072642",18,8,7,6,12,13,17,6,11,24,29,20,37,30,17
"chr18:48505040-48521166",8,4,2,4,0,4,4,3,3,2,3,2,3,4,2
"chr5:12156802-12172003",12,5,8,4,2,2,7,2,5,7,4,7,4,4,4
"chr2:188308301-188309036",5,5,0,2,3,0,0,3,3,0,0,0,0,2,0
"chr1:15488392-15514085",0,0,0,0,3,0,2,2,0,0,0,0,0,0,0
"chr12:1975318-1979802",0,0,0,0,0,0,0,2,2,3,5,0,0,0,0
"chr19:39164242-39195019",0,7,5,4,3,2,5,2,4,2,3,8,5,4,7
"chr5:144367260-144380803",10,10,6,7,9,5,18,11,13,12,15,12,7,9,10
"chr18:24662368-24665851",3,0,2,4,0,0,0,0,2,0,0,0,0,0,0
"chr6:132383344-132391018",0,0,0,2,0,0,0,0,0,4,0,4,2,0,6
"chr13:101498614-101503027",3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"chr17:79573257-79612346",14,0,0,0,2,0,0,0,0,0,0,0,2,2,4
"chr1:36417425-36419485",8,3,9,2,3,0,2,5,0,3,0,0,8,0,0
"chr4:127663314-127673795",3,3,0,0,0,0,3,0,2,8,3,4,4,5,5
"chr15:108315938-108318732",9,4,4,8,4,4,4,7,11,15,12,8,12,17,5
"chr5:148050939-148060187",2,3,3,9,4,0,4,2,5,7,2,7,10,8,11
"chr6:22362488-22407626",5,3,0,0,0,3,2,4,0,2,0,0,3,6,0
"chr5:136420692-136510629",5,0,4,4,5,0,0,0,3,2,4,4,0,2,2
"chr7:129696842-129708614",4,6,3,8,0,4,3,2,4,11,3,0,0,6,4
"chr5:160131467-160133589",0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"chr1:12128638-12134025",3,3,0,0,0,2,0,2,4,6,0,0,4,4,5
"chr17:83502435-83539887",0,0,0,3,3,0,2,10,4,2,9,0,2,0,0
"chr10:48460656-48470732",0,3,0,6,0,0,6,3,4,0,0,2,3,2,2
"chr2:34491467-34517560",10,8,7,9,11,3,16,5,7,9,7,4,12,20,6
"chr1:220039308-220049075",11,3,4,2,4,3,7,0,6,6,4,11,16,11,13
"chr5:127160496-127165240",6,6,2,0,2,6,0,5,4,0,0,0,0,0,0
"chr9:119309035-119311107",2,2,0,0,5,2,2,4,4,10,0,5,6,9,5
"chr15:1734706-1753492",0,0,0,0,0,0,0,0,0,0,0,2,2,3,3
"chr10:13931236-13933066",6,6,3,4,3,0,0,0,0,2,0,0,2,3,5
"chr8:129617811-129627374",22,18,9,25,5,6,9,6,8,12,8,7,19,17,16
"chr1:142556681-142565170",7,4,0,0,0,0,0,0,2,2,0,0,0,0,0
"chr1:13262070-13268495",2,5,0,0,0,0,3,0,4,2,5,0,4,3,2
"chr1:222763689-222775140",7,2,6,5,3,0,6,0,0,9,5,2,6,11,14
"chr18:44477275-44489940",3,0,3,0,0,0,4,0,0,2,8,0,4,6,3
"chr20:21978047-21986948",0,0,0,0,0,2,0,0,4,8,0,0,0,0,0
"chr6:10920914-10923681",6,19,9,6,5,9,11,3,8,10,3,10,7,6,4
"chr10:55349536-55362785",0,3,4,0,0,0,0,0,0,0,0,4,0,0,4
"chr9:112317485-112342454",7,9,3,3,7,10,7,4,7,5,5,15,15,13,9
"chr2:113739689-113747247",4,5,0,3,12,0,5,4,4,5,5,4,7,8,11
"chr12:5603316-5604016",12,9,13,4,9,6,10,4,3,7,4,6,2,7,3
"chr3:94720462-94724521",0,0,0,0,0,0,0,0,0,0,0,2,0,4,3
"chr1:114304821-114311513",3,4,5,2,2,0,6,2,2,2,0,0,3,3,2
"chr12:51494918-51495425",4,0,0,0,0,2,0,0,4,2,0,7,3,2,2
"chr8:60814789-60817064",5,2,0,0,3,0,0,4,2,2,0,2,3,0,0
"chr2:33258536-33287948",6,4,2,3,2,0,0,0,3,3,0,3,8,0,0
"chr5:72119820-72124022",0,3,0,0,0,0,0,0,2,2,2,3,0,4,0
"chr13:76979427-77004245",20,9,11,3,13,5,22,12,20,25,23,9,18,16,6
"chr7:120608346-120610489",9,5,6,0,8,5,3,3,8,9,8,10,10,12,7
"chr1:204959173-204988430",5,5,0,0,0,0,0,0,0,0,2,4,0,3,2
"chr3:21782079-21792112",0,0,2,0,3,0,4,0,0,3,0,2,6,5,0
"chr15:23605382-23606634",0,4,3,0,0,3,2,2,9,5,7,3,4,0,5
"chr2:140366057-140387503",18,15,6,12,16,9,9,6,10,17,19,5,12,11,12
"chr1:206956299-206978733",0,3,5,3,2,0,2,0,3,0,0,3,3,3,3
"chr5:136420698-136471341",7,7,0,6,7,2,3,3,4,4,2,0,4,0,6
"chr3:117374371-117382881",0,2,0,0,3,3,5,3,0,10,2,8,7,5,5
"chr12:5646166-5654694",7,6,3,4,0,0,4,3,4,10,0,0,0,0,0
"chr7:30382502-30388657",5,2,0,0,4,4,3,0,8,11,5,16,17,21,14
"chr11:38379650-38410172",4,4,0,2,3,2,0,0,0,0,0,0,0,0,2
"chr6:136059672-136084622",24,14,18,11,18,12,37,18,16,22,16,31,21,13,30
"chr11:10020678-10022991",0,0,6,0,0,0,2,2,3,7,0,4,3,5,0
"chr10:106673704-106699402",5,4,0,5,10,6,13,3,11,14,6,8,9,11,16
"chr10:110157631-110164041",7,6,0,0,0,0,0,2,6,0,0,3,0,3,2
"chr5:144539229-144547479",0,0,0,0,0,0,2,0,3,2,0,0,0,0,0
"chr4:117422680-117436312",0,0,0,0,4,0,0,0,3,0,2,2,4,0,0
"chr7:51453247-51479896",6,0,0,0,0,0,2,2,0,0,0,5,3,2,0
"chr14:37552177-37583161",0,0,0,0,2,3,7,0,5,4,0,2,8,0,5
"chr8:116609560-116622275",0,0,0,0,0,0,0,3,0,0,0,3,2,2,0
"chrX:156703082-156705104",2,0,0,3,0,4,0,0,0,0,0,3,0,2,4
"chr7:74333372-74358584",2,2,4,2,2,0,0,0,0,4,2,3,5,3,3
