ID,1032245.N,1039868.N,1042353.N,1042745.N,1043773.N,1045386.N,1045549.N,1046191.N,1046287.N,1046349.N,1046499.N,1047291.N,1047831.N,1047912.N,1048720.N,1049983.N,1050700.N,1051316.N,1054390.N,1056166.N,272577.N,451368.N,477022.N,515975.N,522638.N,548142.N,649867.N,685749.N,843725.N,99272.N,1032245.P,1039868.P,1042353.P,1042745.P,1043773.P,1045386.P,1045549.P,1046191.P,1046287.P,1046349.P,1046499.P,1047291.P,1047831.P,1047912.P,1048720.P,1049983.P,1050700.P,1051316.P,1054390.P,1056166.P,272577.P,451368.P,477022.P,515975.P,522638.P,548142.P,649867.P,685749.P,843725.P,99272.P,1032245.T,1039868.T,1042353.T,1042745.T,1043773.T,1045386.T,1045549.T,1046191.T,1046287.T,1046349.T,1046499.T,1047291.T,1047831.T,1047912.T,1048720.T,1049983.T,1050700.T,1051316.T,1054390.T,1056166.T,272577.T,451368.T,477022.T,515975.T,522638.T,548142.T,649867.T,685749.T,843725.T,99272.T
chr15:94298201-94298730,0,7,3,2,2,7,12,6,4,7,0,11,2,2,3,0,6,4,6,8,8,7,5,4,5,0,9,10,10,11,0,0,4,11,5,8,14,5,3,7,0,9,3,13,2,0,6,9,4,4,6,4,4,3,4,0,5,8,9,9,0,7,0,8,3,6,3,0,9,7,0,0,5,6,4,0,5,2,2,3,9,4,5,6,0,0,3,8,3,10
chr14:21503173-21503881,13,18,14,5,26,23,22,17,15,14,20,19,22,10,14,17,11,21,25,12,7,10,25,16,12,17,17,22,21,28,10,14,15,13,18,30,17,19,21,18,31,18,18,18,11,13,9,18,18,8,16,18,26,13,25,22,28,19,12,16,15,6,26,8,17,7,5,12,12,11,11,20,23,23,5,7,14,10,9,18,6,13,11,9,11,9,15,15,6,11
chr3:47610066-47678311,2,6,0,2,2,2,0,0,3,0,2,0,2,4,0,2,0,0,0,2,0,0,5,0,0,5,6,4,2,0,3,0,0,0,0,4,0,0,0,0,2,2,4,2,0,0,3,4,3,0,0,3,4,2,0,0,5,5,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,2,0,4,3,3,0,0,0,0,0,2,0,3,4,2,4
chr11:85974708-86031611,3,4,3,3,3,3,8,4,3,2,8,7,3,3,4,4,5,2,7,4,4,2,4,3,0,2,0,4,4,8,2,0,0,4,0,5,4,2,8,0,10,4,5,6,3,0,3,3,2,0,3,0,3,5,4,4,0,4,0,4,5,0,5,3,2,6,0,0,3,0,0,5,3,3,0,2,2,0,0,0,0,2,0,0,3,0,2,3,0,0
chr11:130260856-130261929,19,20,11,24,36,44,35,20,35,23,5,27,24,16,23,17,17,19,25,18,13,13,53,21,13,27,23,16,21,33,22,36,35,16,26,56,34,22,32,33,32,26,33,41,17,15,16,11,19,15,22,13,39,13,30,19,17,22,27,17,29,17,11,34,10,18,17,17,30,14,8,12,29,24,19,26,22,8,13,19,63,16,22,13,13,11,8,17,18,22
chr13:42953948-42970670,4,0,10,3,6,9,14,2,8,5,7,4,5,4,3,4,0,4,4,6,4,4,19,7,3,6,4,6,4,8,7,4,7,2,8,10,9,6,5,9,9,11,7,12,2,0,3,3,4,5,6,4,11,4,11,7,7,8,5,0,13,4,11,3,5,5,0,0,6,6,12,4,0,5,4,0,8,0,8,5,4,2,7,2,8,16,4,5,8,6
chr12:2820086-2821792,2,7,3,6,10,6,11,5,4,2,7,5,0,6,2,8,2,5,9,9,4,0,2,6,2,6,7,0,2,8,3,4,5,5,6,7,6,4,4,3,9,8,4,6,2,6,2,0,0,7,3,3,3,0,8,4,3,6,3,3,5,2,2,4,0,5,0,0,3,8,8,4,0,4,3,3,3,2,0,7,0,5,5,2,3,2,4,10,2,2
chr3:3137260-3144710,4,6,0,0,0,0,4,0,0,6,5,8,3,4,0,2,3,0,4,2,2,5,3,4,0,6,5,2,5,7,2,6,3,0,5,3,2,0,0,4,5,3,2,3,2,5,0,5,3,2,2,3,3,0,5,3,6,7,5,2,3,0,2,0,3,6,0,5,2,3,0,2,3,4,0,2,2,0,0,0,2,0,3,0,2,3,0,5,2,6
chr4:39737420-39755739,2,0,0,0,2,3,2,2,3,2,4,0,0,0,2,3,0,2,0,0,0,3,3,0,2,3,0,4,0,2,0,2,2,0,0,0,3,0,3,0,0,0,0,4,2,0,0,0,0,2,0,0,4,0,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,3,2,0
chr12:120557282-120557682,5,5,5,9,7,8,15,10,5,2,10,9,7,4,3,6,5,9,9,3,13,6,9,3,5,15,10,8,6,10,8,5,8,6,12,12,11,6,4,8,19,11,7,16,5,7,9,2,8,6,7,5,10,0,10,11,10,10,7,4,14,3,3,4,4,3,2,3,6,3,5,3,3,0,7,0,4,2,2,4,2,3,2,4,2,6,0,9,0,9
chr3:50108070-50108304,5,2,0,5,0,5,2,2,4,0,4,3,2,2,0,3,0,2,3,0,0,0,6,2,0,2,3,0,3,2,2,2,4,0,3,0,0,2,0,2,2,4,0,2,0,2,2,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
chr20:32366384-32369123,12,9,7,5,20,14,11,17,19,7,11,23,18,13,9,16,10,14,14,15,6,22,16,11,5,22,15,12,8,25,16,13,10,9,15,24,22,12,17,28,19,18,20,24,14,16,14,17,17,9,7,8,19,7,11,18,22,17,18,13,16,6,18,24,37,23,0,12,26,17,33,44,19,26,11,5,45,5,23,12,3,12,9,10,17,18,16,17,24,17
chr1:114463104-114464388,3,9,9,5,4,17,10,5,6,5,2,10,4,5,6,9,5,5,9,11,2,2,6,5,6,14,10,5,2,6,8,5,5,4,8,12,12,7,6,4,10,9,7,9,5,6,6,2,9,4,6,7,6,7,9,6,6,6,3,5,11,0,4,8,9,4,3,5,11,2,4,8,9,5,4,6,7,0,6,7,3,10,5,5,7,3,0,8,6,0
chr1:160323431-160332557,7,9,4,4,4,3,8,9,6,3,9,8,3,7,0,6,5,4,6,2,6,10,8,4,3,7,5,3,3,5,6,2,2,0,9,6,10,8,13,10,14,9,12,9,3,5,4,7,9,6,4,6,13,4,5,4,9,5,5,3,4,2,0,0,4,0,4,4,5,3,5,5,3,6,6,3,5,2,4,5,0,8,6,3,7,6,0,6,7,4
chr2:190659158-190673152,22,27,21,11,31,34,42,15,34,19,36,26,17,26,13,24,22,18,22,28,12,13,28,26,18,41,21,16,17,21,14,22,17,18,27,42,39,15,33,26,35,23,36,36,16,18,14,17,21,18,21,13,36,19,27,25,32,18,18,16,27,29,14,15,14,37,7,15,20,11,26,5,20,17,8,12,25,24,7,31,12,11,8,18,14,21,7,40,10,31
chr2:238182065-238185287,11,11,11,10,14,13,20,6,15,6,9,13,13,11,9,19,11,11,13,13,13,5,10,6,5,13,8,8,9,22,10,13,7,10,13,17,13,8,6,12,16,20,12,21,10,5,10,7,8,7,10,8,13,4,22,7,4,6,8,8,7,4,5,4,16,11,5,3,9,7,12,11,3,6,15,4,6,6,4,2,6,8,7,4,6,8,2,18,4,10
chr15:85064370-85067204,5,0,2,2,5,2,2,0,2,0,2,4,2,0,0,3,2,0,3,2,3,0,5,5,4,2,3,3,0,6,0,6,3,0,0,3,4,4,2,3,5,2,4,3,4,0,2,3,5,2,0,2,0,0,2,0,2,2,0,2,3,0,3,0,0,3,0,3,2,0,0,3,0,0,0,0,0,2,3,0,0,0,0,0,0,0,6,2,0,2
chr4:151174670-151187463,6,3,2,5,5,3,9,6,3,3,3,4,3,3,0,2,3,3,0,6,3,2,8,4,6,4,9,5,4,7,4,0,0,4,4,5,6,2,7,5,8,4,4,2,5,4,2,2,9,6,2,0,3,2,6,5,6,0,2,7,7,2,5,2,3,0,2,2,2,0,5,4,2,4,3,0,5,3,2,2,0,2,0,0,4,0,0,5,5,3
chr3:119503532-119513719,0,2,0,0,0,3,2,0,0,4,4,3,0,2,3,0,2,6,3,5,3,3,4,0,0,2,0,0,3,4,0,0,0,0,0,3,4,7,2,0,6,4,3,5,2,0,0,0,0,5,2,3,5,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,3
chr10:67988663-68014186,2,2,0,3,2,0,5,0,0,0,3,2,3,2,0,0,0,3,2,0,2,0,6,4,0,2,2,0,3,5,0,2,2,2,2,6,3,2,2,2,0,0,2,5,2,3,0,2,0,0,2,2,2,0,5,0,0,0,2,0,0,0,0,2,3,3,0,2,0,2,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,2,0,2
chr5:154033791-154034967,21,17,11,25,16,24,36,24,15,16,38,29,39,18,16,24,28,16,25,25,18,20,22,13,13,39,23,25,24,21,15,15,20,18,13,34,28,17,27,21,59,22,36,34,24,22,20,15,17,21,28,24,24,19,38,30,31,26,21,14,9,6,17,7,10,8,2,7,30,10,14,13,2,8,15,6,13,13,12,11,0,15,11,10,12,10,9,25,9,8
chr20:35714185-35725155,11,14,5,12,23,16,21,11,18,12,16,15,10,13,8,22,8,12,17,22,11,11,8,11,10,22,10,17,10,23,11,13,6,10,17,22,16,12,14,14,23,16,17,21,9,10,9,9,13,22,7,7,19,8,21,14,14,15,15,9,9,4,24,16,14,15,0,12,19,12,18,47,5,19,8,11,21,6,10,14,5,8,10,3,8,8,10,24,13,8
chr2:173954873-173956232,3,2,4,4,6,7,3,5,3,2,0,3,6,7,5,5,6,4,2,6,3,0,7,4,3,8,3,3,3,5,0,4,2,5,3,0,0,3,4,3,3,6,4,9,5,3,2,0,2,0,3,2,4,5,5,2,2,6,0,0,0,2,2,6,5,6,3,3,2,0,3,4,2,4,0,3,5,2,2,0,0,0,3,2,0,5,0,0,6,3
chr4:149733244-149815348,0,2,0,2,0,0,0,2,4,4,4,0,4,0,0,2,0,0,3,3,0,0,0,4,0,2,2,2,2,9,2,0,0,3,0,0,3,2,0,0,3,0,0,3,2,0,0,0,2,0,2,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr15:101235082-101235577,2,0,12,9,2,5,6,5,3,2,3,3,5,6,4,5,3,5,2,3,8,4,8,3,5,7,4,4,0,4,0,0,4,6,5,5,3,3,3,0,2,4,0,8,2,4,4,0,4,0,8,4,3,0,3,7,7,9,6,3,5,0,0,10,0,4,0,3,0,2,0,3,6,4,0,4,5,0,3,3,0,0,5,2,2,9,0,4,0,3
chr11:117152441-117163892,3,7,2,2,4,5,8,3,5,0,3,3,0,4,2,6,4,5,5,6,2,3,5,6,4,2,2,3,0,0,2,6,4,2,3,4,7,4,3,5,8,3,3,7,0,5,0,0,2,2,5,4,4,3,0,3,10,6,2,6,5,3,2,7,6,12,0,4,2,2,2,3,8,4,5,7,11,0,3,4,3,3,3,3,4,0,2,5,2,4
chr3:65429520-65442849,4,2,0,0,2,6,4,2,3,2,2,3,0,2,0,0,0,0,0,2,2,0,0,0,3,3,3,2,0,0,2,2,3,0,0,4,0,3,0,3,3,2,3,4,0,0,2,2,4,0,0,0,0,4,0,3,2,0,0,2,0,2,0,3,3,4,0,2,0,0,3,2,5,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,3
chr18:8718424-8720496,0,2,0,3,8,2,3,4,3,5,4,4,2,3,3,4,0,2,0,2,2,2,4,4,3,5,0,7,0,7,2,5,0,0,7,6,2,0,5,2,3,5,0,6,3,2,3,3,2,2,9,2,3,0,7,2,0,6,0,0,5,7,0,6,2,0,4,4,17,3,0,5,6,7,0,9,3,7,4,2,2,2,0,0,4,3,0,11,0,0
chr9:20819796-20823115,7,9,5,6,4,8,11,4,8,8,7,6,4,6,5,6,6,7,4,3,2,4,5,9,5,7,7,10,13,14,7,12,2,8,9,11,12,7,9,6,4,6,6,9,7,4,5,5,5,2,5,5,13,8,12,5,7,7,4,8,7,4,5,6,12,16,4,2,9,2,0,3,3,5,4,3,11,5,3,4,7,9,7,0,5,3,9,5,4,4
chr7:116110708-116112038,4,4,3,0,2,12,0,3,7,0,7,0,4,2,0,4,6,7,0,3,0,0,0,9,2,4,2,2,9,3,2,4,0,2,0,12,4,5,6,6,13,7,4,8,3,4,0,5,0,12,3,0,2,0,6,6,7,5,3,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,4,0
chr12:32607957-32611283,8,8,4,9,5,8,8,6,9,6,7,13,4,2,4,6,6,4,9,4,9,7,6,5,3,14,3,4,6,21,9,8,4,4,6,4,9,12,11,4,15,10,3,5,10,8,7,7,9,8,8,6,8,7,6,8,12,0,7,4,3,2,2,4,10,3,3,2,2,3,8,3,3,0,2,2,5,3,4,4,3,10,4,0,2,4,4,10,3,2
chr4:87195324-87195690,52,41,22,26,32,36,47,17,42,23,25,35,40,29,13,34,28,28,23,28,26,22,42,20,39,40,35,16,34,58,32,33,34,23,28,32,61,33,26,44,35,40,42,61,22,25,22,13,27,20,40,29,38,25,46,39,32,29,24,32,16,6,12,13,33,29,8,17,21,10,11,15,18,21,10,8,11,6,16,21,25,16,15,15,20,16,6,25,13,14
chr1:231795242-231818517,4,4,4,0,8,9,8,5,10,3,7,3,11,6,11,9,10,6,3,8,2,9,10,7,4,6,10,3,3,15,6,3,5,5,2,10,13,4,10,2,17,5,7,12,4,2,4,2,3,3,5,5,9,4,11,0,14,7,8,10,0,2,0,3,2,3,0,5,4,2,7,2,0,0,0,0,0,0,5,0,0,2,0,2,6,3,0,11,9,4
chr12:123345258-123350441,0,3,2,0,6,2,2,0,2,3,3,5,2,0,0,2,4,0,0,0,2,0,6,0,0,4,2,0,3,10,2,0,2,0,6,0,0,0,0,0,0,2,4,6,2,0,0,0,0,3,0,0,5,0,3,4,4,0,3,0,0,6,0,0,0,0,0,0,0,3,0,2,0,2,0,2,2,0,0,0,0,3,0,0,0,4,3,5,2,3
chr16:68121987-68123121,7,22,22,13,27,34,35,20,24,14,22,27,18,23,10,36,22,20,28,33,20,32,30,19,21,39,27,23,19,42,20,26,20,23,22,38,22,30,24,28,44,40,23,34,18,28,18,25,36,20,35,16,23,15,33,29,40,28,31,26,39,19,22,29,24,35,9,16,20,13,31,19,23,11,16,9,33,11,21,19,6,24,19,11,14,29,15,30,19,22
chr5:142885298-142932125,7,4,3,2,6,4,8,2,5,0,3,4,11,2,4,6,3,3,2,4,4,2,5,3,2,7,0,5,3,3,2,3,3,5,4,3,0,7,4,6,8,3,8,4,2,4,2,4,5,4,4,3,4,0,7,6,5,5,5,4,2,4,5,2,10,9,0,0,4,6,11,3,3,2,5,7,6,2,7,0,2,14,0,2,4,4,7,5,2,3
chr4:40594258-40596800,4,0,0,5,4,8,2,2,4,0,0,3,4,0,0,5,2,3,3,8,4,0,5,2,3,3,4,0,3,5,2,0,3,3,5,0,3,4,3,5,4,2,4,6,4,0,2,5,4,3,0,2,5,4,2,2,0,4,2,4,0,4,0,0,5,0,0,0,0,0,4,0,0,5,2,2,0,0,0,3,4,2,0,0,0,0,0,3,6,0
chr3:188406112-188524787,2,3,0,0,0,3,2,0,4,0,0,2,0,0,5,5,4,0,0,0,0,2,2,3,0,2,4,4,2,7,2,3,0,0,0,2,2,2,4,3,3,3,3,0,0,2,3,0,0,2,0,3,2,0,2,0,0,0,0,0,2,3,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,3,0,0
chr12:27714780-27724186,8,5,6,4,10,13,8,3,5,0,5,8,8,10,7,11,5,6,9,10,4,4,9,11,2,3,6,4,4,12,10,4,4,5,9,15,8,5,4,7,14,8,6,7,7,8,7,9,6,9,2,0,10,4,8,6,7,12,5,6,10,8,7,0,10,7,2,0,5,3,3,12,6,7,8,9,9,9,8,5,6,5,0,11,9,4,6,23,7,0
chr1:211353239-211354467,4,4,4,2,5,5,11,0,5,2,9,13,2,4,5,5,3,5,8,6,2,3,4,6,3,5,5,5,6,9,6,9,6,0,3,12,4,11,2,3,7,6,3,5,3,4,0,3,7,4,4,7,3,2,6,6,6,9,7,5,6,3,2,3,10,10,3,4,7,0,0,6,3,4,2,4,8,5,2,6,2,4,5,0,3,5,0,11,0,7
chr16:30483827-30484263,8,4,8,6,8,7,17,6,4,3,9,10,4,10,0,8,9,14,12,10,4,12,13,2,7,13,5,5,7,8,3,9,3,2,14,11,11,11,4,8,11,12,11,16,2,3,7,8,14,11,14,9,14,5,10,14,9,12,7,4,2,0,0,2,2,2,0,2,0,0,6,0,0,3,3,0,4,0,4,10,0,0,0,0,0,9,7,2,3,2
chr18:24064140-24069271,10,12,7,5,6,10,13,6,7,5,9,10,9,12,2,6,8,15,3,3,4,11,9,6,4,4,4,6,5,9,5,5,0,4,4,7,15,9,8,12,16,4,8,12,0,6,5,2,9,7,8,5,14,5,9,5,10,9,4,2,2,2,3,7,0,0,0,3,0,0,3,0,4,4,0,2,4,2,4,2,0,6,3,0,4,4,0,9,5,3
chr10:84371014-84373815,5,2,0,4,7,6,4,0,3,9,0,2,2,5,4,4,8,2,2,6,4,0,6,0,3,5,0,0,3,6,3,4,7,7,4,2,0,0,0,5,8,3,8,7,3,2,2,3,0,2,7,2,9,5,3,4,7,3,7,0,2,2,8,8,10,5,5,2,5,0,4,4,9,3,0,0,5,2,2,5,0,5,2,2,2,0,0,7,3,3
chr11:77619606-77625818,12,11,9,5,14,21,16,14,16,7,18,23,10,18,13,9,10,13,12,7,7,15,16,6,6,17,10,13,18,29,12,7,9,8,14,14,22,17,7,18,28,11,17,27,5,13,10,9,14,7,8,12,14,11,18,13,20,14,12,15,11,4,3,7,11,25,7,5,7,6,2,13,13,8,4,3,8,4,7,5,0,16,8,2,13,0,2,5,5,6
chr5:73074742-73077493,39,40,30,26,56,37,68,38,26,28,52,65,47,50,26,33,48,43,42,38,16,43,55,34,37,46,43,41,38,76,34,36,39,36,20,46,55,63,52,43,55,58,39,61,46,23,27,29,48,26,32,24,32,28,41,56,56,28,33,34,41,17,22,14,27,18,6,18,26,15,26,19,19,24,13,15,22,14,18,22,4,25,14,11,21,32,24,29,26,29
chr4:177353308-177353728,0,3,5,0,0,0,4,4,0,4,2,3,2,0,0,2,4,0,5,0,0,3,2,6,0,5,0,0,0,3,3,3,3,0,0,4,6,2,2,5,0,2,8,4,0,0,3,0,3,0,2,0,3,0,2,6,0,2,0,0,2,3,4,0,4,3,0,2,3,3,3,3,2,0,4,0,3,3,8,6,2,0,2,5,4,11,0,6,0,0
chr2:8939821-8958642,5,3,0,0,0,4,2,5,5,6,4,3,4,2,3,2,4,0,4,2,3,0,3,2,0,5,3,0,0,7,2,0,3,3,3,2,5,2,3,3,4,0,4,6,3,3,5,0,3,2,4,2,2,0,4,2,0,3,4,0,2,2,0,2,0,5,0,0,0,5,0,0,2,0,0,2,0,3,2,0,2,4,0,7,0,2,0,5,2,10
chr11:17878208-18010139,3,6,2,3,2,9,4,2,4,3,5,2,4,6,2,3,8,3,4,4,4,0,5,3,4,4,6,9,3,4,0,6,2,9,3,7,6,3,0,0,4,3,7,6,0,3,5,0,0,3,3,3,7,7,3,7,7,3,4,6,4,7,0,6,2,4,3,0,0,0,2,0,4,3,3,4,2,0,0,4,0,5,3,0,3,0,2,8,3,7
chr6:158583954-158589782,8,7,9,0,7,11,15,4,7,2,4,15,4,11,5,9,11,3,8,8,4,14,13,4,3,10,11,6,5,8,7,11,5,5,9,11,9,6,8,7,13,6,9,10,7,5,4,2,2,6,6,8,14,7,11,10,6,12,7,2,5,7,12,17,12,13,3,6,12,8,20,20,7,8,19,6,18,5,4,9,3,5,12,9,5,8,8,25,9,8
chr9:93471141-93476338,11,18,17,16,5,18,29,11,16,15,21,16,10,11,10,17,22,12,23,23,11,12,16,15,11,28,13,12,11,26,14,17,19,8,14,17,16,19,12,17,30,14,24,19,8,19,16,14,10,24,13,9,23,6,26,21,19,12,17,9,16,3,7,6,21,21,3,14,12,10,12,11,12,20,12,6,28,6,9,9,2,13,10,12,13,12,10,7,5,8
chr20:47276314-47287284,2,0,0,2,3,3,2,4,2,2,0,0,0,0,0,0,2,2,4,2,0,0,3,0,0,0,2,2,4,2,2,3,0,0,0,5,2,2,4,0,2,3,0,3,0,2,2,2,0,0,0,0,0,2,3,3,0,7,0,0,0,0,2,4,6,3,0,4,3,6,3,2,0,3,0,0,3,0,4,0,0,0,0,2,2,2,4,5,6,0
chr22:45689712-45702847,0,0,0,2,4,9,4,9,2,4,0,3,4,2,0,4,3,0,4,0,3,3,0,0,3,3,5,2,3,0,0,2,2,2,0,6,3,5,4,3,3,0,0,8,0,5,2,0,3,3,3,0,4,3,4,2,3,2,3,0,3,0,0,6,7,0,4,2,0,2,0,0,4,6,0,3,9,2,2,0,0,3,3,0,0,2,0,4,0,0
