ID,1032245.P,1039868.P,1042353.P,1042745.P,1043773.P,1045386.P,1045549.P,1046191.P,1046287.P,1046349.P,1046499.P,1047291.P,1047831.P,1047912.P,1048720.P,1049983.P,1050700.P,1051316.P,1054390.P,1056166.P,272577.P,451368.P,477022.P,515975.P,522638.P,548142.P,649867.P,685749.P,843725.P,99272.P,1032245.T,1039868.T,1042353.T,1042745.T,1043773.T,1045386.T,1045549.T,1046191.T,1046287.T,1046349.T,1046499.T,1047291.T,1047831.T,1047912.T,1048720.T,1049983.T,1050700.T,1051316.T,1054390.T,1056166.T,272577.T,451368.T,477022.T,515975.T,522638.T,548142.T,649867.T,685749.T,843725.T,99272.T
chr11:77683710-77693611,15,19,18,18,17,23,20,22,20,24,30,15,11,48,17,12,9,5,8,12,9,16,24,3,23,20,24,12,16,11,2,5,11,7,6,22,4,4,9,6,10,7,4,5,5,3,6,2,8,3,2,5,6,7,9,9,7,16,6,13
chr2:115309239-115343912,0,3,5,2,2,5,3,3,0,2,4,2,7,0,6,0,3,0,0,3,0,3,0,3,5,4,3,0,4,4,2,0,0,0,0,0,0,0,0,0,2,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
chr2:147972739-147982081,6,3,5,2,4,4,5,2,5,4,8,6,4,5,6,5,3,2,8,3,5,5,7,0,8,2,5,4,5,3,0,2,4,13,5,5,0,0,5,2,6,0,5,4,4,0,0,0,2,0,0,2,0,0,3,0,3,10,6,3
chr11:36393846-36403378,0,4,5,2,3,4,7,10,3,5,2,5,7,2,3,0,3,4,0,3,6,0,2,8,5,8,3,3,5,0,2,0,0,0,6,5,0,2,5,0,2,0,2,2,2,0,0,6,4,0,0,4,0,4,0,2,0,0,4,3
chr8:38819522-38820635,5,0,5,2,6,6,3,6,3,8,10,2,0,8,5,4,4,5,4,5,3,5,9,2,5,4,5,6,2,3,3,2,6,0,6,7,0,2,5,0,0,0,0,3,0,0,0,2,7,4,2,2,2,3,0,0,0,6,2,3
chr5:88220563-88245792,5,4,2,3,3,9,3,2,5,5,5,3,5,6,4,2,0,3,4,0,2,3,5,2,8,6,7,0,2,3,3,4,4,6,3,0,0,2,2,3,6,0,2,4,2,0,3,0,0,0,0,0,0,2,2,0,2,2,0,2
chr6:79042843-79060818,3,5,4,0,6,13,10,7,4,3,7,4,5,14,4,3,4,5,2,3,0,3,10,0,9,6,7,13,6,3,4,5,0,15,5,9,3,2,3,2,3,9,4,9,5,4,16,4,6,0,2,0,2,0,8,0,0,3,2,5
chr1:92605307-92636336,0,0,0,2,4,6,0,3,4,4,11,9,0,4,4,3,3,4,3,0,3,3,3,4,7,5,6,2,4,2,8,0,0,2,3,3,0,4,2,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,3,0
chr20:10556231-10560820,6,5,5,2,12,5,5,9,10,7,7,6,5,13,4,8,5,4,4,2,6,3,8,3,0,5,11,5,6,10,8,4,10,8,4,5,2,3,4,7,6,3,2,5,8,5,11,3,0,6,0,3,2,4,4,0,5,8,7,4
chr15:94440176-94458246,5,3,0,0,0,4,8,3,4,2,9,4,6,3,3,2,7,3,4,0,6,0,0,5,5,2,8,0,3,2,0,2,0,0,3,4,3,2,0,0,0,0,3,0,2,2,3,2,0,0,0,2,0,2,2,0,0,5,3,2
chr7:105073619-105077433,5,5,2,4,4,4,4,3,4,6,9,4,2,8,2,4,7,5,5,0,2,5,5,7,4,9,5,4,4,4,5,0,3,0,2,5,0,4,3,0,2,0,0,3,0,0,4,2,0,2,0,5,0,2,3,3,2,8,5,6
chr11:118581246-118584644,4,4,2,3,8,4,4,5,4,2,6,7,5,7,2,0,3,2,0,2,4,0,7,2,6,2,3,6,5,5,0,0,0,2,0,0,2,3,0,2,3,0,4,0,2,0,0,0,4,2,0,0,2,0,0,2,0,4,0,3
chr7:22266964-22318037,10,8,0,0,6,6,3,6,8,4,9,4,6,10,3,3,6,4,3,4,2,2,3,4,8,8,11,4,5,3,12,4,7,4,12,3,3,4,2,5,0,14,2,12,2,0,7,2,13,5,0,0,0,4,7,0,10,2,5,4
chr11:96091892-96093517,22,16,11,17,18,22,19,14,10,12,45,14,10,18,18,10,10,9,8,13,13,9,23,12,23,23,14,12,17,15,13,4,5,5,11,16,3,12,10,4,10,12,4,3,10,2,9,3,8,8,5,8,4,3,10,7,5,9,9,9
chr1:10095461-10105744,2,3,0,0,0,4,7,2,0,5,4,3,4,6,2,2,0,2,4,3,0,0,2,4,3,0,3,3,2,7,3,2,4,0,2,2,0,0,4,0,0,0,3,6,3,0,0,2,0,0,3,0,0,0,3,0,0,3,0,0
chr20:48953556-48963898,3,2,0,3,2,5,8,6,0,3,9,5,6,9,5,2,2,6,5,4,0,6,3,0,5,6,11,6,4,2,3,5,2,0,8,3,0,2,0,3,5,14,2,4,4,4,13,3,8,5,2,0,0,2,6,5,4,2,6,4
chr1:77801331-77815231,2,3,5,4,6,4,3,2,4,4,4,3,6,5,3,4,2,0,2,3,5,3,5,0,8,9,0,4,6,2,4,2,2,3,3,5,0,0,2,0,2,3,2,4,0,2,0,3,3,2,3,2,2,0,3,2,0,6,5,2
chr3:119503532-119517315,3,2,3,3,6,4,5,6,0,7,3,5,2,5,5,3,3,2,5,3,3,4,4,3,5,2,12,0,0,2,5,0,5,2,3,2,3,0,3,0,3,0,0,0,2,2,2,3,3,0,0,2,4,0,0,4,0,4,0,0
chr5:69174877-69175537,10,10,7,4,2,3,7,11,5,6,6,0,4,13,5,5,0,4,5,5,4,3,9,5,8,4,6,0,4,7,8,7,15,15,22,5,7,8,5,4,11,17,10,14,0,11,13,10,12,4,4,12,7,7,13,11,9,17,2,10
chr22:41808875-41813822,3,3,5,9,0,3,6,6,4,3,3,4,7,6,4,6,5,0,3,2,4,4,0,4,4,3,4,3,4,6,12,0,0,6,7,5,6,4,4,6,0,8,7,11,6,8,14,7,0,6,0,2,5,2,5,4,6,11,3,5
chr6:13632370-13644729,9,8,8,9,8,18,13,13,8,13,17,8,13,15,3,5,16,3,16,5,12,7,11,6,14,8,9,16,12,6,8,5,7,6,9,11,0,4,6,8,6,2,3,10,6,2,13,8,3,3,3,10,2,6,0,6,3,12,5,6
chr1:805799-810170,4,6,6,0,0,4,6,0,5,14,8,11,5,17,0,3,4,7,29,3,4,21,6,0,11,6,8,7,6,5,4,3,4,0,5,0,0,0,6,0,0,0,0,0,0,0,3,2,0,3,4,4,0,0,0,3,0,0,0,0
chr15:25405461-25411971,45,28,25,26,29,45,41,39,22,44,47,43,28,65,30,27,30,14,25,20,38,19,36,23,41,38,46,39,27,22,20,14,12,12,18,18,8,14,24,22,20,17,20,24,4,23,16,7,16,26,11,13,23,9,11,20,10,22,9,25
chr4:22401431-22402799,5,2,0,0,2,2,10,7,6,8,11,9,4,5,3,0,2,0,7,0,3,0,8,2,6,4,0,0,3,0,0,0,0,0,4,0,0,0,0,0,9,5,0,4,3,0,0,0,0,0,0,6,2,2,3,2,0,3,0,0
chr2:229858772-229880128,3,5,3,2,5,4,2,4,5,2,8,8,2,2,5,0,0,3,3,5,0,2,2,4,0,7,5,4,3,2,5,0,5,2,5,5,0,2,2,0,5,2,0,3,0,0,3,0,3,0,0,2,0,0,0,3,3,3,0,4
chr21:39228500-39229436,3,3,0,3,0,5,6,7,5,3,5,9,5,7,2,3,3,3,2,3,3,3,6,3,7,3,8,3,3,4,2,0,0,2,3,7,0,6,3,5,0,2,7,5,0,0,2,0,2,8,3,3,3,5,2,2,3,3,0,2
chr20:62139075-62140944,5,4,0,5,6,7,12,2,10,8,11,7,9,12,3,6,8,4,11,2,2,3,7,8,5,7,8,12,8,4,14,3,11,6,11,13,2,5,8,11,9,14,5,7,11,3,18,3,17,4,2,2,4,0,6,8,8,8,16,7
chr1:52493611-52509712,7,4,4,3,0,12,8,6,6,5,9,5,5,8,0,0,0,3,7,3,4,6,6,5,2,3,5,6,3,4,4,0,4,2,3,0,2,0,3,2,0,5,4,4,4,0,5,0,0,0,0,9,4,0,2,2,0,5,3,0
chr7:66991137-66994341,0,0,0,4,2,4,6,3,6,6,0,6,3,4,2,2,3,3,4,0,2,3,5,8,4,0,0,3,3,4,3,0,0,0,3,8,0,0,4,4,0,7,3,3,5,0,2,2,2,3,0,2,0,2,5,0,2,7,4,0
chr11:118583179-118584644,2,3,2,2,3,6,5,0,0,5,0,2,2,4,4,0,3,0,2,2,4,0,4,2,6,0,2,0,0,2,2,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,2
chr7:80789306-80810701,5,8,5,0,4,7,5,8,3,7,8,8,6,4,5,4,6,6,5,3,3,5,13,3,7,3,7,0,11,7,8,0,3,3,0,5,3,7,4,3,9,2,2,11,3,0,10,0,9,2,0,3,0,0,0,2,3,0,3,0
chr2:71396141-71418639,7,8,10,7,10,15,10,7,10,12,17,10,12,20,0,5,6,7,6,5,10,4,9,3,9,7,16,12,7,4,5,4,7,0,6,7,2,0,0,2,8,0,0,0,0,3,0,0,4,0,0,4,0,8,0,0,0,0,2,7
chr2:199308760-199328910,12,10,11,6,11,22,18,26,12,6,21,14,10,9,24,8,4,3,17,6,9,4,20,16,17,13,6,5,10,9,12,0,2,0,12,7,0,3,3,3,8,13,0,0,6,0,7,0,21,0,0,0,4,0,2,2,3,3,5,3
chr2:30525587-30533314,7,8,6,7,8,5,6,3,4,4,11,5,9,5,10,7,5,5,3,5,4,2,4,0,4,5,5,2,5,6,4,2,0,7,4,2,5,3,3,4,8,0,2,4,6,3,3,0,3,4,0,4,0,0,5,0,3,13,3,6
chr2:54982515-54987698,6,9,9,6,6,17,13,10,10,6,17,9,8,9,6,9,8,5,13,7,10,5,8,12,7,14,12,5,8,9,12,6,6,17,11,14,6,8,17,12,17,16,7,0,4,10,17,5,8,7,6,2,6,0,16,8,7,9,17,14
chr11:76463821-76472840,0,0,0,2,4,4,8,3,0,4,6,3,4,6,5,0,3,4,10,0,5,5,6,0,2,5,2,0,5,0,5,0,3,0,0,10,0,4,6,6,3,10,2,4,0,3,3,0,0,0,4,0,2,0,4,3,5,5,0,2
chr10:110596398-110598290,7,3,5,2,8,2,6,7,4,3,11,8,2,8,2,3,4,0,6,8,5,7,2,2,8,7,10,5,4,3,8,3,4,3,7,3,3,4,10,2,5,4,3,6,2,4,2,3,4,10,3,2,0,2,6,2,0,10,2,4
chr2:15488894-15534641,0,4,2,3,6,3,4,2,0,0,3,4,2,3,0,0,0,0,3,0,0,0,4,0,2,5,0,0,2,6,0,0,0,0,3,2,0,0,0,0,0,0,2,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3
chr16:58559804-58560362,6,5,6,6,3,12,13,6,9,8,6,3,5,9,4,4,2,3,11,2,7,7,5,3,5,3,12,6,6,4,3,4,3,3,2,2,0,2,2,3,0,3,0,2,2,0,4,0,3,3,0,6,0,3,3,2,4,5,5,2
chr2:85368686-85371562,4,12,5,3,3,7,8,4,3,2,4,6,4,3,3,9,4,2,7,7,4,4,8,0,6,10,5,3,5,0,4,5,2,2,6,3,0,0,2,4,6,3,3,0,4,3,2,5,3,0,0,3,6,0,3,0,6,10,3,7
chr2:199348701-199433514,9,9,8,7,7,5,13,14,6,8,13,5,14,13,4,5,12,0,18,9,3,6,15,8,10,13,10,7,11,6,9,0,8,3,33,16,2,7,9,5,10,33,4,0,4,0,11,6,10,2,0,0,5,8,6,4,10,3,7,0
chr4:51863437-51891851,16,11,13,14,9,17,15,14,8,28,22,12,19,20,8,9,12,8,8,9,9,8,13,14,10,12,17,11,18,12,8,4,5,4,20,3,2,10,8,6,9,0,8,12,3,4,8,10,8,5,5,7,4,7,10,7,7,8,10,6
chr3:71690010-71699708,0,3,0,0,0,3,5,5,5,4,8,2,4,10,2,4,0,0,5,4,8,5,6,0,0,0,4,4,0,8,0,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,3,2,2
chr4:139137630-139139497,5,4,0,0,2,9,4,3,5,5,10,3,3,12,3,2,0,2,2,3,3,5,4,2,3,7,6,2,5,2,2,4,3,0,11,3,0,3,5,0,4,0,4,3,0,0,3,3,4,0,0,0,2,3,3,5,0,5,5,7
chr19:29985223-29986417,0,6,0,3,4,9,5,0,5,0,10,4,7,8,4,3,3,0,4,0,4,3,2,6,4,4,5,4,3,5,0,0,6,9,5,0,0,4,3,5,5,2,7,8,2,0,6,2,2,0,3,2,2,3,5,7,2,3,0,3
chr10:21713772-21727928,0,2,0,3,0,6,6,4,2,4,4,6,4,5,0,0,0,3,2,2,3,0,2,0,3,2,3,3,4,0,3,0,2,2,0,0,0,0,2,0,0,0,2,0,0,0,2,2,5,0,0,0,0,0,0,0,0,3,5,0
chr11:108227595-108235834,3,3,2,0,2,9,9,0,2,3,5,6,4,8,0,4,3,3,4,0,3,5,3,0,11,3,0,6,2,2,0,0,0,0,2,4,2,0,0,3,0,0,0,0,4,2,0,0,2,2,0,0,2,3,0,2,0,3,2,0
chr1:51402435-51408332,4,10,5,9,10,12,12,5,7,7,12,10,6,13,6,5,4,6,11,9,10,11,12,6,5,3,4,6,5,8,5,6,6,6,6,6,2,3,5,5,3,4,3,5,2,0,5,2,5,4,3,4,7,0,2,2,3,7,7,7
