rowname	Negative_sample	skin_derived	virus	lab_contamination
Aquareovirus	0	0	1	0
Aquaspirillum	1	0	0	0
Aquella	1	0	0	0
Aquicella	1	0	0	0
Aquincola	1	0	0	0
Aquirhabdus	1	0	0	0
Aquisalimonas	1	0	0	0
Aquisediminimonas	1	0	0	0
Aquisphaera	1	0	0	0
Aquitalea	1	0	0	0
Arachidicoccus	1	0	0	0
Arcanobacterium	1	1	0	0
Archangium	1	0	0	0
Arcobacter	1	1	0	0
Arcticibacterium	1	0	0	0
Arenaviridae	0	0	1	0
Arnorvirus	0	0	1	0
Aromatoleum	1	1	0	0
Arsenophonus	1	0	0	0
Arthrobacter	1	1	0	1
Arthroderma	0	1	0	0
Arthrospira	0	1	0	0
Artiparvovirus	0	0	1	0
Arurhavirus	0	0	1	0
Ascovirus	0	1	1	0
AscovirusTnAV2a	0	0	1	0
Asfarviridae	0	0	1	0
Asfivirus	0	0	1	0
Aspergillus	0	1	0	0
Asticcacaulis	1	1	0	1
Astroviridae	0	0	1	0
Atadenovirus	0	0	1	0
Atopobium	1	1	0	0
Aumaivirus	0	0	1	0
Aurantiacibacter	1	0	0	0
Aurantimonas	1	0	0	1
Aureibaculum	1	0	0	0
Aureimonas	1	0	0	0
Aureliella	1	0	0	0
Aureococcus	0	1	0	0
Aureoumbra	0	1	0	0
Aureusvirus	0	0	1	0
Auricularimonavirus	0	0	1	0
Aurivirus	0	0	1	0
Avastrovirus	0	0	1	0
Avenavirus	0	0	1	0
Aveparvovirus	0	0	1	0
Aveparvovirusgalliform1	0	0	1	0
Avesvirus	0	0	1	0
Aviadenovirus	0	0	1	0
Aviancoronavirus	0	0	1	0
Avibirnavirus	0	0	1	0
Avihepadnavirus	0	0	1	0
Avihepatovirus	0	0	1	0
AvihepatovirusA	0	0	1	0
Avihepevirus	0	0	1	0
Avisivirus	0	0	1	0
Avsunviroidae	0	0	1	0
Avulavirinae	0	0	1	0
Azoarcus	1	1	0	1
Azorhizobium	1	1	0	0
Azospira	1	1	0	1
Azospirillum	1	1	0	0
Azotobacter	1	1	0	0
Babosmacovirus	0	0	1	0
Babusatellite	0	0	1	0
Babuvirus	0	0	1	0
Bacilladnaviridae	0	0	1	0
Bacillus	1	1	0	1
Bacteriovorax	1	1	0	0
Bacteroides	1	1	0	0
Baculoviridae	0	0	1	0
Badnavirus	0	0	1	0
Badnavirusmaculadracaenae	0	0	1	0
Baekduia	1	0	0	0
Bafinivirus	0	0	1	0
Bandavirus	0	0	1	0
Bandavirusamblyommae	0	0	1	0
Banmivirus	0	0	1	0
Banmivirusmusornatae	0	0	1	0
Bantovirus	0	0	1	0
Barhavirus	0	0	1	0
Barnaviridae	0	0	1	0
Bartonella	1	1	0	0
Basfia	0	1	0	0
Basilea	1	0	0	0
Batrachochytrium	0	1	0	0
Batravirus	0	0	1	0
Bavovirus	0	0	1	0
Bdellovibrio	1	1	0	0
Beauveria	0	1	0	0
Becurtovirus	0	0	1	0
Beggiatoa	1	1	0	0
Begomovirus	0	0	1	0
Beijerinckia	1	1	0	1
Belliella	0	1	0	0
Benyviridae	0	0	1	0
Berryella	1	0	0	0
Betaarterivirussuid1	0	0	1	0
Betabaculovirus	1	1	1	0
Betabaculovirusclanastomosis	0	0	1	0
Betabaculovirustrini	0	0	1	0
Betabotoulivirus	0	0	1	0
Betacarmovirus	0	0	1	0
Betachrysovirus	0	0	1	0
Betacoronavirus	0	0	1	0
Betacoronavirus1	0	0	1	0
Betacoronaviruspandemicum	0	0	1	0
Betacoronavirusrousetti	0	0	1	0
Betadintovirus	0	0	1	0
Betaendornavirus	0	0	1	0
Betaentomopoxvirus	0	0	1	0
Betafusarivirus	0	0	1	0
Betafusarivirussinensis	0	0	1	0
Betahymrhavirus	0	0	1	0
Betahypovirus	0	0	1	0
Betainfluenzavirusinfluenzae	0	0	1	0
Betairidovirinae	0	0	1	0
Betanecrovirus	0	0	1	0
Betanemrhavirus	0	0	1	0
Betanodavirus	0	0	1	0
Betanucleorhabdovirus	0	0	1	0
Betanudivirus	0	0	1	0
Betapapillomavirus	0	1	1	0
Betapaprhavirus	0	0	1	0
Betapartitivirus	0	0	1	0
Betapolyomavirus	0	0	1	0
Betapolyomavirusmarvalis	0	0	1	0
Betapolyomavirusmyoglareolus	0	0	1	0
Betapolyomavirussecupacynocephalus	0	0	1	0
Betaretrovirus	0	0	1	0
Betarhabdovirinae	0	0	1	0
Betarhizoulivirus	0	0	1	0
Betaricinrhavirus	0	0	1	0
Betasatellite	0	0	1	0
Betascleroulivirus	0	0	1	0
Betatorquevirus	0	0	1	0
Betayadokarivirus	0	0	1	0
Beutenbergia	0	1	0	1
Biavirus	0	0	1	0
Bidensovirus	0	0	1	0
Bifidobacterium	1	1	0	0
Bigelowiella	0	1	0	0
Blastococcus	1	1	0	0
Blastomonas	1	0	0	0
Blastomyces	0	1	0	0
Blattabacterium	1	1	0	0
Blattambidensovirus	0	0	1	0
Blautia	1	1	0	0
Blosnavirus	0	0	1	0
Blunervirus	0	0	1	0
Bocaparvovirus	0	0	1	0
Bocaparvovirusprimate1	0	0	1	0
Bocaparvovirusungulate2	0	0	1	0
Bocaparvovirusungulate3	0	0	1	0
Bocaparvovirusungulate5	0	0	1	0
Bolenivirus	0	0	1	0
Bombella	1	0	0	0
Bonzesmacovirus	0	0	1	0
Bopivirus	0	0	1	0
Bordetella	1	1	0	0
Borrelia	1	1	0	0
Bosea	1	0	0	1
Bosnitovirus	0	0	1	0
Bossavirusdelphinidgamma1	0	0	1	0
Bostasmacovirus	0	0	1	0
Botoulivirus	0	0	1	0
Botourmiaviridae	0	0	1	0
Botrytimonavirus	0	0	1	0
Botrytis	0	1	0	0
Boudabousia	1	0	0	0
Bovineadeno-associatedvirus	0	0	1	0
bovinealphaherpesvirus1	0	0	1	0
Bovinecoronavirus	0	0	1	0
Bovismacovirus	0	0	1	0
Brachybacterium	1	1	0	0
Brachyspira	1	1	0	0
Bradyrhizobium	1	1	0	1
Brenneria	1	0	0	0
Breoghania	1	0	0	0
Brevibacillus	1	1	0	1
Brevibacterium	1	1	0	1
Brevihamaparvovirus	0	0	1	0
Brevihamaparvovirusdipteran1	0	0	1	0
Brevundimonas	1	1	0	1
Brochothrix	1	0	0	1
Bromoviridae	0	0	1	0
Bromovirus	0	0	1	0
Brucella	1	1	0	0
Bryopsis	0	1	0	0
Buchnera	1	1	0	0
Buldecovirus	0	0	1	0
Burkholderia	1	1	0	1
Butyrivibrio	1	1	0	0
C2likevirus	0	1	0	0
Caballeronia	1	0	0	0
Caecilivirus	0	0	1	0
Caenibius	1	0	0	0
Cafeteria	0	1	0	0
Caldanaerobacter	1	1	0	0
Caldicellulosiruptor	1	1	0	0
Caldilinea	1	1	0	0
Calditerrivibrio	1	1	0	0
Caliciviridae	0	0	1	0
Caligrhavirus	0	0	1	0
Calothrix	1	1	0	0
Caminibacter	1	1	0	0
Campylobacter	1	1	0	0
Candida	0	1	0	0
Candidatus_Accumulibacter	0	1	0	0
Candidatus_Amoebophilus	0	1	0	0
Candidatus_Arthromitus	0	1	0	0
Candidatus_Azobacteroides	0	1	0	0
Candidatus_Blochmannia	0	1	0	0
Candidatus_Cardinium	0	1	0	0
Candidatus_Desulforudis	0	1	0	0
Candidatus_Endolissoclinum	0	1	0	0
Candidatus_Endoriftia	0	1	0	0
Candidatus_Hamiltonella	0	1	0	0
Candidatus_Koribacter	0	1	0	0
Candidatus_Methylomirabilis	0	1	0	0
Candidatus_Midichloria	0	1	0	0
Candidatus_Pelagibacter	0	1	0	0
Candidatus_Phytoplasma	0	1	0	0
Candidatus_Protochlamydia	0	1	0	0
Candidatus_Puniceispirillum	0	1	0	0
Candidatus_Ruthia	0	1	0	0
Candidatus_Solibacter	0	1	0	0
Candidatus_Sulcia	0	1	0	0
Candidatus_Zinderia	0	1	0	0
CandidatusArthromitus	1	0	0	0
CandidatusBlochmannia	1	0	0	0
CandidatusCardinium	1	0	0	0
CandidatusCarsonella	1	0	0	0
CandidatusCloacimonas	1	0	0	0
CandidatusDoolittlea	1	0	0	0
CandidatusEndolissoclinum	1	0	0	0
CandidatusFokinia	1	0	0	0
CandidatusFonsibacter	1	0	0	0
CandidatusGromoviella	1	0	0	0
CandidatusHoaglandella	1	0	0	0
CandidatusIshikawaella	1	0	0	0
CandidatusKinetoplastibacterium	1	0	0	0
CandidatusMethylopumilus	1	0	0	0
CandidatusMethylospira	1	0	0	0
CandidatusMidichloria	1	0	0	0
CandidatusNitrosacidococcus	1	0	0	0
CandidatusNitrotoga	1	0	0	0
CandidatusPelagibacter	1	0	0	0
CandidatusPhytoplasma	1	0	0	0
CandidatusPortiera	1	0	0	0
CandidatusProfftella	1	0	0	0
CandidatusPrometheoarchaeum	1	0	0	0
CandidatusPromineofilum	1	0	0	0
CandidatusProtochlamydia	1	0	0	0
CandidatusRiesia	1	0	0	0
CandidatusRuthia	1	0	0	0
CandidatusSchneideria	1	0	0	0
CandidatusSteffania	1	0	0	0
CandidatusSymbiobacter	1	0	0	0
CandidatusVallotia	1	0	0	0
CandidatusViadribacter	1	0	0	0
CandidatusXiphinematobacter	1	0	0	0
Canineparvovirus	0	0	1	0
Caphthovirinae	0	0	1	0
Capillovirus	0	0	1	0
Capnocytophaga	1	1	0	0
Capripoxvirus	0	0	1	0
Capsaspora	0	1	0	0
Carbovirus	0	0	1	0
Cardiobacterium	1	0	0	0
Cardiovirus	0	0	1	0
CardiovirusA	0	0	1	0
CardiovirusB	0	0	1	0
Carlavirus	0	0	1	0
Carmotetraviridae	0	0	1	0
Carnobacterium	1	1	0	0
Casimicrobium	1	0	0	0
Casualivirus	0	0	1	0
Catenibacterium	0	1	0	0
Catenulispora	1	1	0	0
Caulimoviridae	0	0	1	0
Caulimovirus	0	0	1	0
Caulobacter	1	1	0	1
Cavemovirus	0	1	1	0
Cedecea	1	0	0	0
Cegacovirus	0	0	1	0
Celeribacter	1	0	0	0
Cellulomonas	1	1	0	0
Cellulophaga	1	1	0	0
Cellulosilyticum	1	1	0	0
Cellvibrio	1	1	0	0
Centapoxvirus	0	0	1	0
Cereibacter	1	0	0	0
Cervidpoxvirus	0	0	1	0
Cetarhavirus	0	0	1	0
Chabetovirus	0	0	1	0
Chaetomium	0	1	0	0
Chalatovirus	0	0	1	0
Changpingibacter	1	0	0	0
Chaphamaparvovirus	0	0	1	0
Charlielikevirus	0	1	0	0
Chelativorans	0	1	0	0
Chelatococcus	1	0	0	0
Cheravirus	0	0	1	0
Chibartevirus	0	0	1	0
Chimshavirus	0	0	1	0
Chipapillomavirus	0	0	1	0
Chirohepevirus	0	0	1	0
Chitinimonas	1	0	0	0
Chitinolyticbacter	1	0	0	0
Chitinophaga	1	1	0	0
Chitorquevirus	0	0	1	0
Chlamydia	0	1	0	0
Chlamydomonas	0	1	0	0
Chloracidobacterium	1	1	0	0
Chlorella	0	1	0	0
Chloriridovirus	0	0	1	0
Chlorobaculum	1	1	0	0
Chlorobium	1	1	0	0
Chloroflexus	1	1	0	0
Chlorovirus	0	0	1	0
Cholivirus	0	0	1	0
Chondromyces	1	0	0	0
Chordopoxvirinae	0	0	1	0
Christensenella	1	0	0	0
Chromobacterium	1	1	0	0
Chromohalobacter	0	1	0	0
Chroococcidiopsis	1	1	0	0
Chryseobacterium	1	0	0	1
Chrysoviridae	0	0	1	0
Chthoniobacter	0	1	0	0
Cicadellivirus	0	0	1	0
Cilevirus	0	0	1	0
Circoviridae	0	0	1	0
Circovirus	0	0	1	0
Circovirusduck	0	0	1	0
Circoviruspigeon	0	0	1	0
Circovirusporcine2	0	0	1	0
Citlodavirus	0	0	1	0
Citreicella	0	1	0	0
Citricivirus	0	0	1	0
Citrivirus	0	0	1	0
Citrobacter	1	1	0	0
Clavibacter	1	1	0	0
Clavispora	0	1	0	0
Clecrusatellite	0	0	1	0
Closteroviridae	0	0	1	0
Closterovirus	0	0	1	0
Clostridium	1	1	0	0
Clostunsatellite	0	0	1	0
Coccidioides	0	1	0	0
Cognaticolwellia	1	0	0	0
Coguvirus	0	0	1	0
Colacovirus	0	0	1	0
Colecusatellite	0	0	1	0
Coleofasciculus	0	1	0	0
Coleviroid	0	0	1	0
Collimonas	1	1	0	0
Collinsella	1	1	0	0
Coltivirus	0	0	1	0
Colwellia	0	1	0	0
Comamonas	1	1	0	1
Comovirus	0	0	1	0
Companilactobacillus	1	0	0	0
Conexibacter	1	1	0	0
Copasivirus	0	0	1	0
Copiparvovirus	0	0	1	0
Coprinopsis	0	1	0	0
Coprobacillus	0	1	0	0
Coraliomargarita	1	1	0	0
Corallococcus	1	1	0	0
Cordyceps	0	1	0	0
Coriobacterium	1	1	0	0
CoronavirusHKU15	0	0	1	0
Corynebacterium	1	1	0	1
Cosmacovirus	0	0	1	0
Cotonvirus	0	0	1	0
Coxiella	1	1	0	0
Crassaminicella	1	0	0	0
Craurococcus	0	0	0	1
Cripavirus	0	0	1	0
Croceibacter	0	1	0	0
Croceibacterium	1	0	0	0
Croceicoccus	1	0	0	0
Crocosphaera	1	1	0	0
Cronobacter	0	1	0	0
Cryptobacterium	1	1	0	0
Cryptomonas	0	1	0	0
Cryptosporidium	0	1	0	0
Cucumovirus	0	0	1	0
Culicidavirus	0	0	1	0
Cultervirus	0	0	1	0
Cupriavidus	1	1	0	1
Curiovirus	0	0	1	0
Curtobacterium	1	0	0	1
Curtovirus	0	0	1	0
Curvibacter	0	0	0	1
Cyanidioschyzon	0	1	0	0
Cyanidium	0	1	0	0
Cyanobacterium	1	0	0	0
Cyanobium	1	1	0	0
Cyanophora	0	1	0	0
Cyanothece	0	1	0	0
Cybitervirus	0	0	1	0
Cyclobacterium	0	1	0	0
Cycloclasticus	1	1	0	0
Cyclophivirus	0	0	1	0
Cyclovirus	0	0	1	0
Cyclovirusadie	0	0	1	0
Cyclovirusbastao	0	0	1	0
Cyclovirusflagermus	0	0	1	0
Cyclovirusgato	0	0	1	0
Cyclovirushoma	0	0	1	0
Cycloviruspea	0	0	1	0
Cycloviruspeka	0	0	1	0
Cycloviruspekapeka	0	0	1	0
Cyclovirusrisi	0	0	1	0
Cyclovirussokwe	0	0	1	0
Cylindrospermopsis	1	0	0	0
Cynoglossusvirus	0	0	1	0
Cypovirus	0	0	1	0
Cytomegalovirus	0	1	1	0
Cytomegaloviruscercopithecinebeta5	0	0	1	0
Cytomegalovirusmacacinebeta8	0	0	1	0
Cytomegalovirusmandrillinebeta1	0	0	1	0
Cytophaga	1	1	0	0
Cytorhabdovirus	0	0	1	0
Cyvirus	0	0	1	0
D3likevirus	0	1	0	0
Daazvirus	0	0	1	0
Daletvirus	0	0	1	0
Daphniairidovirus	0	0	1	0
Debaryomyces	0	1	0	0
Debiartevirus	0	0	1	0
Decacovirus	0	0	1	0
Decapodiridovirus	0	0	1	0
Dechloromonas	1	1	0	0
Dehalobacterium	1	0	0	0
Dehalococcoides	1	1	0	0
Dehalogenimonas	1	1	0	0
Deinococcus	1	1	0	1
Delftia	1	1	0	1
Deltabaculovirus	0	0	1	0
Deltacoronavirus	0	0	1	0
Deltaentomopoxvirus	0	0	1	0
Deltaflexivirus	0	0	1	0
Deltainfluenzavirusinfluenzae	0	0	1	0
Deltanudivirus	0	0	1	0
Deltapapillomavirus	0	0	1	0
Deltapolyomavirus	0	0	1	0
Deltaretrovirus	0	0	1	0
Deltasatellite	0	0	1	0
Deltascleroulivirus	0	0	1	0
Deltatorquevirus	0	0	1	0
Demapteravirus	0	0	1	0
Denitratisoma	1	0	0	0
Denitrobacterium	1	0	0	0
Denitrovibrio	1	0	0	0
Densovirinae	0	0	1	0
Dependoparvovirus	0	0	1	0
Dermatophilus	1	0	0	0
Desulfarculus	1	1	0	0
Desulfatibacillum	1	1	0	0
Desulfitobacterium	1	1	0	0
Desulfobacca	1	1	0	0
Desulfobulbus	1	1	0	0
Desulfococcus	1	1	0	0
Desulfocurvibacter	1	0	0	0
Desulfohalobium	1	1	0	0
Desulfomicrobium	1	1	0	0
Desulfomonile	1	1	0	0
Desulfosporosinus	1	1	0	0
Desulfotalea	1	0	0	0
Desulfotomaculum	1	1	0	0
Desulfovibrio	1	1	0	0
Desulfurispirillum	1	1	0	0
Desulfurivibrio	1	1	0	0
Desulfuromonas	1	1	0	0
Dethiobacter	0	1	0	0
Devosia	1	0	0	1
Dianthovirus	0	0	1	0
Diaphorobacter	1	0	0	0
Diatodnavirus	0	0	1	0
Dichelobacter	1	1	0	0
Dichorhavirus	0	0	1	0
Diciambidensovirus	0	0	1	0
Dicipivirus	0	0	1	0
Dickeya	1	1	0	0
Dictyostelium	0	1	0	0
Dietzia	1	0	0	1
Dinoroseobacter	1	1	0	0
Dioscovirus	0	0	1	0
Dissulfurimicrobium	1	0	0	0
Dobrovirus	0	0	1	0
Dokdonella	1	0	0	0
Dokdonia	0	1	0	0
Doliuvirus	0	0	1	0
Dorea	1	1	0	0
Doupovirus	0	0	1	0
Dragsmacovirus	0	0	1	0
Drosmacovirus	0	0	1	0
Drunivirus	0	0	1	0
Duamitovirus	0	0	1	0
Duamitoviruscrpa1	0	0	1	0
Duganella	1	0	0	1
Dumedivirus	0	0	1	0
Durnavirales	0	0	1	0
Duvinacovirus	0	0	1	0
Dyadobacter	1	1	0	1
Dyella	1	0	0	0
Dyochipapillomavirus	0	0	1	0
Dyodeltapapillomavirus	0	0	1	0
Dyoepsilonpapillomavirus	0	0	1	0
Dyoetapapillomavirus	0	0	1	0
Dyoiotapapillomavirus	0	0	1	0
Dyokappapapillomavirus	0	0	1	0
Dyolambdapapillomavirus	0	0	1	0
Dyomupapillomavirus	0	0	1	0
Dyonupapillomavirus	0	0	1	0
Dyoomegapapillomavirus	0	0	1	0
Dyoomikronpapillomavirus	0	0	1	0
Dyophipapillomavirus	0	0	1	0
Dyopipapillomavirus	0	0	1	0
Dyopsipapillomavirus	0	0	1	0
Dyorhopapillomavirus	0	0	1	0
Dyosigmapapillomavirus	0	0	1	0
Dyotaupapillomavirus	0	0	1	0
Dyothetapapillomavirus	0	0	1	0
Dyoupsilonpapillomavirus	0	0	1	0
Dyoxipapillomavirus	0	0	1	0
Dyozetapapillomavirus	0	0	1	0
Dysgonomonas	1	0	0	0
Ectocarpus	0	1	0	0
Edwardsiella	1	1	0	0
Eggerthella	1	1	0	0
Elizabethkingia	1	0	0	0
Emaravirus	0	0	1	0
Embecovirus	0	0	1	0
Emiliania	0	1	0	0
Emticicia	0	1	0	0
Endomicrobium	1	0	0	0
Endornaviridae	0	0	1	0
Eneladusvirus	1	0	0	0
Enhydrobacter	0	1	0	1
Ensavirinae	0	0	1	0
Ensifer	1	0	0	0
Enterobacter	1	1	0	1
Enterococcus	1	1	0	0
Enterovirus	0	0	1	0
EnterovirusB	0	0	1	0
Entomobirnavirus	0	0	1	0
Entomomonas	1	0	0	0
Entomoplasma	1	0	0	0
Entomopoxvirinae	0	0	1	0
Entovirus	0	0	1	0
Ephemeroptericola	1	0	0	0
Ephemerovirus	0	0	1	0
Epidermidibacterium	1	0	0	0
Epidermophyton	0	1	0	0
Epizootichemorrhagicdiseasevirus	0	0	1	0
Epsilon15likevirus	0	1	0	0
Epsilonhypovirus	0	0	1	0
Epsilonpapillomavirus	0	0	1	0
Epsilonpapillomavirus1	0	0	1	0
Epsilonpolyomavirus	0	0	1	0
Epsilonscleroulivirus	0	0	1	0
Epsilontorquevirus	0	0	1	0
Equispumavirus	0	0	1	0
Erbovirus	0	0	1	0
Eremothecium	0	1	0	0
Erwinia	1	1	0	0
Erysipelatoclostridium	1	0	0	0
Erysipelothrix	1	1	0	0
Erythrobacter	1	1	0	0
Erythroparvovirus	0	0	1	0
Escherichia	1	1	0	1
Etaarterivirus	0	0	1	0
Etahypovirus	0	0	1	0
Etapolyomavirus	0	0	1	0
Etatorquevirus	0	0	1	0
Ethanoligenens	1	1	0	0
Eubacterium	1	1	0	0
Euglena	0	1	0	0
Eurpobartevirus	0	0	1	0
Ewingella	1	0	0	0
Exiguobacterium	1	1	0	0
Ezakiella	1	0	0	0
Fabavirus	0	0	1	0
Fabavirusgentianae	0	0	1	0
Fabenesatellite	0	0	1	0
Facklamia	0	0	0	1
Faecalibaculum	1	0	0	0
Felismacovirus	0	0	1	0
Felixounalikevirus	0	1	0	0
Feraresvirinae	0	0	1	0
Feravirus	0	0	1	0
Ferlavirus	0	0	1	0
Ferribacterium	1	0	0	0
Ferrimonas	1	1	0	0
Ferriphaselus	1	0	0	0
Ferrovibrio	1	0	0	0
Ferruginibacter	1	0	0	0
Fervidobacterium	1	1	0	0
Filifactor	1	1	0	0
Filimonas	1	0	0	0
Filobasidiella	0	1	0	0
Filomicrobium	1	0	0	0
Filoviridae	0	0	1	0
Fimbriimonas	1	0	0	0
Fimoviridae	0	0	1	0
Finegoldia	1	1	0	0
Fipivirus	0	0	1	0
Firstpapillomavirinae	0	0	1	0
Flagellatimonas	1	0	0	0
Flaviflexus	1	0	0	0
Flavihumibacter	1	0	0	0
Flavisolibacter	1	0	0	0
Flaviviridae	0	0	1	0
Flavobacterium	1	1	0	1
Flexibacter	0	1	0	0
Flexistipes	1	0	0	0
Flocculibacter	1	0	0	0
Fluviibacter	1	0	0	0
Fluviicola	1	1	0	0
Fomevirus	0	0	1	0
Fonticula	0	1	0	0
Foot-and-mouthdiseasevirus	0	0	1	0
Formivirus	0	0	1	0
Foveavirus	0	0	1	0
Francisella	1	1	0	0
Frankia	1	1	0	0
Frateuria	1	1	0	0
Frederiksenia	1	0	0	0
Fromanvirus	1	0	0	0
Frondihabitans	1	0	0	0
Fusarium	0	1	0	0
Fuscovulum	1	0	0	0
Fusobacterium	1	1	0	0
Gaeumannomyces	0	1	0	0
Gallaecimonas	1	0	0	0
Gallantivirus	0	0	1	0
Gallibacterium	0	1	0	0
Gallionella	1	1	0	0
Gallivirus	0	0	1	0
Gambievirus	0	0	1	0
Gammaarterivirus	0	0	1	0
Gammabaculovirus	0	0	1	0
Gammacarmovirus	0	0	1	0
Gammacoronavirus	0	0	1	0
Gammaflexiviridae	0	0	1	0
Gammaflexivirus	0	0	1	0
Gammafusarivirus	0	0	1	0
Gammahypovirus	0	0	1	0
Gammainfluenzavirusinfluenzae	0	0	1	0
