ID,CircRNACount-1032245-P,CircRNACount-1039868-P,CircRNACount-1042353-P,CircRNACount-1042745-P,CircRNACount-1043773-P,CircRNACount-1045386-P,CircRNACount-1045549-P,CircRNACount-1046191-P,CircRNACount-1046287-P,CircRNACount-1046349-P,CircRNACount-1046499-P,CircRNACount-1047291-P,CircRNACount-1047831-P,CircRNACount-1047912-P,CircRNACount-1048720-P,CircRNACount-1049983-P,CircRNACount-1050700-P,CircRNACount-1051316-P,CircRNACount-1054390-P,CircRNACount-1056166-P,CircRNACount-272577-P,CircRNACount-451368-P,CircRNACount-477022-P,CircRNACount-515975-P,CircRNACount-522638-P,CircRNACount-548142-P,CircRNACount-649867-P,CircRNACount-685749-P,CircRNACount-843725-P,CircRNACount-99272-P
chr11:65501566-65501764,16,17,15,13,5,12,17,8,12,10,18,12,9,18,11,7,5,6,22,15,11,16,7,15,11,25,19,5,7,7
chr12:120782655-120810886,0,2,2,0,1,0,2,1,0,2,5,2,3,4,2,4,0,0,1,2,2,0,2,0,1,5,3,2,0,1
chr14:105707391-105707878,0,0,2,1,3,5,2,1,2,1,0,1,1,2,2,0,4,3,6,4,1,0,0,0,4,2,1,2,2,1
chr10:110596398-110598290,5,2,4,2,1,0,5,1,2,2,8,5,2,6,1,3,2,0,3,5,2,5,1,1,6,5,7,4,4,2
chr12:111679151-111683307,2,0,2,3,1,2,1,1,0,2,2,2,3,7,2,2,0,3,0,0,0,0,4,0,2,1,2,1,1,0
chr7:104188251-104204234,5,2,1,1,2,5,3,1,2,3,3,2,4,3,0,0,0,0,2,3,2,1,3,2,0,1,1,0,2,3
chr1:51402435-51408332,2,9,5,8,5,8,8,5,6,6,16,8,6,11,5,2,3,5,9,8,6,7,11,6,3,2,3,6,5,7
chr12:124913340-124913567,2,3,11,5,2,2,2,1,8,5,5,1,1,5,2,3,1,0,1,4,1,1,7,2,5,1,0,2,3,4
chr2:88857294-88857416,0,2,4,3,3,3,3,3,0,1,4,4,2,9,2,2,1,2,2,4,0,0,4,1,2,6,4,2,1,1
chr5:128138597-128152805,0,5,4,0,0,2,5,3,1,1,6,2,2,6,3,6,0,1,3,1,0,1,10,0,5,1,1,3,3,2
chr11:65499781-65499935,1,2,3,2,0,2,3,4,3,8,12,5,2,5,4,2,2,1,5,4,3,4,3,3,4,1,4,1,3,6
chr20:35713019-35725155,5,3,5,1,2,1,3,1,1,5,10,0,1,5,1,1,4,0,1,1,3,0,4,2,3,2,2,0,4,2
chr11:83273647-83278829,2,3,1,2,0,2,4,3,1,2,8,2,5,1,1,1,2,0,6,1,1,1,1,3,4,1,1,2,3,3
chr2:172568741-172596023,2,4,2,2,4,1,2,3,4,0,10,3,3,3,5,4,4,3,3,4,3,0,8,2,5,4,3,9,1,1
chr13:50927407-50949505,0,5,3,2,1,10,10,4,10,4,11,4,3,12,4,4,2,4,4,4,2,4,8,4,6,6,5,5,4,6
chr11:62559820-62560423,2,1,1,2,2,0,4,6,2,6,7,3,1,3,4,1,0,0,3,1,0,3,4,6,4,4,3,0,2,2
chr17:81604548-81608822,0,1,1,6,1,5,3,0,1,2,5,2,1,0,2,0,2,0,3,1,2,0,4,3,3,2,0,2,1,1
chr1:13731000-13742157,0,0,3,0,2,3,0,0,2,0,1,1,2,3,1,1,2,2,3,1,5,3,3,0,4,2,3,1,2,3
chr2:48328561-48346751,4,3,1,4,3,1,3,4,4,4,5,5,1,6,1,1,3,3,1,2,5,2,2,5,2,0,2,5,4,3
chr5:61472681-61473037,2,2,3,2,3,15,7,6,2,4,18,2,12,8,5,8,2,1,6,6,3,3,7,3,6,2,5,3,5,7
chr1:206937421-206937628,2,1,1,3,4,2,0,2,1,1,3,7,1,3,3,2,1,2,1,2,1,1,5,4,0,1,7,2,3,4
chr14:79697630-79805190,2,2,4,1,0,2,4,1,0,5,6,1,1,3,0,0,0,2,2,0,3,4,3,1,3,2,0,5,1,1
chr2:15461201-15478289,0,1,7,2,3,1,2,1,1,5,4,1,5,7,2,2,3,2,1,1,2,2,3,1,4,2,2,1,2,0
chrM:9060-9195,12,1,1,0,1,0,2,3,1,1,3,2,1,1,4,2,1,4,2,1,3,1,3,4,1,6,9,0,2,3
chrM:7690-7797,6,4,4,8,5,2,9,6,4,8,10,6,6,4,5,3,1,3,6,9,4,4,4,3,0,9,10,3,4,3
chr4:51863437-51891851,9,10,7,11,6,12,14,12,7,21,26,10,16,15,8,7,8,4,8,6,7,4,11,1,8,10,11,9,15,10
chr16:67628370-67629533,2,1,0,0,2,2,5,5,2,9,5,0,1,3,0,1,1,1,1,2,3,2,5,1,5,3,9,3,3,2
chr22:46586102-46586468,1,4,2,3,5,1,2,2,0,0,5,4,2,1,1,0,1,2,2,1,1,2,0,2,2,2,3,3,3,0
chr9:137811461-137818138,0,1,3,0,2,1,1,4,3,1,11,6,3,3,5,0,4,2,3,0,0,1,1,2,4,2,1,3,1,0
chr8:131940499-131946633,1,8,3,1,1,3,3,1,1,1,6,1,3,1,0,1,0,2,1,1,4,3,3,1,3,6,2,2,2,4
chr3:174523413-174553757,2,3,1,2,0,2,3,3,1,5,6,0,1,3,0,1,2,3,4,1,1,1,4,2,4,4,0,2,5,1
chr4:51863437-51899378,1,2,0,1,0,4,0,2,4,2,9,2,3,4,0,2,1,0,1,4,2,0,5,1,7,1,1,0,3,1
chr17:46170855-46172232,4,11,10,8,10,13,7,5,11,8,16,12,6,17,8,7,4,5,11,3,5,4,12,6,11,13,5,6,5,5
chr11:85990250-86031611,0,2,1,2,2,2,0,0,4,3,3,1,2,3,1,2,3,1,1,3,2,1,3,2,3,1,5,3,0,0
chr11:65500529-65500611,1,1,1,6,4,5,1,5,9,14,2,1,2,14,1,5,2,7,11,1,1,7,1,1,1,1,10,8,2,2
chr11:65499781-65499892,14,8,5,4,2,4,10,11,2,4,14,5,1,8,3,2,1,6,7,5,5,2,5,2,1,6,14,6,8,3
chr3:149846011-149902162,1,3,0,3,0,2,3,4,2,1,2,2,2,6,1,1,2,0,0,2,2,2,1,3,1,3,2,1,3,1
chr17:42498924-42501304,6,3,3,3,4,3,4,6,4,4,8,4,11,7,6,7,2,1,5,2,3,3,8,1,7,3,8,5,1,1
chr1:66958059-66963160,2,3,3,2,3,2,1,4,2,1,7,1,2,3,7,2,5,4,1,4,1,2,0,2,8,2,2,2,1,1
chr5:176943335-176958154,6,15,15,15,10,11,27,9,15,18,31,15,14,33,10,15,3,10,13,13,10,11,19,11,12,9,11,11,13,8
chr10:35516523-35530243,2,3,2,0,0,1,3,1,3,1,5,2,1,2,4,1,2,4,3,1,2,0,2,1,2,3,7,0,2,0
chr2:199323803-199381820,4,5,2,1,2,3,4,7,7,3,11,3,5,5,3,2,4,0,2,2,1,1,4,7,3,3,2,5,5,3
chr6:57193842-57210445,4,1,2,1,1,3,2,2,1,6,14,0,2,3,0,1,2,3,2,1,4,4,6,3,6,1,2,1,3,4
chr10:110964125-110985765,17,12,6,8,13,20,13,8,16,18,26,22,6,19,12,7,9,1,12,10,14,8,17,13,14,13,21,7,13,17
chr14:105587604-105708082,1,2,2,4,10,5,3,0,1,2,4,2,3,5,1,5,1,1,3,3,0,1,8,1,6,3,0,6,1,1
chr17:16381902-16382130,2,3,0,3,3,2,2,1,2,2,5,0,0,4,2,1,2,2,3,0,3,1,2,0,1,1,1,2,1,1
chr17:59353215-59353526,10,5,5,1,3,6,6,5,4,6,11,1,5,5,4,1,9,4,4,4,10,6,0,2,6,9,8,5,3,1
chr10:21713772-21727928,0,2,1,3,0,5,5,2,2,3,4,5,3,3,0,0,1,1,1,1,2,0,2,0,3,1,2,2,4,1
chr1:224952670-225007544,2,4,1,2,0,2,0,1,2,4,4,2,1,2,1,0,3,1,2,1,0,0,3,2,2,1,3,2,1,4
chr4:102714438-102726683,9,7,5,5,2,15,4,3,7,9,14,4,5,10,2,0,6,1,3,6,3,4,8,10,3,5,5,10,3,3
chr13:19851355-19852190,2,1,2,1,2,3,0,1,1,2,6,1,2,5,0,2,0,2,0,1,0,2,0,2,2,2,2,2,1,3
chr1:119755427-119759989,2,1,5,1,1,2,3,0,1,2,5,0,6,2,1,0,1,1,3,5,2,0,3,4,1,3,3,0,2,5
chr2:199348701-199433514,6,8,8,4,7,4,11,11,6,6,13,4,13,9,2,5,9,0,15,8,3,3,11,7,9,10,8,7,10,4
chr16:19644886-19652090,2,3,2,1,1,1,0,2,5,0,2,2,0,2,3,0,2,2,1,0,4,0,2,1,4,4,2,0,0,1
chr9:9442109-9442287,2,1,2,3,0,2,2,1,1,3,2,2,2,0,1,2,0,3,4,1,6,0,4,4,0,3,3,2,1,2
chr15:44711519-44715649,11,14,9,7,7,5,12,14,7,5,15,4,5,6,12,2,4,6,7,5,10,9,8,0,8,4,8,4,5,11
chrM:5902-6084,7,3,0,0,3,0,1,11,2,3,9,4,1,0,2,2,5,3,7,5,6,9,4,5,5,11,19,9,11,2
chr7:100993219-100998102,9,2,0,0,2,1,0,1,3,3,2,3,0,3,1,0,6,3,2,1,0,0,0,1,5,5,3,1,3,0
chr9:19286769-19305527,4,2,2,1,2,1,1,0,2,1,4,3,3,3,1,0,4,2,2,2,3,1,0,0,0,2,3,0,1,0
chr19:14402597-14404562,3,1,3,2,2,2,1,0,1,0,2,0,2,0,1,1,2,3,2,2,0,3,3,0,1,6,1,1,1,2
chr4:150761783-150808398,2,2,2,4,6,6,5,4,1,6,17,6,6,9,6,4,2,2,2,2,1,3,1,2,4,1,5,2,1,1
chr11:65499750-65499859,5,10,2,7,3,6,11,5,5,5,12,6,6,6,5,7,4,4,11,3,3,5,3,6,11,8,6,4,2,5
chr7:105038126-105041023,2,2,2,1,6,5,4,3,4,1,9,6,4,6,4,2,2,4,4,2,2,2,3,3,2,3,8,3,4,3
chrM:4133-4223,0,2,2,3,0,3,2,1,2,4,4,1,4,5,5,1,1,1,4,5,0,1,2,0,0,4,4,2,4,2
chr1:12578718-12579412,1,4,3,2,0,3,2,6,2,2,8,2,1,6,2,2,1,1,3,4,1,2,3,1,6,5,1,3,4,3
chr7:149492859-149558839,0,3,0,1,0,6,1,1,3,1,4,2,4,2,2,0,2,4,4,1,2,2,5,0,0,3,1,4,0,6
chr3:149846011-149872154,3,3,3,5,4,9,3,5,3,3,13,1,4,6,1,4,3,1,1,4,4,1,4,1,6,7,6,5,5,4
chr2:88857297-88857611,2,2,2,9,5,3,2,1,3,2,6,2,0,9,0,2,4,1,1,3,2,0,6,2,4,2,0,6,2,1
chr14:49586789-49862664,2,8,5,6,0,8,1,3,3,7,0,7,4,13,2,4,2,3,5,5,3,5,17,17,10,3,6,1,10,2
chr2:190659158-190673152,9,12,12,8,16,19,28,7,17,12,32,9,14,14,8,12,7,7,9,10,11,7,1,1,1,8,8,9,11,7
chrM:9055-9183,10,4,5,1,4,3,0,1,4,3,5,2,5,3,4,1,1,1,6,6,2,8,5,0,4,9,11,4,4,7
chr2:26364302-26373629,2,1,3,2,3,4,4,2,0,2,2,0,3,3,2,2,1,1,0,3,1,2,1,1,1,4,2,0,1,6
chr6:75702645-75711416,6,3,3,3,2,6,7,4,3,7,12,4,4,5,3,5,4,1,3,1,3,3,9,0,8,3,2,2,3,3
chr5:112985835-113004077,1,2,0,4,3,3,3,2,0,3,8,3,5,2,0,3,0,3,4,5,1,0,3,0,2,3,0,2,1,1
chr17:49311312-49312042,6,5,8,3,5,13,5,6,4,8,13,12,3,4,5,4,8,4,5,6,1,3,7,2,5,6,10,6,7,1
chr15:89871475-89889140,1,0,10,2,2,3,4,6,4,2,6,1,5,3,1,5,3,2,5,2,3,0,4,0,2,1,5,1,2,4
chr17:20204333-20205912,1,1,23,20,8,46,38,3,2,3,1,35,52,1,2,19,49,32,2,31,2,1,32,1,2,3,3,1,29,30
chr11:65501909-65502163,3,3,2,3,2,1,1,4,1,1,7,3,3,4,1,0,0,0,3,3,3,3,2,3,3,5,4,1,3,4
chr10:94030683-94032252,10,6,12,11,8,15,13,7,7,13,22,11,13,17,8,16,10,1,14,4,3,6,19,12,14,15,1,9,8,10
chr14:49862556-49862736,5,1,0,0,3,1,4,1,3,9,9,3,0,3,3,3,3,2,5,4,4,6,3,1,1,8,11,6,3,1
chr16:27213585-27215008,6,5,6,6,11,7,8,9,1,3,10,7,5,6,1,3,3,4,7,1,2,4,1,1,5,2,2,9,8,5
chr4:77773081-77776392,7,4,4,5,8,12,9,6,6,8,26,5,10,12,4,7,4,5,1,6,3,6,9,2,9,9,8,9,7,8
chr15:90439332-90443478,6,7,6,3,7,6,7,7,3,7,11,2,9,8,6,4,2,3,6,3,4,4,3,2,13,6,2,5,5,6
chr17:56848696-56856625,1,4,6,2,4,6,5,2,4,3,5,6,5,1,2,2,4,5,3,1,3,4,3,0,3,3,4,2,1,3
chr1:13778418-13782831,2,1,3,1,2,2,1,1,1,3,1,0,2,2,3,2,2,1,4,1,2,0,2,0,2,6,3,3,5,1
chr22:40881770-40882177,2,2,1,1,4,3,3,5,1,3,10,2,6,6,1,0,2,2,1,2,1,2,7,4,2,2,2,3,4,3
chr1:59339958-59346398,1,1,2,2,4,2,5,7,1,2,9,1,3,8,0,3,0,3,2,3,1,1,1,1,3,5,5,5,1,5
chrM:9060-9184,19,17,12,7,10,12,13,7,11,15,11,45,24,14,4,6,2,10,18,8,0,19,25,21,16,17,30,7,33,26
chr22:22900976-22905025,4,1,3,13,14,1,8,2,18,5,5,3,1,4,5,7,9,3,1,2,5,1,2,1,3,1,4,19,4,1
chrM:11525-11635,1,3,2,1,2,0,7,1,1,2,3,3,1,1,2,2,0,1,2,6,4,2,1,1,4,2,4,0,0,1
chr19:12928342-12928847,13,18,8,8,18,19,31,6,11,10,33,19,17,17,17,10,7,12,12,12,18,11,18,7,15,17,22,15,15,12
chr3:129827803-129832826,0,1,2,2,1,1,3,3,4,1,4,1,2,3,1,0,2,2,2,2,1,0,2,0,0,1,6,3,2,2
KI270733.1:124892-169977,1,1,1,3,1,2,4,0,3,1,1,1,3,5,0,4,2,1,2,0,2,1,2,3,4,5,1,3,1,0
chr2:32478635-32479617,0,2,1,2,0,1,1,2,4,5,4,3,2,3,0,0,3,0,0,4,2,2,0,0,0,0,2,3,1,1
chr12:69589485-69593613,2,7,6,1,4,3,8,6,2,2,11,7,2,4,6,5,3,3,7,3,2,2,0,5,3,5,4,1,2,2
chr11:65500635-65500759,6,2,2,5,0,2,5,6,2,3,6,6,3,7,5,0,1,4,10,9,6,3,4,1,5,5,9,6,6,2
chr2:10419734-10420135,0,3,4,1,4,3,4,2,3,5,12,1,3,1,3,3,3,1,3,5,3,5,3,3,3,1,5,5,3,6
chr12:57946995-57953689,2,3,0,3,1,5,3,6,2,0,5,2,3,5,2,2,2,0,1,0,2,0,4,0,4,5,4,3,3,4
chr11:65503631-65503791,5,3,1,2,2,4,1,0,5,10,8,6,3,8,1,2,2,4,6,2,1,4,5,1,7,8,5,1,1,1
chr14:105587600-105708081,1,7,1,6,2,0,2,2,1,3,1,1,3,3,0,2,2,3,1,2,0,0,2,0,2,3,2,9,4,2
chr7:76502388-77002252,2,1,1,2,4,2,5,3,4,0,4,2,0,3,3,1,0,0,3,3,2,0,2,0,0,4,1,1,2,1
chr2:173954873-173956232,0,2,1,5,2,1,0,3,3,2,2,3,2,5,1,1,2,0,2,0,1,2,2,2,4,1,1,3,0,1
chr22:45178238-45178900,6,8,2,6,4,3,10,4,5,9,5,3,3,9,1,4,7,5,4,6,1,2,5,1,7,2,4,4,5,3
chr15:43398038-43401850,1,4,3,3,3,4,4,1,0,2,3,1,3,2,1,2,0,0,2,0,0,0,5,2,0,1,3,1,2,3
chr6:7181124-7189322,1,5,2,5,2,1,6,5,7,3,5,2,3,3,0,1,1,3,3,4,5,0,6,3,7,2,5,4,6,1
chr8:123077111-123105464,3,5,2,3,2,4,3,4,2,0,7,3,1,6,5,3,3,0,3,1,0,2,0,2,5,3,4,3,3,3
chr9:77337255-77371149,0,4,3,1,2,0,0,4,5,2,3,2,4,3,2,1,0,2,4,3,0,0,1,5,3,2,8,1,3,0
chr6:158312051-158314268,14,21,18,26,21,2,24,20,20,24,41,1,23,31,19,1,11,17,33,14,1,1,1,1,24,25,31,20,22,24
chr3:63912588-63913225,4,0,6,2,3,1,6,2,1,3,1,3,3,5,3,1,1,0,1,1,5,0,4,5,3,2,3,5,1,4
chr8:130358017-130361771,2,2,1,1,3,3,2,1,1,2,5,2,2,6,2,4,2,1,0,4,0,2,1,1,0,3,3,0,2,1
chr2:199308760-199381820,5,5,2,2,5,5,0,7,2,8,12,3,8,3,3,0,5,2,9,6,2,0,8,4,8,3,6,3,2,8
chr9:19288596-19300331,1,5,3,2,4,2,0,1,3,3,4,3,3,1,1,1,2,0,1,3,1,3,4,0,3,3,5,2,2,7
chr2:37316237-37317179,5,10,3,6,17,11,14,9,4,8,21,18,10,30,4,9,8,5,7,9,6,6,17,10,10,9,10,10,10,11
chr11:65502110-65502334,4,3,1,3,1,3,6,2,2,0,5,2,1,4,0,2,3,1,4,1,1,1,1,4,3,3,3,2,2,0
chr11:65499603-65499749,2,3,4,6,1,3,6,1,1,8,1,6,1,7,3,4,1,3,3,2,7,3,1,1,4,4,1,1,5,1
chr15:42260958-42268032,2,3,0,2,2,4,2,0,2,6,6,4,3,7,5,2,2,3,3,0,2,1,2,4,6,6,2,1,2,1
chr17:1842803-1853189,1,5,2,0,2,1,2,4,4,3,7,3,0,2,2,0,0,2,1,2,3,1,1,1,2,4,1,6,3,0
chr7:100958306-100958611,2,2,1,1,6,3,1,3,1,3,7,1,5,2,4,1,1,6,1,2,2,2,1,1,3,2,3,1,4,1
chr7:100991700-100991852,5,4,1,0,3,0,0,1,1,2,2,3,0,2,0,2,4,3,3,3,0,2,0,0,1,4,2,0,4,0
chr16:30664215-30666541,5,1,3,1,1,1,5,3,4,4,1,2,4,5,2,1,5,4,6,1,2,3,3,1,1,2,4,7,3,2
chr16:66938037-66939358,1,3,1,0,2,3,7,6,3,5,4,2,2,1,1,0,2,2,7,4,0,2,3,3,5,4,4,2,3,4
chr4:143543509-143543972,14,10,9,5,9,9,23,15,14,24,34,19,20,19,15,13,20,16,15,15,11,10,12,2,16,11,23,14,16,3
chr11:65501247-65501561,5,3,6,4,6,13,8,4,9,6,16,7,14,6,5,7,13,3,11,3,5,8,8,13,15,5,2,3,5,9
chr15:50300789-50309798,3,5,2,2,0,1,3,0,1,4,3,1,1,2,4,2,2,1,2,0,2,3,2,4,2,2,1,2,0,0
GL000255.2:1906082-1906554,4,3,1,1,4,6,9,5,8,3,14,8,6,7,8,5,4,5,11,5,6,1,3,2,4,9,1,4,6,2
chrM:11874-12019,6,5,1,3,6,6,13,10,8,5,17,6,3,5,8,2,2,8,7,5,11,8,6,6,10,9,14,4,14,7
chr11:74789626-74817714,2,0,1,1,1,1,2,1,4,3,9,5,2,1,2,2,2,1,1,1,4,2,0,2,4,3,4,6,1,0
chrM:7081-7275,0,1,0,4,1,2,2,3,2,2,4,3,3,3,2,3,1,0,0,3,5,4,2,4,1,3,2,2,5,4
chr11:65499696-65499920,2,2,4,5,4,2,4,4,5,1,3,3,3,2,1,0,5,3,9,1,2,4,2,6,4,2,5,3,4,4
chr6:2263601-2273417,2,4,5,12,2,8,4,2,3,4,18,7,4,5,6,2,1,2,2,7,2,3,4,2,6,5,4,3,2,1
chr16:21249731-21250977,2,1,1,0,4,1,6,10,2,3,2,3,3,7,4,0,2,0,3,1,0,2,2,0,0,1,3,1,1,4
chr14:35651805-35659196,4,2,1,1,4,3,2,2,2,3,3,3,4,0,0,2,1,1,7,0,1,4,1,2,0,3,3,2,2,1
chr17:51201592-51203228,2,4,1,2,0,1,3,2,2,3,3,3,1,3,0,1,1,1,1,1,2,1,0,1,1,4,4,2,2,1
chr2:214767482-214781509,1,2,5,3,1,2,6,0,7,2,5,3,2,7,1,2,3,3,2,1,0,1,2,1,3,3,5,2,1,4
chr17:42727635-42730918,5,2,3,0,2,0,4,4,1,5,7,3,0,4,2,0,2,0,1,1,1,2,1,0,7,5,5,1,1,4
chr15:44615363-44620403,1,5,2,1,9,8,4,4,4,0,8,6,5,5,3,3,1,1,2,3,7,2,5,2,4,4,6,2,3,3
chr8:18799295-18804898,0,11,4,0,3,7,23,2,5,8,32,2,13,16,16,6,7,5,3,6,20,6,6,8,0,9,8,7,9,3
chr22:22901239-22919801,0,2,0,2,5,2,3,2,1,1,12,4,2,3,7,0,0,10,2,30,3,0,3,0,2,6,8,1,2,3
chr6:24416397-24418578,1,6,0,0,0,4,1,3,3,0,3,6,1,3,0,2,0,0,1,1,1,3,9,2,5,0,3,1,2,4
chr15:50300789-50301368,0,1,3,4,0,3,3,1,1,0,4,5,3,2,1,5,2,0,1,2,3,0,1,3,2,2,2,1,1,0
chr1:147252623-147259918,3,6,4,4,3,2,3,4,1,3,2,5,2,3,2,0,3,0,0,2,1,2,5,3,0,0,3,2,2,2
chr1:92605307-92636336,1,1,1,2,4,6,1,3,3,3,14,6,1,4,4,3,3,2,2,1,2,1,3,3,6,4,6,1,2,2
chr11:65500443-65500517,4,3,3,3,0,2,2,1,3,3,7,7,5,3,3,2,1,4,4,7,1,2,2,1,4,6,2,3,1,1
KI270733.1:123418-168867,3,4,9,1,2,5,10,2,5,5,6,0,2,3,6,8,6,1,3,2,2,2,2,3,1,2,1,2,0,1
chr1:1804419-1817875,8,7,4,4,7,4,3,5,8,6,10,5,6,6,2,1,4,1,8,1,1,2,5,2,6,5,3,3,3,1
chr10:5773842-5800705,2,3,4,2,1,1,3,2,2,4,9,3,4,3,2,2,6,2,4,2,6,2,2,3,4,2,1,2,2,3
chr11:65500470-65500552,2,3,1,1,0,5,3,4,4,2,11,6,1,2,0,0,2,0,4,7,7,3,2,2,1,4,1,0,1,1
chr11:72773365-72774499,4,8,1,3,5,2,7,3,3,2,4,2,2,5,7,1,3,1,4,3,4,0,7,0,3,0,5,1,3,3
chr6:144537582-144539443,2,2,2,2,5,7,5,0,2,3,6,6,1,7,1,2,1,3,3,3,2,3,3,2,5,4,5,4,1,4
chr11:65499696-65499837,2,2,2,2,2,2,3,1,3,4,4,2,4,3,2,3,2,2,4,4,3,3,2,2,3,2,5,0,2,1
chrM:11950-12016,5,3,2,0,3,3,13,6,4,4,6,6,6,7,7,5,4,8,7,3,1,5,0,4,6,7,13,2,13,3
chr14:39033517-39033642,1,2,1,2,2,7,7,2,3,5,5,2,4,7,0,2,2,2,10,7,4,1,2,2,4,5,3,4,2,5
chr12:89466770-89472275,0,2,1,0,1,7,4,3,2,3,4,0,0,3,0,2,0,3,0,0,3,2,2,3,0,5,2,0,0,0
chr13:100257595-100273346,2,2,1,4,1,2,1,8,1,1,7,2,2,3,2,0,1,3,2,3,1,1,0,1,2,5,8,5,2,3
chr12:28305649-28391411,3,0,2,0,3,4,1,1,4,3,5,3,1,5,1,3,1,5,3,2,0,1,2,2,1,3,3,1,2,2
chr14:20343166-20343396,1,6,0,2,1,1,0,1,0,3,6,10,5,3,2,4,0,0,1,1,2,8,2,4,5,10,0,1,1,0
chr7:2437804-2443746,1,2,0,2,1,2,2,2,0,2,4,3,2,2,1,0,2,3,1,4,2,3,1,0,1,1,0,1,3,1
chr1:206929725-206930017,1,3,3,1,4,2,5,4,2,4,5,2,0,3,1,3,2,1,7,0,0,1,1,0,4,1,2,3,5,1
chr11:65422983-65423218,1,4,0,1,6,1,0,1,7,1,5,4,3,1,0,2,5,3,1,2,2,1,2,1,4,4,5,2,2,0
chr3:196487399-196488683,0,2,2,0,1,0,5,0,3,4,4,3,2,4,2,1,2,3,0,1,0,1,1,1,3,2,1,1,2,1
chr3:9750945-9751949,1,4,0,1,1,2,5,4,4,3,7,6,4,2,3,2,1,2,5,2,2,1,4,3,4,4,5,4,3,3
chr15:60442416-60445791,7,3,3,2,3,5,3,1,4,3,7,8,2,8,6,3,3,2,1,2,1,2,3,0,2,8,2,1,3,4
chr10:68468123-68470163,5,3,5,3,7,3,1,1,7,4,9,2,4,5,2,10,1,7,5,3,5,5,15,4,5,8,4,6,3,1
chr3:16301626-16302748,1,3,1,1,2,4,2,3,1,6,10,3,4,8,5,1,0,0,1,2,4,2,3,0,3,3,3,3,2,5
chr11:65502168-65502332,4,5,2,5,5,7,13,4,5,14,20,5,5,13,4,1,1,8,17,6,12,6,4,3,4,12,20,3,7,5
chr4:61934840-62044549,1,1,6,4,4,5,6,5,1,5,12,2,3,5,1,3,4,0,5,2,9,10,3,4,2,3,2,5,3,5
chr7:35667434-35673278,6,14,3,5,10,10,12,8,5,8,19,7,10,11,2,3,5,6,6,4,5,5,12,4,8,9,18,10,11,5
chr14:49586757-49862633,7,4,2,4,0,1,4,2,0,2,5,2,2,3,3,1,1,5,1,6,2,3,4,4,3,1,2,5,1,2
