ID,CircRNACount-1032245-T,CircRNACount-1039868-T,CircRNACount-1042353-T,CircRNACount-1042745-T,CircRNACount-1043773-T,CircRNACount-1045386-T,CircRNACount-1045549-T,CircRNACount-1046191-T,CircRNACount-1046287-T,CircRNACount-1046349-T,CircRNACount-1046499-T,CircRNACount-1047291-T,CircRNACount-1047831-T,CircRNACount-1047912-T,CircRNACount-1048720-T,CircRNACount-1049983-T,CircRNACount-1050700-T,CircRNACount-1051316-T,CircRNACount-1054390-T,CircRNACount-1056166-T,CircRNACount-272577-T,CircRNACount-451368-T,CircRNACount-477022-T,CircRNACount-515975-T,CircRNACount-522638-T,CircRNACount-548142-T,CircRNACount-649867-T,CircRNACount-685749-T,CircRNACount-843725-T,CircRNACount-99272-T
chr2:61522611-61533903,35,5,28,14,31,23,15,13,22,30,42,24,16,36,13,14,29,17,19,20,10,25,26,19,22,32,16,31,28,35
chr11:86022367-86031611,4,2,2,4,6,4,0,1,10,3,1,0,0,1,2,5,4,0,5,1,6,2,0,1,2,5,2,7,2,1
chr21:39228500-39229436,2,1,0,2,2,5,0,5,3,3,0,2,4,3,1,0,2,1,2,8,3,1,2,4,2,2,2,3,1,1
chr15:58912563-58916999,6,3,1,2,7,3,0,2,1,1,2,1,2,6,1,0,5,3,5,1,3,2,4,1,5,3,3,10,3,2
chr2:31917926-31932135,6,2,6,8,4,6,1,7,3,4,7,6,8,11,3,3,14,7,5,5,5,6,8,3,10,11,4,1,8,3
chr13:112516440-112527484,2,2,1,10,6,8,2,4,1,3,11,3,4,3,2,4,6,3,4,7,2,2,3,1,6,5,1,0,0,4
chr11:13413530-13445181,1,3,1,2,5,1,1,3,2,0,1,0,0,2,0,1,2,3,1,4,2,3,2,2,5,0,2,1,5,2
chr1:30992390-31007102,2,0,0,3,4,4,0,2,4,2,5,2,5,8,4,0,6,0,0,4,4,2,0,2,7,0,2,3,2,3
chrM:6810-7009,4,4,6,2,3,4,3,4,3,4,3,4,4,7,5,2,8,2,1,1,4,8,3,5,4,2,3,1,7,3
chr6:18236452-18258405,3,2,1,2,2,5,0,1,2,2,4,4,3,7,2,2,8,2,1,4,2,5,3,1,4,6,8,15,3,3
chr4:152411303-152412529,47,31,38,33,95,26,19,18,55,33,52,23,46,32,37,17,51,27,59,60,20,38,60,35,44,62,30,29,36,67
chr4:77773081-77776392,6,2,4,4,9,5,2,4,7,4,4,1,4,4,3,2,4,0,5,1,2,1,2,3,3,3,2,2,6,8
chr16:29833733-29834066,12,0,4,1,4,1,2,2,4,0,1,3,1,1,2,1,1,0,2,5,2,1,1,3,6,12,2,6,3,2
chrM:9065-9178,14,15,17,4,56,21,8,12,11,7,41,1,12,41,12,17,10,40,15,24,0,15,25,12,66,17,0,20,22,7
chr20:25297074-25297388,1,5,10,1,6,1,0,12,13,0,3,3,4,2,0,2,2,5,3,2,0,2,3,4,0,2,5,1,31,4
chr12:82857010-82857580,7,1,1,2,0,3,0,1,6,2,2,2,6,1,3,4,1,1,2,3,1,1,2,1,0,2,3,1,2,0
chr1:77801331-77815231,4,1,1,2,3,4,1,1,2,0,2,2,1,3,0,2,1,2,1,2,1,1,1,0,3,1,1,3,3,2
chr6:157036835-157084905,5,0,2,5,3,4,2,4,6,10,3,5,4,6,2,1,3,0,2,2,1,1,2,2,2,3,5,1,1,5
chrM:7854-7937,6,3,1,2,7,5,3,11,1,3,4,5,3,2,5,0,0,12,4,5,4,5,3,1,13,5,2,3,13,0
chr1:206933128-206934515,2,2,0,0,2,1,6,1,1,0,3,0,2,8,3,6,0,3,3,3,1,11,2,2,0,4,4,0,0,2
chr3:170136419-170149244,7,2,0,0,2,2,0,1,1,2,4,2,0,2,2,0,3,3,1,4,1,2,2,2,3,4,7,1,2,1
chrM:8442-8495,3,5,10,4,10,6,1,2,2,13,0,3,10,10,2,3,8,1,7,6,6,0,5,9,9,3,2,1,1,9
chrM:9064-9199,11,1,3,1,10,8,9,2,2,4,10,3,11,9,1,8,3,5,3,12,2,5,6,2,18,11,1,4,8,3
chr10:110964125-110985765,12,7,5,8,16,14,5,4,12,10,4,9,10,9,6,1,3,2,12,4,8,9,9,7,6,5,5,3,10,10
chr9:85618983-85633374,1,1,3,7,4,2,1,1,5,0,1,2,3,6,0,2,1,3,2,2,1,2,7,1,3,2,1,5,4,2
chr11:73707420-73718718,10,5,14,1,17,10,4,4,14,4,10,9,6,5,5,4,6,13,3,9,1,4,7,4,5,15,4,10,7,7
chrM:11964-12047,4,2,0,0,1,0,0,3,0,1,2,5,3,3,1,1,0,3,3,3,0,1,1,4,3,0,2,0,4,2
chr11:85996826-86031611,17,5,6,3,12,18,0,10,16,5,7,13,7,10,6,7,12,6,8,10,3,7,8,4,13,6,9,12,13,2
chr11:65499660-65499839,5,3,0,7,4,4,1,2,2,2,2,2,3,1,3,0,1,1,4,1,5,2,2,5,2,3,1,2,8,0
chr16:88027483-88038011,10,9,2,3,3,9,3,5,10,2,2,2,7,14,4,2,9,1,4,5,3,1,5,3,7,4,4,7,4,7
chr11:65499810-65499913,1,4,0,4,3,5,1,2,2,0,3,1,3,2,3,2,1,3,3,5,1,4,3,4,0,3,1,2,14,2
chr3:67495798-67508903,6,2,7,8,13,16,2,5,7,7,4,9,4,6,8,5,4,6,7,3,5,6,8,6,4,4,1,8,2,6
chr13:60439688-60467379,7,2,13,4,15,6,1,10,6,9,9,7,9,12,6,8,6,3,2,6,6,3,3,4,12,4,2,14,5,8
chr4:153270335-153276130,2,0,2,0,0,4,0,1,4,5,2,2,6,2,3,0,5,0,2,1,2,2,2,0,1,3,1,0,1,0
chr12:124913268-124913495,3,1,0,0,1,3,1,2,3,0,2,2,2,1,5,2,4,2,4,0,0,2,0,4,1,1,3,0,3,2
chrM:9290-9514,28,4,5,9,1,11,1,16,1,5,12,20,2,5,8,1,27,24,11,8,9,24,1,5,15,1,11,3,10,1
chrM:5901-6057,4,5,0,0,4,2,0,5,3,5,5,6,6,0,2,3,5,5,8,7,2,10,2,5,8,7,10,4,5,3
chr11:65500547-65500635,1,6,5,14,2,15,1,16,2,18,1,19,9,7,2,1,14,1,27,19,2,1,7,18,13,2,24,1,2,0
chr21:36338779-36344707,8,8,4,2,1,3,2,4,10,4,5,1,2,2,6,7,9,4,4,7,1,3,4,9,3,8,1,1,10,5
chr11:65499691-65499742,4,4,6,11,5,4,4,1,5,6,1,6,1,4,1,3,5,3,3,4,2,3,8,7,4,2,0,8,14,5
chr11:65499781-65499835,5,4,1,8,3,11,3,8,6,5,4,1,7,4,3,2,1,6,11,6,5,4,3,5,2,7,14,2,26,3
chr6:158282263-158314268,17,9,8,35,10,29,10,13,10,13,29,5,15,15,13,1,15,13,12,13,12,10,11,8,16,8,16,21,1,25
chr6:16326394-16328470,16,12,10,11,44,24,16,9,20,13,12,23,6,13,23,3,7,5,24,24,3,20,15,7,22,19,11,3,17,30
chr12:2820086-2821792,3,1,2,3,0,1,1,0,2,5,6,4,0,4,2,1,3,2,0,3,0,4,5,1,3,2,2,8,2,2
chr11:65499735-65499831,4,5,7,2,3,7,4,2,5,6,2,3,6,5,1,3,1,3,10,1,2,4,2,8,4,5,1,3,10,5
chr15:76274412-76295737,9,4,3,9,5,8,1,4,2,5,12,8,4,8,3,5,8,5,9,2,2,2,6,4,2,1,9,7,2,6
chrM:14136-14215,4,2,1,1,0,0,0,10,0,0,1,6,2,3,2,0,4,1,7,3,0,5,1,2,3,1,3,3,3,0
chr9:122280443-122291840,3,2,4,5,2,5,4,3,6,2,3,3,8,7,1,1,7,3,5,2,2,1,3,1,5,2,1,4,3,2
chr12:45926142-45928859,2,1,1,1,2,2,1,0,4,1,2,2,4,2,0,2,1,2,0,2,0,1,1,0,4,2,5,3,1,3
chr7:140355668-140369682,1,1,4,2,3,1,3,1,2,1,1,3,4,1,1,2,4,1,0,2,1,2,5,2,0,3,0,0,4,1
chrM:15953-16083,2,4,0,5,0,1,4,6,2,4,3,2,1,9,2,0,5,6,1,2,1,5,3,4,2,3,0,2,4,2
chr11:65499666-65499845,1,1,4,4,0,2,1,1,3,3,2,6,1,2,3,0,3,2,2,1,3,1,2,6,1,3,1,1,6,1
chr16:68121987-68126610,36,24,17,55,23,30,11,12,19,1,1,31,29,24,25,1,36,19,23,16,1,29,23,12,13,25,21,23,21,24
chr11:66639700-66640123,3,1,1,2,4,4,1,2,3,2,0,0,2,2,0,1,4,2,1,5,0,4,2,2,2,2,0,1,2,2
chr4:148435104-148436862,1,4,0,0,0,2,5,0,4,3,3,0,1,3,2,1,1,2,2,5,12,6,1,6,0,0,2,1,2,3
chr3:49967470-49975392,3,2,1,1,5,2,0,1,2,3,2,2,2,4,1,1,0,1,2,1,1,0,0,1,3,7,1,4,1,2
chrY:2360566-2361159,1,1,3,1,0,2,2,2,1,0,4,4,2,3,4,1,2,0,7,2,1,1,1,0,0,4,2,0,3,1
chr18:76849526-76851939,4,2,3,3,4,7,2,3,6,1,9,6,3,9,4,3,2,7,2,8,6,4,3,4,4,8,6,10,6,8
chr6:136694140-136698682,3,2,0,4,3,6,2,4,3,9,2,6,1,5,4,3,6,1,3,2,0,5,2,1,2,3,2,3,3,1
chr6:170543601-170549113,2,0,3,0,2,0,4,5,2,1,4,1,0,4,0,0,3,3,2,3,0,3,2,0,5,0,2,1,3,5
chr12:124912735-124913418,3,3,1,3,4,0,1,3,4,3,1,6,3,1,1,2,1,5,1,2,1,4,0,1,4,4,1,2,8,2
chrM:11280-11499,21,10,10,12,32,8,11,25,15,11,14,13,19,19,5,6,21,20,30,25,10,23,23,12,49,10,4,14,31,16
chr7:30550636-30562128,1,1,2,2,3,1,4,4,7,5,5,2,3,5,7,2,3,2,2,1,3,1,1,0,1,3,7,5,4,5
chr14:49586583-49586851,9,3,2,3,1,4,4,6,1,4,4,10,1,0,1,0,6,8,1,2,0,1,5,8,3,4,19,1,3,1
chr2:8943187-8958642,0,3,1,4,2,5,2,1,0,5,0,1,3,0,1,2,5,1,2,0,3,4,0,9,6,3,1,1,2,5
chr1:32030298-32033334,2,3,2,2,5,1,2,1,1,2,3,1,2,2,2,0,2,2,4,1,0,2,0,0,0,2,0,1,1,2
chr3:129880309-129880559,3,0,5,7,2,7,0,2,6,2,4,0,1,7,0,1,2,0,2,3,1,2,8,4,1,2,2,9,3,2
chr5:32135572-32143880,4,2,6,11,9,7,0,3,5,1,0,2,6,5,2,3,1,3,8,3,3,5,3,7,5,8,1,5,10,6
chr7:92294889-92327900,11,7,14,5,13,6,2,2,10,9,15,4,13,11,4,7,8,8,10,7,1,7,2,5,7,11,11,5,4,9
chr14:20343083-20343187,2,1,2,1,2,2,1,3,0,1,6,1,2,4,1,7,0,5,2,6,0,7,1,0,1,6,0,6,1,2
chrX:24073601-24074959,0,0,1,1,0,5,0,1,2,0,5,2,1,3,3,1,2,2,2,2,0,2,3,4,0,7,2,2,2,0
chr11:65500447-65500611,4,4,0,1,6,3,2,4,6,8,4,2,2,2,1,0,4,2,3,6,0,3,0,2,4,1,5,2,12,1
chr10:15816835-15847943,3,6,5,7,4,6,4,1,5,7,3,5,2,4,6,1,2,4,8,5,3,6,5,4,0,4,2,1,6,9
chr5:123545417-123575963,0,2,2,1,1,0,0,1,3,2,1,7,4,3,0,0,2,2,3,2,1,2,2,0,0,2,0,1,1,3
chr5:14316513-14336727,3,0,2,1,4,1,4,0,4,1,6,3,1,2,3,5,2,1,2,3,5,2,1,4,2,0,6,3,3,1
chr1:51827796-51834170,3,0,0,0,2,1,0,1,0,0,1,1,3,2,2,0,1,2,2,3,0,2,3,2,4,2,1,3,3,2
chrM:13846-14066,1,0,3,1,4,3,2,1,2,1,2,0,3,1,2,1,2,1,3,3,1,1,1,2,6,9,1,2,2,4
chr5:137985257-137988315,28,20,40,18,73,17,20,23,52,28,30,29,35,28,18,18,33,20,20,18,25,39,28,23,28,33,23,32,33,43
chrM:9052-9198,2,1,0,0,6,5,0,4,0,0,0,0,4,6,0,2,0,2,4,2,2,2,3,2,0,3,0,1,0,0
chr15:94356137-94402019,3,3,7,8,2,5,2,6,4,2,4,3,1,2,2,0,1,6,6,4,1,6,0,4,2,2,1,2,5,8
chrY:2211489-2221229,3,4,3,2,0,7,2,1,2,2,1,1,4,5,2,3,4,1,7,3,2,4,2,7,0,3,2,0,2,3
chr2:147972739-147975975,3,2,5,8,3,4,4,2,3,4,4,0,2,2,0,0,4,2,1,2,6,1,3,2,3,2,1,2,3,1
chr5:154029489-154034967,2,0,3,3,3,2,0,0,6,3,2,1,1,3,1,0,3,3,3,0,2,2,2,0,2,1,2,6,1,3
chr14:80497469-80530886,0,3,1,3,3,7,0,3,5,2,3,4,0,2,2,0,2,0,3,4,2,3,2,0,3,2,4,0,2,5
chr14:105588375-105708644,6,0,1,0,4,2,0,0,0,6,10,2,0,1,0,4,3,0,12,10,0,0,0,0,2,15,7,0,2,21
chr6:82214227-82214829,4,3,0,4,3,2,0,2,7,2,0,2,1,3,1,2,3,1,1,2,0,1,1,1,0,3,0,3,1,6
chr11:65422818-65423113,5,7,2,4,2,5,1,1,6,2,4,3,4,4,4,2,5,3,10,8,1,5,2,1,5,7,4,3,14,1
chrM:11871-12020,2,2,1,1,2,0,0,2,1,0,1,1,0,2,0,1,0,5,3,2,2,2,3,0,3,3,0,3,7,1
chr7:22266964-22318037,5,2,4,4,8,1,2,2,1,4,1,5,0,7,1,0,5,0,4,4,0,1,0,2,1,1,7,2,3,4
chrM:14131-14210,6,2,1,1,0,0,0,11,1,0,1,9,2,5,3,0,4,1,8,3,0,4,1,3,4,1,3,3,5,0
chrM:7702-7809,2,2,1,1,0,0,0,4,2,0,3,4,2,4,1,1,4,4,3,4,2,3,1,2,7,6,6,0,6,0
chrM:8939-9150,12,1,1,1,4,0,2,7,3,2,7,1,1,2,2,0,6,3,0,1,2,2,3,2,4,2,2,0,5,5
KN538363.1:333595-335821,5,3,4,3,11,5,2,11,5,10,6,7,9,6,3,1,6,3,5,3,2,4,1,2,7,4,2,7,5,5
chr11:65499660-65499712,1,5,1,1,5,3,3,1,4,3,2,7,1,2,2,0,0,1,3,0,2,3,0,1,2,0,1,2,13,1
chr15:25405461-25411971,21,13,13,13,14,18,10,8,24,20,12,17,16,28,11,16,21,9,17,19,7,13,22,9,12,19,7,25,6,25
chr11:65500483-65500680,1,3,2,2,2,2,1,3,5,3,1,6,0,1,4,0,2,2,2,1,1,0,0,3,3,1,3,1,5,1
chr11:121045674-121060085,6,4,5,13,4,6,0,3,5,3,1,13,0,3,6,4,7,2,8,1,4,5,7,3,2,2,0,6,7,4
chr11:65499782-65499836,5,5,0,5,6,4,2,5,1,8,0,2,3,2,3,0,3,2,1,2,0,3,2,2,3,5,3,3,6,3
chr11:62143080-62143188,7,2,0,0,5,0,4,2,1,0,0,0,4,5,3,3,0,1,0,7,2,3,2,3,0,3,0,0,3,3
chr5:139363759-139364743,2,1,0,2,7,2,1,4,4,1,7,0,3,2,3,3,4,0,6,0,3,1,1,4,4,1,6,5,3,2
chr2:58084089-58089723,1,1,2,1,1,7,0,2,2,1,3,3,4,1,5,1,0,5,0,2,3,3,2,2,0,5,2,7,2,1
chrM:15952-16082,1,4,0,5,0,1,4,6,2,4,3,2,1,9,2,0,5,6,1,2,1,5,3,4,2,4,0,2,4,2
chr3:169976946-169988359,4,4,1,3,2,9,2,2,6,3,2,1,0,0,1,2,3,1,4,6,1,5,4,3,4,1,1,5,4,8
chr1:207076630-207076661,1,3,0,0,14,1,1,1,3,5,11,4,5,7,0,6,6,4,4,2,5,7,2,4,0,3,2,1,9,7
chrM:8927-9030,7,3,6,2,2,2,0,9,1,3,6,13,3,3,0,0,8,5,1,4,0,7,4,3,5,3,5,1,2,0
chr12:124419957-124430787,5,1,1,4,1,2,1,1,2,1,0,2,0,3,2,1,1,2,2,2,0,3,3,0,2,4,2,2,3,0
chr16:53873786-53888951,12,2,15,4,4,11,2,5,6,5,6,6,6,8,4,4,7,1,6,1,2,3,5,1,7,7,5,6,7,3
chr13:24222819-24224582,6,0,4,3,2,2,2,4,2,3,7,6,1,4,1,0,7,4,2,6,0,5,3,0,3,2,0,3,1,2
chr4:94573351-94586444,9,3,1,1,6,2,2,3,5,4,1,2,1,4,5,2,5,5,5,2,0,5,1,2,1,1,3,1,2,7
chr1:20770930-20773610,3,1,1,1,5,3,2,1,5,6,3,3,4,3,1,2,2,2,3,7,1,3,3,2,5,5,3,4,2,7
chr9:14639896-14680162,4,3,1,1,0,7,4,1,4,2,4,1,1,5,2,3,0,1,0,2,8,1,1,1,2,3,2,8,2,2
chrM:8975-9162,9,2,0,1,0,4,1,5,2,2,3,6,2,1,1,0,3,1,2,6,1,3,3,3,4,7,7,1,2,2
chr14:49586789-49862664,0,1,3,3,11,0,3,0,2,3,3,0,0,7,5,7,0,1,7,4,1,1,15,1,0,3,0,13,5,6
chr4:76134175-76144473,5,5,4,2,8,7,7,8,6,7,5,4,7,8,5,7,6,5,6,4,5,3,4,3,2,3,3,6,4,4
chr7:155672867-155680908,12,17,18,30,1,21,5,14,13,23,25,15,19,32,18,10,17,8,18,29,1,7,13,11,21,11,9,16,14,30
chr11:65499691-65499915,5,6,0,1,3,4,3,2,5,1,1,5,2,0,2,0,4,2,4,1,6,0,5,3,2,4,1,5,6,5
chr7:140355668-140358785,2,7,7,4,8,5,4,3,5,5,8,3,5,8,5,2,6,7,3,3,4,3,3,3,8,8,3,10,3,6
chr9:37424845-37426654,18,1,1,4,13,6,5,9,11,1,16,7,7,13,9,10,14,11,8,17,8,6,8,9,9,10,13,19,12,8
chr7:24623666-24668660,8,13,28,20,11,10,3,9,1,14,5,8,2,19,6,1,15,6,12,2,4,1,7,1,15,5,4,8,5,9
chr14:63998914-64022863,0,2,0,1,6,2,3,0,2,0,3,11,2,3,2,2,2,4,2,1,1,5,1,0,0,1,0,9,4,4
chr2:206127797-206130242,4,3,5,4,15,3,3,1,5,4,4,8,2,9,5,4,9,4,11,5,3,6,7,2,7,7,2,10,4,5
chr14:20343080-20343216,1,2,2,1,4,6,0,4,3,1,2,0,4,4,2,3,3,3,5,4,1,3,2,2,3,3,1,2,3,0
chr22:29340882-29341500,0,1,3,6,6,3,3,3,9,5,5,4,4,8,1,5,4,2,2,3,3,3,6,1,1,3,0,1,3,2
chr1:59339958-59378837,14,7,6,8,14,24,2,13,18,10,12,2,17,9,6,3,3,11,12,4,4,7,1,2,25,4,8,1,10,8
chr11:65499718-65499934,5,6,3,7,7,6,3,5,7,8,4,6,8,4,2,5,10,6,16,7,12,6,2,7,8,12,5,6,14,6
KI270936.1:104236-105141,2,3,3,0,1,1,0,1,6,1,7,2,3,2,1,3,3,0,5,2,1,4,9,1,4,1,0,2,3,0
chr10:7276892-7285954,8,10,6,2,0,2,1,2,5,3,2,3,1,1,2,0,0,3,5,6,2,4,5,4,1,7,0,1,11,8
chrM:5401-5510,5,4,3,1,7,5,1,9,11,2,1,4,1,1,0,1,3,1,1,6,1,2,3,1,8,7,0,0,9,2
chr17:16381956-16382183,10,2,0,2,1,3,6,2,6,1,6,3,5,2,2,1,4,8,3,4,1,3,4,1,2,0,5,5,7,8
chr11:65500058-65500413,9,8,5,3,8,5,6,15,14,10,8,3,10,6,10,4,10,5,11,4,9,12,6,10,13,3,4,6,27,4
chr6:35857261-35872728,3,0,6,0,2,7,1,2,0,2,6,5,1,2,4,3,4,0,1,5,0,1,3,0,1,2,0,1,1,0
chr11:65500488-65500619,2,0,2,1,2,2,0,1,0,3,1,2,1,1,0,0,5,3,3,2,2,2,2,3,1,4,4,2,5,2
chr2:210153495-210154611,7,5,0,2,2,2,1,0,4,3,3,1,2,3,2,1,2,2,2,1,1,6,3,4,2,7,0,8,1,4
chr20:25297073-25297387,3,4,5,1,2,7,1,9,8,2,2,5,4,3,1,3,3,4,4,2,1,2,1,3,3,1,1,4,24,4
chr2:161179614-161204793,1,1,1,3,4,2,1,1,2,2,2,0,0,1,1,0,2,1,0,1,2,2,3,2,0,3,1,6,2,5
chr1:224952670-225007544,6,3,10,8,2,2,6,6,5,0,0,2,9,1,1,0,4,4,3,1,3,1,1,1,8,2,1,4,1,27
chr12:111552280-111555919,2,4,6,2,3,2,2,3,6,4,7,8,4,5,1,1,8,5,4,2,0,2,1,2,6,1,1,5,3,4
chr16:47497399-47515601,11,3,8,15,15,8,8,10,9,11,7,14,5,17,6,14,15,5,5,9,4,12,7,4,4,5,1,8,7,3
chr8:130152736-130169067,1,3,2,2,3,0,3,1,1,3,3,4,1,2,2,0,4,0,6,2,2,2,1,4,1,2,1,6,3,2
chrM:4715-4763,4,4,2,2,2,4,1,4,5,2,0,3,1,1,0,1,2,4,2,0,0,1,2,1,5,1,1,2,10,0
chr12:69251129-69262562,10,3,2,8,11,3,0,4,1,2,8,20,3,23,4,3,25,3,4,7,6,2,3,2,6,1,5,1,10,5
chrM:11534-11644,3,1,1,2,1,3,2,5,1,1,1,4,1,3,3,0,5,2,3,2,2,3,2,1,4,2,1,0,3,0
chr2:45546732-45562756,4,2,7,9,3,13,2,2,2,2,10,5,3,7,3,3,4,0,4,3,4,1,3,3,4,3,3,5,3,4
chr11:65501566-65501764,11,8,10,13,13,10,6,7,6,2,10,9,8,1,5,5,4,12,13,7,4,8,5,9,2,4,7,3,21,7
chr4:25127264-25159107,0,0,3,2,4,2,0,2,3,1,4,2,2,3,1,0,1,0,2,1,1,5,1,2,1,2,1,3,3,2
chr2:24135119-24147086,4,0,4,3,4,7,1,1,3,0,1,1,0,1,4,3,1,2,2,1,4,0,1,3,3,2,0,9,3,6
chr1:155438327-155439068,7,4,8,3,10,4,3,2,11,4,5,5,3,4,4,8,4,4,2,1,1,8,2,4,3,3,6,6,5,5
chr18:9583117-9595153,2,1,3,8,3,5,4,2,7,5,1,5,5,5,1,1,1,3,3,1,1,2,3,4,3,1,0,4,7,8
chr21:8213101-8440803,4,0,3,2,10,7,0,3,0,0,12,1,0,1,8,26,9,16,5,12,10,10,4,0,5,0,5,1,11,7
chr11:65499785-65499896,5,1,6,9,2,3,2,7,8,3,3,1,5,3,6,6,4,5,8,4,2,3,4,2,1,12,8,0,18,5
chrM:6939-7160,14,37,16,33,34,28,16,21,15,46,30,11,44,42,34,25,16,20,23,19,12,58,38,51,34,14,6,13,42,34
chr3:125313308-125331238,7,1,6,7,4,8,2,8,8,4,7,8,7,11,3,5,21,2,4,4,1,6,3,2,4,6,7,12,7,6
chrM:6483-6679,3,1,0,2,0,1,3,1,3,3,2,3,1,0,3,3,5,0,1,2,2,2,0,0,2,2,2,2,0,1
chr15:44711513-44715560,7,10,2,3,6,1,5,0,1,8,5,0,0,6,4,5,1,3,7,2,0,8,5,0,0,6,0,3,2,4
chr7:98191614-98194572,10,2,2,2,1,1,2,3,3,10,3,4,4,3,1,1,5,4,5,5,3,9,5,3,1,2,1,1,3,3
chr11:65500847-65501205,1,3,0,0,7,2,1,5,4,5,2,2,5,0,2,0,3,3,7,1,1,1,0,0,2,3,0,3,6,3
chrM:11233-11410,19,1,12,16,4,11,4,18,1,6,11,23,7,13,4,0,21,8,15,14,4,10,10,20,21,1,6,0,21,9
chr11:65499721-65499847,8,13,7,11,18,7,6,12,7,15,6,11,3,9,6,8,2,8,14,7,4,9,8,9,7,14,10,4,28,10
chr1:65364635-65366196,2,0,2,0,8,4,0,4,1,2,3,3,2,0,1,4,0,1,5,1,0,0,1,0,7,3,2,2,1,1
chr4:169155480-169156679,4,0,3,0,4,1,0,3,2,0,2,2,2,0,3,1,4,1,4,2,0,3,1,2,1,1,1,1,2,1
chr7:17868407-17875790,4,1,5,8,6,8,4,4,2,4,8,10,9,5,2,3,7,7,5,11,1,2,2,2,14,5,2,1,4,2
KI270908.1:165256-165882,5,7,4,6,6,9,4,2,7,4,7,11,4,2,7,3,5,2,3,5,1,6,6,2,3,4,2,5,5,4
chr2:109564366-109593119,3,0,4,2,3,1,2,2,5,4,2,1,2,4,5,2,5,4,2,2,1,4,0,1,2,0,0,10,3,4
chr11:65502110-65502334,2,0,2,2,3,2,1,1,2,1,2,1,1,3,0,2,2,1,5,1,3,0,2,0,1,2,3,3,8,0
chr1:151024611-151025673,3,2,4,1,3,1,2,0,4,0,1,2,0,1,5,0,4,0,4,2,1,1,0,1,2,2,1,1,4,2
chr1:23397545-23418016,18,33,10,2,7,12,7,9,3,3,2,5,20,3,6,8,1,4,8,10,1,42,4,6,8,6,9,16,6,12
chr9:83678441-83686155,4,2,9,6,9,10,3,8,8,3,4,5,6,3,3,4,7,3,4,6,3,1,7,3,8,5,3,10,6,8
chr1:155675010-155679512,6,6,11,2,7,0,0,6,2,4,3,8,7,2,3,3,5,1,5,5,4,5,2,0,4,1,9,6,8,7
chr6:75702645-75703072,9,2,8,3,1,15,4,2,4,8,8,3,10,1,10,4,2,6,10,1,3,6,7,0,6,12,4,7,14,8
