ID,CircRNACount-1032245-N,CircRNACount-1039868-N,CircRNACount-1042353-N,CircRNACount-1042745-N,CircRNACount-1043773-N,CircRNACount-1045386-N,CircRNACount-1045549-N,CircRNACount-1046191-N,CircRNACount-1046287-N,CircRNACount-1046349-N,CircRNACount-1046499-N,CircRNACount-1047291-N,CircRNACount-1047831-N,CircRNACount-1047912-N,CircRNACount-1048720-N,CircRNACount-1049983-N,CircRNACount-1050700-N,CircRNACount-1051316-N,CircRNACount-1054390-N,CircRNACount-1056166-N,CircRNACount-272577-N,CircRNACount-451368-N,CircRNACount-477022-N,CircRNACount-515975-N,CircRNACount-522638-N,CircRNACount-548142-N,CircRNACount-649867-N,CircRNACount-685749-N,CircRNACount-843725-N,CircRNACount-99272-N
chr15:49235851-49239367,1,4,0,3,6,6,2,5,3,4,9,6,4,1,3,5,5,4,2,5,4,4,5,4,1,6,2,1,5,5
chr20:2986765-2988474,1,4,1,2,1,2,4,3,1,0,1,4,2,3,1,1,0,1,3,1,2,1,0,2,0,2,0,4,2,7
chr13:60439688-60467379,8,18,8,10,17,13,16,10,9,19,10,7,8,11,10,17,11,4,8,10,8,6,12,9,10,14,15,10,16,26
chr5:171183171-171205612,5,7,2,1,9,5,10,5,13,4,6,16,4,3,1,8,5,5,10,8,5,1,12,4,6,11,1,8,7,5
chrM:11520-11631,2,2,1,1,0,0,1,2,2,1,1,1,3,1,3,1,2,2,2,2,0,2,1,2,1,1,2,2,2,2
chr1:28459085-28466535,1,1,1,1,2,2,3,3,1,3,2,5,2,2,1,8,2,1,2,3,2,4,4,3,2,3,0,2,3,3
chrM:11872-12020,10,3,2,1,2,1,3,8,2,1,3,5,3,2,12,1,1,0,5,4,4,4,5,3,2,5,9,2,5,1
chr5:148548668-148550262,6,9,7,6,10,4,18,12,8,4,8,7,17,13,4,13,2,4,12,7,6,8,10,13,8,15,8,13,3,17
chr4:25151960-25159107,2,3,4,4,1,1,1,3,2,0,0,0,1,4,0,3,0,2,3,1,0,3,2,2,2,1,5,1,1,3
chr7:17868407-17875790,5,7,3,2,3,6,7,4,2,6,7,10,8,5,5,6,8,4,9,3,10,5,9,3,5,7,9,10,8,15
chr4:127921524-127939997,2,8,3,7,3,5,11,0,2,4,6,6,6,3,2,12,6,1,4,6,1,5,5,6,2,4,1,3,5,5
chr10:103622470-103661114,2,1,1,0,2,6,2,1,1,2,4,2,2,4,8,5,1,2,3,5,4,2,5,4,4,3,1,0,3,2
chr11:65500051-65500109,7,5,4,2,2,1,10,2,4,1,6,3,6,5,5,3,3,4,2,1,1,2,6,2,1,4,4,3,2,6
chr3:71493426-71501988,2,1,2,3,1,3,1,3,1,3,3,4,1,2,0,4,0,2,1,3,0,1,3,3,2,2,1,0,1,2
chr2:120073178-120078581,3,1,3,0,1,3,4,2,1,3,2,2,1,1,1,4,3,1,4,1,0,3,3,1,1,1,5,5,2,4
chr5:133091193-133092789,3,2,1,0,3,2,4,3,0,2,3,1,0,1,1,2,1,3,3,2,0,1,4,1,2,5,3,2,1,2
chr2:121605701-121606180,7,3,6,1,4,8,3,4,3,3,3,2,4,2,3,5,2,5,4,5,4,3,2,3,4,4,4,4,2,6
chr11:65423171-65423500,0,2,1,0,2,1,2,0,3,2,3,0,3,0,2,2,1,1,0,4,4,1,1,0,2,1,2,2,1,2
chr17:29684563-29703062,3,3,3,4,4,3,4,6,4,3,5,5,3,8,0,2,4,2,1,6,1,3,3,3,4,3,4,0,2,3
chr11:47752916-47754664,3,1,3,0,3,0,3,2,2,2,2,4,2,5,4,6,2,2,5,2,1,5,7,2,4,5,4,1,2,1
chr11:86007542-86031611,4,8,3,2,4,4,3,2,3,4,3,5,7,5,3,4,3,2,5,5,2,4,4,2,9,8,0,6,4,6
chr9:35657756-35658019,0,3,3,1,1,6,1,5,6,1,5,2,4,0,2,0,3,1,7,7,1,2,8,1,4,5,3,1,3,4
chrM:9060-9184,28,20,13,1,20,12,1,2,18,9,11,22,10,20,23,5,11,4,25,9,0,23,31,10,11,25,24,23,15,21
chr1:42265115-42278672,6,7,1,1,9,5,14,8,6,0,3,6,8,3,2,7,5,2,4,4,6,5,5,5,6,5,5,5,3,16
chr18:56756583-56758953,2,1,2,0,2,2,7,1,3,2,3,2,1,5,0,1,4,0,4,0,2,2,4,2,0,2,1,5,2,3
chr21:8208499-8435732,6,2,2,3,3,3,1,0,2,1,1,3,9,17,0,4,1,0,5,2,1,1,1,1,4,19,6,0,1,6
chr19:34430576-34434968,5,4,11,4,8,12,5,15,7,5,5,8,4,4,5,8,7,5,11,4,6,5,7,6,4,12,6,4,8,11
chr14:21503173-21503881,9,13,9,4,17,17,16,14,9,10,13,17,13,7,8,14,8,15,20,9,4,5,19,10,8,8,10,15,14,19
chr11:65500436-65500520,3,3,3,2,2,1,4,2,0,1,0,5,2,4,5,1,0,0,4,4,1,2,1,1,0,0,1,1,3,2
chrM:4176-4265,2,4,3,3,1,0,0,1,0,2,2,4,0,0,4,4,1,0,2,0,1,1,1,0,2,0,2,5,4,3
chr11:65502168-65502332,4,9,5,4,3,6,19,2,7,6,4,10,7,3,16,4,3,9,16,5,2,9,7,5,6,13,14,6,11,12
chrM:10287-10394,5,0,2,1,2,1,2,0,3,1,0,3,0,0,7,3,1,0,3,0,0,0,2,0,0,5,3,3,7,3
chr12:57946995-57953689,2,2,1,0,0,7,11,2,1,3,1,2,0,6,0,3,2,0,1,0,2,5,4,2,1,2,1,2,3,3
chr2:121757240-121761524,7,5,4,4,7,6,6,2,5,4,7,5,2,7,2,1,3,8,4,4,4,3,5,4,3,7,2,8,7,7
chr18:24064140-24083081,2,1,0,1,1,0,5,2,2,2,1,2,2,4,0,3,1,0,2,0,1,0,5,1,0,3,2,2,1,5
chrM:9051-9179,4,5,3,1,2,4,1,0,1,7,12,6,1,4,8,1,4,3,1,0,0,10,4,3,1,6,10,5,6,5
chr15:64499293-64500166,3,2,4,17,1,1,5,2,25,1,1,34,41,1,3,5,1,29,54,2,6,2,2,4,1,3,2,1,34,3
chr11:65499659-65499766,9,4,4,3,3,0,10,2,4,3,2,10,3,3,3,2,3,3,5,4,2,4,5,2,2,2,5,2,4,6
chr14:76166663-76180849,0,6,2,0,4,6,6,1,2,2,2,1,0,4,4,3,2,0,1,1,0,3,1,1,1,2,3,3,1,3
chr4:38790070-38791231,1,1,7,4,5,1,5,3,1,2,1,5,2,3,2,2,4,5,1,1,3,0,10,4,0,3,4,1,5,2
chr1:213117317-213129889,1,2,2,2,2,2,4,3,2,1,1,1,3,0,1,3,0,0,0,1,2,2,1,0,1,3,2,2,0,3
chr12:2820086-2821792,0,7,2,6,10,4,8,4,4,2,6,2,0,5,2,6,2,3,8,9,3,0,2,4,1,4,4,1,1,4
chrM:6810-7009,9,9,6,6,12,6,32,2,5,4,3,3,5,1,17,7,6,5,4,9,1,5,9,9,4,6,6,3,4,5
chr1:113848540-113855049,5,9,5,4,3,6,6,3,8,12,8,3,6,4,3,2,5,4,11,4,5,6,4,5,4,5,5,8,4,7
chr1:236806144-236816543,2,7,2,0,9,5,4,3,2,1,3,5,2,3,1,8,3,1,3,5,3,1,7,1,6,5,2,3,2,7
chr1:30992390-30995220,1,4,3,3,0,4,8,2,1,3,2,0,3,2,0,6,4,1,2,1,4,3,7,6,7,4,7,6,2,4
chr11:65499642-65499750,2,4,3,4,7,4,8,2,5,5,4,8,2,2,2,4,3,1,7,3,1,2,4,1,2,1,4,4,8,1
chr5:109713520-109716264,10,12,7,2,7,3,1,3,7,6,10,10,9,11,2,7,4,6,7,6,3,6,9,1,3,11,8,5,4,10
chrM:4031-4240,0,3,1,1,0,2,6,3,1,1,1,0,2,2,4,1,0,0,2,3,1,3,4,4,2,4,2,5,1,2
chr2:84870225-84870785,8,12,5,1,3,5,8,3,8,6,4,4,2,3,0,1,2,1,9,4,4,3,6,5,7,4,8,4,5,7
chr7:22291175-22318037,12,12,5,13,10,16,14,12,15,7,11,9,20,11,2,13,17,4,13,20,7,2,9,8,9,10,20,4,12,21
chr11:65500051-65500120,4,1,7,2,0,0,2,2,2,1,0,2,1,2,4,1,0,0,2,3,0,3,3,2,0,4,3,1,0,3
chr11:77624963-77625818,0,3,1,2,0,6,8,3,1,6,7,5,3,6,4,4,6,1,1,3,1,3,1,4,2,3,4,4,5,6
chr10:68487144-68506718,0,1,0,1,1,4,6,2,4,2,1,2,2,2,2,3,1,2,2,3,1,0,1,0,4,4,0,1,0,4
chr13:100257595-100273346,1,0,0,3,3,1,8,3,0,0,5,0,3,2,1,3,3,0,0,2,3,2,1,6,1,4,4,7,3,3
chr3:56592970-56594028,4,10,7,3,10,5,21,13,11,7,8,10,7,10,8,8,8,7,12,8,12,0,12,9,7,9,4,10,5,1
chr2:172570726-172596023,2,1,1,4,4,2,8,2,2,1,0,4,2,3,1,4,1,2,1,2,1,1,3,1,1,3,2,2,2,1
chr17:3705081-3705645,0,3,0,0,5,5,3,1,1,0,5,1,4,2,1,1,3,3,8,2,1,4,3,1,2,1,0,4,2,2
chr3:9750945-9751949,7,2,3,2,3,5,10,7,2,1,3,3,6,4,5,2,0,4,0,0,4,3,8,2,3,7,4,3,5,2
chr17:4133857-4134221,2,2,2,3,3,1,4,0,2,1,2,1,0,5,2,1,2,3,6,0,3,3,5,4,3,4,0,2,6,3
chr1:185214507-185231708,5,2,3,3,5,8,1,5,4,3,4,4,1,7,5,5,0,2,2,3,4,1,7,2,5,4,2,5,7,7
chr20:25297074-25297388,5,6,8,1,5,3,3,3,1,4,1,1,1,4,0,1,3,2,5,0,1,1,2,1,2,3,2,3,2,5
chr9:133412299-133412921,2,3,3,2,4,5,4,6,3,3,3,1,4,6,3,3,2,3,8,1,1,4,7,3,3,5,2,2,2,7
chr9:77337255-77371149,4,3,2,1,1,5,4,3,2,1,1,3,0,2,2,1,2,3,2,1,1,3,5,0,0,0,2,2,1,2
chr22:29970976-29979052,2,2,2,1,0,2,2,1,2,2,1,0,3,2,1,2,0,2,3,2,1,0,3,2,3,0,6,0,1,2
chr11:65500635-65500759,13,2,5,4,6,6,1,12,4,2,3,6,2,5,9,4,3,4,8,10,1,7,9,2,4,4,7,6,1,7
chr11:65501566-65501764,18,13,14,3,13,10,26,11,3,13,12,18,13,14,9,7,11,7,13,9,7,11,13,4,14,12,15,8,13,22
chr15:90486954-90492711,2,2,1,1,4,2,4,1,4,0,3,7,0,4,1,3,0,1,2,2,0,1,3,0,3,5,12,2,2,1
chr7:8003908-8071131,0,2,0,2,3,4,4,1,2,1,3,1,0,5,0,0,0,2,5,3,2,2,3,2,1,2,1,1,2,2
chr4:61934840-61948276,1,3,3,2,2,4,2,1,3,1,5,4,1,4,4,3,4,1,0,7,1,1,1,0,2,5,3,0,1,1
chr16:21249731-21250977,4,7,2,1,3,2,3,3,3,3,4,5,2,2,0,1,2,2,2,5,2,0,2,1,1,2,3,2,2,6
chr16:18841565-18845651,4,6,1,6,2,7,5,6,3,2,3,1,1,4,2,4,2,3,2,3,6,2,3,6,3,4,4,7,2,3
chr4:9641071-9641450,3,9,0,5,0,0,6,1,0,0,5,6,6,0,2,4,0,6,0,4,1,3,5,0,5,3,8,0,8,2
chr8:61618978-61653660,2,2,0,1,3,4,2,2,1,2,5,4,5,2,0,6,2,5,3,1,3,2,2,6,0,5,8,2,1,2
chr6:160046498-160048543,4,1,2,2,2,5,3,4,4,5,2,2,6,6,2,5,3,3,9,4,2,4,5,4,3,5,3,1,5,4
chr2:61113770-61118116,1,3,1,1,2,2,1,0,4,3,3,2,2,4,1,3,2,0,3,9,1,0,3,3,4,1,1,0,1,3
chr7:107776452-107783352,2,0,1,2,1,0,6,2,4,3,1,2,2,1,1,2,0,0,1,1,3,0,1,4,1,2,5,0,2,2
chrX:24172715-24179770,0,3,3,2,3,3,2,6,1,4,0,2,4,1,2,1,2,1,3,1,2,1,5,2,4,5,3,2,0,1
chr13:99238427-99244624,3,9,9,7,8,11,13,8,8,7,13,7,5,5,4,13,3,11,4,9,4,8,3,8,7,10,6,0,15,6
chr11:18291442-18292976,8,6,5,5,6,6,7,0,3,9,4,4,8,8,4,8,2,4,8,5,5,2,7,5,5,8,8,4,8,16
chr17:47361378-47379253,2,0,0,2,3,4,0,0,3,2,4,0,0,0,2,2,3,1,1,4,0,6,2,2,2,1,1,0,4,0
chr2:39112534-39112833,3,1,3,6,3,3,4,0,4,3,2,4,0,2,1,6,3,0,2,1,7,0,5,4,2,4,3,5,0,2
chr14:61721509-61721823,2,2,2,1,2,2,1,1,2,1,7,4,1,3,1,2,1,1,0,2,0,3,1,2,5,1,3,0,1,0
chr11:65499285-65499483,5,5,5,1,2,6,9,5,2,2,6,3,2,4,5,4,2,0,3,1,4,1,7,4,2,9,11,1,5,4
chr14:105587554-105707562,6,10,33,2,33,27,25,0,10,7,17,2,23,35,2,5,3,3,54,20,4,22,46,13,10,25,5,25,16,37
chr1:100906852-100921841,3,2,0,3,3,0,2,1,2,1,3,1,0,3,2,3,3,2,2,2,2,0,1,0,1,1,1,1,1,0
chr7:27629371-27632445,1,1,2,2,0,1,3,2,4,2,2,2,0,3,0,1,1,0,1,2,0,2,4,1,0,4,2,1,2,1
chrM:11522-11633,2,3,1,1,0,0,1,2,2,1,1,0,3,1,3,1,2,2,2,2,0,2,1,2,1,1,2,2,2,0
chrX:78014662-78020398,1,1,3,0,1,4,7,3,1,2,2,3,3,1,1,4,3,0,0,0,0,1,3,2,0,2,2,4,2,5
chr11:65502716-65502915,5,4,3,8,3,5,5,4,1,3,6,6,1,3,1,3,2,2,8,1,5,3,8,1,6,5,9,3,4,9
chr16:71658233-71679535,2,2,2,2,0,3,3,4,2,1,2,2,2,1,0,0,1,1,1,3,2,0,1,0,1,4,1,1,0,3
chr15:85113377-85126374,2,5,1,2,4,4,7,2,3,0,2,3,3,4,2,7,0,2,2,1,1,1,3,1,9,2,2,3,6,0
chr14:88416711-88437903,1,1,1,1,4,2,2,1,2,2,1,2,4,1,2,2,1,0,0,6,1,2,1,0,2,2,3,1,1,3
chr1:45087881-45088237,3,5,1,0,6,4,5,3,4,3,0,3,7,2,4,1,5,4,4,5,0,2,3,4,5,9,3,1,2,6
chr13:75560753-75569507,4,5,7,4,8,7,11,4,7,5,5,4,9,4,1,9,8,4,7,7,7,6,5,1,5,15,1,3,5,3
chr16:46674314-46677398,1,7,2,3,3,1,7,0,2,5,3,4,5,2,1,1,1,2,2,3,1,2,8,4,3,7,3,8,2,4
chr4:150415438-150491035,1,1,0,2,4,3,3,0,2,3,4,1,5,3,2,0,3,2,5,4,1,1,1,0,2,1,2,0,4,2
chr1:13778418-13782831,3,1,1,1,1,1,1,2,5,0,4,1,2,6,1,2,4,1,5,1,0,2,3,0,1,2,2,4,2,4
chr10:7276892-7381949,1,6,0,3,2,1,2,2,0,1,4,0,1,3,1,3,0,2,2,0,2,0,3,2,2,2,1,1,2,8
chr2:54982515-54987698,6,6,7,3,5,7,11,6,3,4,6,7,3,7,6,13,11,5,7,6,3,5,14,7,8,10,8,3,4,11
chr4:73085249-73092300,30,30,22,10,24,21,17,17,21,17,21,27,19,18,14,16,11,17,19,19,12,16,25,14,15,28,20,21,20,42
chr7:8218305-8236005,5,3,1,0,5,1,3,1,5,4,1,3,2,3,0,5,1,4,2,2,1,1,3,2,0,6,1,1,1,5
chr14:89161701-89162969,0,1,0,1,2,5,4,1,0,1,1,0,3,4,0,2,1,4,2,6,0,1,2,2,1,2,2,2,5,8
chr20:34713134-34713366,2,1,1,5,2,1,10,2,1,2,3,1,1,4,1,3,3,1,2,1,0,1,3,1,0,0,3,3,1,2
chr12:69589485-69593613,4,1,1,3,6,3,12,3,2,1,1,3,1,1,0,9,4,2,4,1,2,1,1,4,2,2,3,3,6,4
chr2:8908621-8958642,23,20,13,8,13,20,16,14,11,19,23,12,10,9,11,15,6,6,22,5,9,9,8,15,13,16,19,16,16,28
chr3:40461407-40462248,2,3,1,0,2,3,1,0,0,0,3,0,0,3,2,2,1,3,2,2,0,2,3,3,2,2,1,1,1,2
chr6:34606555-34646798,1,4,2,1,4,4,2,2,4,2,2,1,2,2,0,1,2,3,5,2,1,1,9,3,3,4,0,4,1,4
chr16:11020193-11126146,4,6,3,6,5,4,11,4,2,5,5,6,5,3,3,8,6,1,5,8,2,5,7,4,4,7,5,5,2,9
chr11:65499699-65499845,10,12,13,17,4,3,8,1,5,15,8,10,4,7,7,11,7,4,9,12,11,6,8,0,13,10,11,10,14,18
chr3:195688533-195689438,16,0,0,4,25,3,21,14,16,2,12,17,14,6,10,28,8,4,1,13,8,11,23,13,11,13,3,11,16,7
chr11:65500064-65500120,3,1,2,1,1,1,1,1,6,0,2,7,4,6,3,1,1,0,2,1,0,7,3,2,2,3,2,1,3,2
chr7:122113118-122133741,2,1,0,1,8,2,4,3,3,1,2,1,2,1,4,1,3,1,1,2,1,2,1,1,3,0,1,3,1,3
chrM:11280-11499,17,14,9,4,14,11,13,21,9,13,29,9,7,15,38,18,19,9,14,16,13,20,23,3,18,33,19,21,27,20
chr15:67231814-67236820,7,7,4,0,5,5,9,3,7,5,5,3,3,5,1,6,6,8,7,9,3,0,2,5,3,10,2,6,4,10
chr9:33953285-33996333,2,2,1,1,2,0,2,2,2,2,2,1,2,3,2,3,1,1,2,1,1,1,0,1,2,2,3,1,3,0
chrM:10293-10376,5,2,4,2,0,2,9,2,1,0,5,2,3,4,0,1,0,0,2,5,1,5,1,0,0,4,1,1,2,4
chr4:139137630-139139497,3,7,2,0,1,2,5,1,2,4,3,4,7,2,3,3,2,1,5,0,1,2,3,3,1,3,0,1,5,9
chr5:43675511-43704400,3,2,4,3,5,4,7,2,6,5,2,1,7,5,3,2,2,2,3,1,3,2,9,1,3,5,2,3,1,8
chr16:80684538-80685129,1,1,3,2,2,1,3,1,1,1,1,6,0,1,1,1,1,3,2,2,2,4,6,2,2,1,0,3,1,2
chr12:104991712-104996026,4,1,1,2,4,0,3,4,0,0,0,2,0,1,0,3,4,0,2,0,2,1,2,0,0,2,2,1,2,3
chr1:153614326-153614582,4,5,3,3,0,1,8,6,3,2,2,1,1,2,3,5,6,1,6,2,0,4,7,1,2,1,5,0,4,1
chrX:53614534-53615835,2,3,6,1,7,2,9,4,10,2,5,7,1,3,3,4,4,4,4,0,2,4,1,3,5,6,1,6,3,4
chr1:103565435-103575540,5,2,2,4,7,1,7,1,5,3,16,6,11,6,3,0,4,4,10,14,2,5,6,6,0,11,1,4,3,11
chr5:146254943-146258593,5,2,3,1,2,1,5,3,1,2,1,3,1,2,3,4,0,1,5,3,2,6,4,2,2,5,2,2,3,7
chr5:128138597-128152805,2,1,4,1,6,3,4,2,2,2,2,1,7,1,0,7,3,2,3,3,0,1,4,2,2,1,1,1,0,9
chr3:170122591-170129552,3,1,2,5,6,10,11,4,4,6,4,7,6,3,3,9,2,14,9,10,5,1,11,3,7,9,4,12,11,12
chr1:169978085-170031975,3,3,4,4,5,7,3,4,9,2,1,2,6,4,5,8,9,1,4,7,2,4,1,5,1,2,0,2,4,6
chr12:50427762-50441643,1,1,2,0,2,7,2,1,3,3,1,4,5,1,2,2,1,2,3,1,3,1,4,4,2,5,2,1,1,2
chr4:151174670-151187463,3,1,1,3,3,1,5,5,0,1,1,3,3,2,0,2,1,2,0,3,1,1,6,1,5,2,9,3,1,5
chr5:103096541-103097781,2,3,2,2,6,10,4,2,3,1,1,6,1,6,3,3,4,2,6,4,1,3,2,5,2,4,1,1,4,5
chrM:5901-6119,7,4,1,1,1,1,1,6,1,2,5,4,0,0,6,4,5,2,4,1,1,6,3,3,7,3,0,0,3,1
chr2:36396614-36442735,1,6,5,2,8,1,11,4,1,3,6,3,6,7,2,3,6,1,7,5,2,1,7,7,5,1,7,4,2,10
chr2:199348701-199433514,7,9,6,9,12,8,8,8,17,4,9,8,2,5,4,13,7,1,13,4,4,6,3,7,3,4,13,5,8,10
chr6:99412551-99416428,2,2,1,1,3,2,3,4,7,1,0,3,3,3,2,6,2,2,3,3,2,1,3,1,3,1,2,1,4,2
chrM:15955-16081,23,14,2,9,18,4,22,12,13,5,12,14,1,15,7,5,16,8,12,4,0,14,29,0,4,14,0,11,12,26
chr2:69348171-69363670,2,3,4,0,2,2,2,1,2,1,1,2,1,3,0,4,1,1,1,3,1,2,2,1,2,5,1,2,4,3
chr21:37420299-37430400,2,1,2,2,1,1,2,1,2,0,6,3,2,1,4,5,1,3,2,1,1,1,1,3,2,6,1,2,0,4
chr7:22266964-22318037,4,5,0,1,4,1,1,1,3,2,3,0,2,3,1,4,1,2,2,2,2,1,2,2,3,4,7,4,1,8
chr11:65504097-65504274,4,1,4,6,0,2,19,2,3,0,3,2,2,2,1,5,2,1,5,3,2,2,3,2,1,8,3,1,3,6
chr13:28174272-28177935,4,2,2,3,5,7,4,0,2,2,6,3,2,3,1,4,5,4,8,5,4,2,5,1,1,2,3,2,0,3
chr8:37877109-37877551,16,13,9,17,16,23,31,11,16,9,12,14,18,11,4,3,12,15,20,16,9,8,22,8,15,20,12,14,18,25
chr15:75859878-75873568,3,1,2,3,1,3,6,1,2,4,4,7,3,0,3,3,3,7,1,5,2,4,1,4,1,3,4,1,2,2
chr14:49825867-49831361,3,4,1,0,5,3,1,0,2,0,4,3,5,5,3,0,3,1,3,4,1,5,0,3,0,4,4,2,7,5
chr4:52626018-52631144,2,4,2,0,1,1,3,0,1,1,2,3,4,1,1,2,1,1,3,3,0,2,5,1,0,2,2,3,0,2
chr11:65505006-65505227,1,4,0,2,1,2,6,3,2,2,1,2,4,5,0,3,2,1,3,0,0,4,1,0,1,1,1,4,1,2
chr1:114463104-114464388,3,7,4,2,3,14,6,4,6,4,1,7,3,1,6,6,3,5,8,9,2,1,4,2,5,11,6,4,1,3
chr1:247156406-247159813,67,85,60,42,75,41,91,40,72,58,62,46,41,58,11,92,57,37,86,65,37,25,70,49,66,106,68,43,53,71
chr11:65500472-65500558,3,4,3,1,1,3,10,5,4,0,2,3,0,1,3,1,3,5,3,2,2,2,3,2,5,3,6,0,0,4
chr18:75285448-75288648,0,3,1,1,1,1,0,3,2,1,4,1,2,1,0,2,2,1,1,3,3,1,4,0,3,4,2,1,2,3
chr2:202555252-202556531,2,3,2,1,5,5,4,1,0,2,4,2,1,1,0,4,2,1,0,3,2,2,0,3,0,0,2,3,2,2
chr4:177353308-177360677,4,3,6,5,4,4,15,5,7,5,5,6,3,6,0,16,6,5,8,3,2,3,18,5,6,6,7,3,1,3
chr1:206928604-206928850,5,2,3,0,5,4,7,0,6,4,4,0,4,3,0,6,1,3,6,3,1,3,4,0,2,7,1,4,2,0
chrX:150736595-150737448,2,6,1,4,0,7,7,2,0,1,5,3,1,5,2,4,3,5,4,1,1,7,9,3,1,3,4,3,4,9
chr5:10415488-10417404,8,5,3,5,9,15,7,7,3,1,5,7,1,5,4,6,12,8,4,11,6,4,9,9,6,9,3,1,5,7
chr15:64974602-64983593,5,8,7,2,4,8,7,1,1,3,6,6,8,4,4,3,7,5,6,1,0,4,4,3,3,4,5,3,5,4
chr11:65505856-65505953,3,2,0,8,2,1,17,1,4,4,4,1,0,3,1,1,1,10,3,4,0,4,5,6,3,1,4,0,4,1
chr2:69337898-69338565,3,0,1,1,3,3,4,1,1,0,2,5,2,2,0,0,4,1,3,2,1,3,1,2,1,2,1,3,1,3
chr3:119500695-119513719,2,6,0,2,2,3,3,2,8,2,2,4,3,5,3,4,5,1,7,4,1,2,1,2,0,6,5,4,5,4
chr18:12999421-13030608,15,10,23,17,15,19,9,10,8,13,7,15,1,13,3,7,6,5,11,18,10,6,24,6,6,17,7,11,9,23
chr3:16286342-16303592,1,6,1,1,4,7,7,2,3,0,2,3,1,2,3,2,4,4,6,0,5,1,6,3,1,4,2,1,2,4
chr13:19851355-19852190,2,3,2,3,3,3,4,0,0,1,0,4,4,3,2,2,1,2,1,2,1,2,2,2,2,7,0,3,2,0
chr21:39206108-39229436,1,5,0,2,2,4,1,2,6,2,1,1,2,1,0,5,3,1,1,2,2,2,3,1,0,1,2,2,1,2
chr11:65499836-65499937,2,2,1,0,1,0,3,1,2,1,4,3,2,1,4,2,0,5,6,3,0,7,1,1,0,6,4,0,2,2
chr19:18539371-18539720,3,4,3,4,0,9,4,4,3,0,4,4,4,6,5,3,3,4,4,3,4,6,5,3,1,7,4,4,4,6
