ID,1032245-N_bwa.ciri2,1039868-N_bwa.ciri2,1042353-N_bwa.ciri2,1042745-N_bwa.ciri2,1043773-N_bwa.ciri2,1045386-N_bwa.ciri2,1045549-N_bwa.ciri2,1046191-N_bwa.ciri2,1046287-N_bwa.ciri2,1046349-N_bwa.ciri2,1046499-N_bwa.ciri2,1047291-N_bwa.ciri2,1047831-N_bwa.ciri2,1047912-N_bwa.ciri2,1048720-N_bwa.ciri2,1049983-N_bwa.ciri2,1050700-N_bwa.ciri2,1051316-N_bwa.ciri2,1054390-N_bwa.ciri2,1056166-N_bwa.ciri2,272577-N_bwa.ciri2,451368-N_bwa.ciri2,477022-N_bwa.ciri2,515975-N_bwa.ciri2,522638-N_bwa.ciri2,548142-N_bwa.ciri2,649867-N_bwa.ciri2,685749-N_bwa.ciri2,843725-N_bwa.ciri2,99272-N_bwa.ciri2
chr5:180261684-180280608,5,5,6,2,9,9,6,3,2,2,2,9,8,5,2,8,5,3,11,2,9,3,6,4,5,9,4,8,6,0
chr16:19616114-19647882,5,3,6,4,10,8,5,2,4,4,6,0,6,2,3,4,3,4,4,5,5,0,2,4,3,7,5,3,0,7
chr1:167966629-167975015,2,12,4,0,5,4,5,0,2,0,3,5,0,5,0,2,3,0,3,3,2,2,3,3,4,3,3,7,0,3
chr2:164692221-164695836,4,0,0,2,2,3,6,0,2,3,2,3,2,3,0,4,2,2,3,5,3,2,3,0,5,0,2,2,0,4
chr5:52861447-52865817,0,4,2,3,0,4,3,2,3,0,3,0,3,5,6,2,2,0,4,0,0,2,3,0,4,0,2,6,2,3
chrX:2953143-2955537,0,6,0,0,3,6,0,2,0,0,5,2,0,4,0,2,2,2,0,2,0,3,4,3,2,5,4,2,3,5
chr7:137901354-137916012,0,0,2,3,2,6,2,0,0,0,2,2,4,3,0,3,0,4,0,2,2,3,0,2,0,4,3,3,0,0
chr19:50398851-50399484,6,7,4,3,2,9,6,3,6,2,5,4,6,3,0,5,3,6,6,5,0,5,6,0,3,4,6,5,3,11
chr13:49168613-49178654,3,7,0,3,0,4,4,3,3,0,3,2,2,0,0,0,3,0,2,2,0,2,3,2,2,3,2,2,4,0
chr10:94245946-94246621,6,14,10,12,7,13,14,12,18,17,9,14,8,7,2,8,7,4,16,6,6,7,15,9,12,14,7,10,6,14
chr18:75285448-75288648,0,3,3,2,2,0,0,4,2,2,5,3,2,0,0,3,3,3,0,5,3,0,5,0,3,4,2,0,3,4
chr17:39708321-39710481,9,16,12,9,12,9,18,15,9,4,6,16,11,10,2,8,6,3,12,10,10,3,11,13,6,15,6,7,6,7
chr1:26729651-26732792,31,32,22,18,36,40,39,21,37,17,40,35,18,25,19,34,23,31,43,21,16,19,34,20,27,35,32,34,25,42
chr8:100259107-100264785,0,0,4,2,3,4,0,2,0,0,3,3,0,2,0,6,0,0,4,0,0,2,4,0,2,4,6,3,0,2
chr1:112653598-112659779,7,0,2,0,9,0,0,0,4,4,2,7,6,4,0,4,5,3,8,9,3,0,10,8,0,8,5,5,4,10
chr14:88574693-88578140,3,2,2,0,4,10,5,5,3,4,2,4,3,3,0,0,0,0,4,3,5,2,6,2,5,3,6,2,2,4
chr14:50150008-50150230,3,2,0,0,3,6,4,0,3,3,4,13,4,0,3,4,2,3,0,3,0,6,5,5,2,2,5,4,2,0
chr6:79042843-79060818,0,3,2,2,4,8,7,6,5,5,3,5,0,5,0,5,5,6,7,7,5,4,6,3,4,9,2,7,4,4
chr10:93381219-93389154,2,4,0,0,0,6,0,4,0,0,7,7,2,4,2,2,3,4,0,3,3,3,4,5,4,3,8,4,0,10
chr4:102304317-102315830,17,22,9,19,17,37,14,8,16,19,9,20,27,21,3,22,18,14,21,17,16,8,15,8,15,13,25,10,16,17
chr5:50750151-50763242,0,4,0,0,4,3,5,2,2,0,4,7,0,5,0,0,5,7,5,0,3,4,2,2,4,4,3,3,9,0
chr8:100287501-100288267,0,3,0,2,5,4,2,2,0,2,2,0,3,4,0,0,0,2,3,0,0,0,5,4,0,2,3,0,0,5
chr7:92294889-92319512,0,2,3,0,2,4,4,2,3,2,0,2,2,4,0,2,0,3,0,2,2,0,0,3,0,2,2,2,0,2
chr20:35653528-35659014,7,8,2,0,5,8,5,5,7,0,4,7,12,7,4,6,5,5,2,0,7,3,3,3,9,7,6,4,5,5
chr1:13731000-13749487,0,2,0,2,0,4,5,0,3,0,6,0,0,3,3,2,0,4,3,0,0,0,3,2,2,7,0,2,3,4
chr1:45566569-45567020,6,2,0,2,0,3,3,8,0,2,4,2,0,3,0,0,0,3,3,2,0,4,4,3,0,6,0,0,2,10
chr2:159169250-159170805,0,4,2,0,3,0,7,3,0,0,0,5,0,2,0,4,3,5,0,4,0,3,0,0,3,4,9,2,0,2
chrX:37386599-37426000,5,0,0,2,3,2,3,0,3,0,3,4,0,3,0,0,3,3,2,0,3,0,0,2,3,2,0,0,0,4
chr16:30728966-30729572,6,18,6,8,17,8,25,18,7,7,15,18,9,10,10,12,17,13,24,17,7,16,21,8,7,16,19,14,11,25
chr21:39218152-39218660,0,0,0,2,3,0,0,2,2,2,0,2,4,0,0,2,2,4,0,3,0,0,4,2,2,0,3,0,3,0
chr19:45263113-45263367,9,5,5,3,4,7,8,3,0,4,7,7,4,7,8,3,5,4,6,0,3,8,5,5,6,5,8,5,0,10
chr6:138943513-138944622,34,41,18,13,39,56,38,18,30,20,32,36,38,28,26,50,32,30,35,32,15,25,39,28,24,49,24,29,28,61
chr7:131387120-131399433,8,5,0,2,2,3,7,3,0,0,7,4,7,2,2,6,0,3,4,5,2,0,3,4,5,7,2,3,3,6
chr15:68141946-68173892,3,2,0,0,0,0,0,0,0,3,2,3,2,0,0,2,2,0,3,2,2,2,2,0,0,3,3,2,3,2
chr4:1900626-1918623,5,5,2,3,4,0,0,7,3,0,0,3,2,5,3,7,3,2,2,5,0,2,7,4,3,2,5,2,2,0
chr17:47361378-47379253,2,0,0,4,3,5,0,0,4,4,4,0,0,0,2,0,3,0,0,7,0,7,3,2,2,6,0,0,5,4
chr9:4286038-4286523,3,2,12,0,7,11,12,5,9,9,5,2,6,6,5,8,11,0,10,9,4,5,3,4,10,10,5,6,5,10
chr15:85113873-85115487,39,23,14,25,31,23,22,21,24,28,21,27,24,29,21,26,19,11,25,14,15,9,28,13,17,19,29,27,20,46
chr15:90217439-90221765,2,2,0,0,4,4,5,3,3,2,3,0,3,0,3,7,3,0,6,4,2,6,6,0,4,5,2,4,6,6
chr5:94868333-94924021,2,3,0,3,0,0,7,4,3,2,3,5,4,0,2,0,3,0,0,0,3,0,0,0,0,3,2,3,0,3
chr5:145817894-145826200,29,29,23,12,13,23,33,20,28,14,20,26,12,6,10,35,14,17,17,21,13,7,19,22,21,14,21,21,22,29
chr10:101939863-101957732,2,4,0,0,2,4,4,5,4,0,0,5,3,3,0,2,2,2,6,3,0,3,3,0,0,4,3,4,3,5
chr5:50399107-50411383,9,26,12,15,15,20,28,8,16,9,23,17,13,18,8,18,15,16,15,10,14,14,16,10,10,23,13,15,23,25
chr9:125657651-125672643,4,2,4,0,4,4,4,7,6,4,5,7,2,5,0,3,5,4,5,0,5,2,7,2,4,5,3,4,5,5
chr6:161034259-161049979,0,2,4,0,3,5,3,0,3,4,0,2,3,0,0,0,9,4,2,4,3,3,3,0,0,4,3,4,2,5
chr12:111509549-111510582,8,8,4,3,8,3,6,9,5,3,5,3,6,3,4,11,8,8,11,12,2,5,6,8,6,15,5,4,4,6
chr13:77205256-77243951,3,3,0,2,0,3,4,2,0,0,3,0,2,0,0,5,2,2,3,0,0,0,3,0,0,4,2,2,0,0
chr19:45517663-45518094,4,4,2,0,7,4,9,0,0,0,3,2,2,2,0,0,3,2,7,3,3,3,4,6,0,4,4,2,2,5
chr2:68490190-68545312,13,11,8,5,16,14,13,9,12,10,4,11,8,10,10,8,6,5,4,7,5,9,15,13,9,15,11,8,7,18
chr9:75016268-75017448,3,0,3,2,3,5,5,2,8,4,6,0,3,2,0,3,4,6,2,0,4,2,3,3,4,4,5,0,2,11
chr1:117460489-117502970,0,4,3,0,5,0,5,3,0,0,5,6,2,2,0,3,0,0,3,3,4,2,5,2,2,6,6,6,4,8
chr2:200856682-200856985,5,8,5,0,5,3,6,0,3,2,5,8,3,5,2,5,4,3,5,6,0,4,5,3,0,3,0,3,9,5
chr13:100301460-100309908,0,4,5,0,5,5,7,2,8,4,4,0,8,5,2,2,6,0,7,5,6,3,5,0,0,15,6,3,6,8
chr9:112574057-112575251,3,6,2,3,5,6,14,6,5,5,2,3,4,3,2,7,2,0,0,2,2,2,4,3,4,7,6,6,2,0
chr4:1225360-1241519,8,7,5,5,4,6,12,10,6,5,4,2,2,7,5,3,4,5,8,0,5,3,7,12,3,10,6,3,4,9
chr2:36441258-36442735,3,3,3,0,3,0,3,3,4,0,4,2,4,0,2,4,3,3,5,0,3,2,4,3,2,5,2,2,2,3
chr21:39228500-39229436,7,5,5,0,12,9,4,3,3,6,4,4,3,3,0,4,5,6,10,3,3,4,4,0,2,8,4,6,3,10
chr2:201145378-201149835,7,5,7,7,5,9,9,9,8,5,10,17,6,9,2,6,7,11,13,7,5,15,10,5,6,14,8,11,9,15
chr3:119503532-119517315,6,0,5,0,4,7,9,4,2,5,9,7,5,5,4,5,4,4,2,4,2,4,7,3,4,4,5,4,4,9
chr13:28256292-28281379,0,0,2,0,4,0,0,0,2,3,2,2,0,0,0,2,0,0,2,3,0,0,5,2,2,4,4,2,2,0
chr18:9583117-9595153,8,10,0,6,4,5,10,7,6,8,4,5,6,5,8,15,6,6,6,7,5,4,9,4,6,5,5,4,7,10
chr14:103662116-103662927,5,0,3,0,6,0,3,2,0,2,4,4,0,5,0,7,0,3,4,3,0,2,2,3,2,0,3,0,3,4
chr15:85113377-85126374,3,5,0,2,6,6,8,4,4,0,4,5,4,5,4,11,0,5,3,0,0,3,7,4,10,5,4,3,6,0
chr22:20933779-20934244,8,15,17,9,16,23,15,10,3,15,11,15,13,12,6,14,18,14,15,12,6,9,27,3,17,20,10,9,12,18
chr14:71413948-71467247,2,4,0,2,0,2,2,2,3,0,0,8,4,0,0,3,0,2,6,0,0,3,3,2,2,7,0,5,0,4
chr11:36393846-36403378,4,6,8,5,7,5,5,9,5,7,5,2,2,6,0,4,4,3,9,3,3,3,9,14,5,12,9,6,8,10
chr1:1815756-1839238,3,4,5,0,0,6,5,3,2,2,9,5,3,3,0,0,5,3,3,3,3,10,0,6,4,4,6,4,3,5
chr16:19463280-19464024,3,0,0,3,2,3,0,0,3,0,3,4,2,2,4,4,0,2,4,2,0,3,3,0,2,0,3,0,2,2
chr6:34606555-34646798,3,4,3,0,4,4,3,4,4,4,3,2,3,0,0,4,5,4,7,2,3,0,11,4,4,5,0,5,2,4
chr2:95851694-95860074,0,0,2,2,2,0,0,2,0,5,0,2,3,2,2,0,2,0,5,4,0,0,5,2,2,2,0,2,0,4
chr1:8495063-8614686,0,0,0,3,0,0,2,0,3,2,0,8,4,3,3,3,0,0,2,7,0,0,5,0,2,3,3,2,2,6
chr14:30715924-30734858,6,2,0,0,0,4,2,3,3,4,10,7,0,3,0,2,2,2,4,0,0,2,5,0,0,6,3,2,5,4
chr10:91994535-92008275,6,4,2,2,6,6,4,0,2,0,2,3,7,3,0,7,0,4,3,4,4,0,7,2,0,5,3,3,3,7
chr13:40836597-40855815,2,5,0,0,0,5,11,2,0,5,2,3,4,0,0,3,2,0,2,4,2,3,3,0,3,5,0,3,0,2
chr18:49331864-49379758,0,0,0,2,0,4,3,0,5,3,2,3,3,0,2,0,0,0,3,6,3,0,3,3,0,2,0,0,4,3
chr8:17753717-17755961,0,3,0,0,0,5,0,2,3,4,2,0,0,3,0,4,4,2,0,5,2,3,4,2,0,2,0,0,8,5
chr10:69483691-69485215,5,0,4,0,2,2,3,3,0,0,2,5,4,2,2,0,5,3,3,0,6,3,5,3,2,0,2,4,0,5
chr8:140879471-140890769,4,2,4,3,2,5,2,4,6,5,4,6,4,5,4,8,4,4,3,6,0,3,0,4,5,4,2,7,2,9
chr1:184732837-184749592,3,3,0,0,0,3,2,2,0,2,3,5,0,4,0,0,0,0,2,2,2,0,0,0,2,3,2,2,3,0
chr17:62029541-62035608,3,2,0,2,2,3,2,0,2,0,7,2,8,2,0,0,2,0,3,2,2,4,0,2,3,5,3,3,2,5
chr3:149846011-149895560,0,2,2,0,2,2,2,3,2,3,2,2,3,2,4,0,4,0,0,0,0,3,0,0,0,7,0,0,2,0
chr3:152414941-152432920,3,2,7,3,3,9,10,5,7,0,7,5,5,5,6,10,5,4,5,4,0,5,5,5,3,4,6,4,2,3
chr10:68025546-68044563,2,0,2,2,4,3,4,4,2,2,0,0,2,5,0,4,2,4,0,0,2,0,0,0,0,2,3,0,0,7
chr5:132892164-132893118,3,3,2,0,5,2,3,0,6,4,3,7,3,4,3,0,6,2,11,3,5,6,3,6,5,4,4,4,0,7
chr22:46176753-46198591,2,2,4,3,2,6,3,2,2,0,5,4,2,0,2,5,2,0,6,2,4,0,3,4,6,3,3,2,0,4
chr17:59731421-59773885,2,0,2,2,2,0,2,0,2,0,3,2,3,0,0,3,3,0,0,0,5,0,0,0,2,2,4,0,2,3
chr18:58696366-58700591,5,0,0,3,0,6,0,0,0,2,4,3,0,4,8,3,0,5,4,4,0,3,5,3,3,4,4,2,3,8
chr1:171568247-171575128,5,6,6,2,0,3,5,2,5,5,0,2,0,6,4,5,0,0,8,3,0,2,6,0,4,8,10,5,4,7
chr1:95143891-95173889,11,9,14,12,12,14,19,2,9,11,5,10,12,9,7,15,7,5,7,18,11,4,20,3,7,15,11,11,10,17
chr4:184659340-184678394,2,5,0,2,4,5,5,3,4,2,2,2,4,6,0,6,2,0,4,2,2,0,5,2,0,5,2,4,2,2
chr2:239990074-240014860,2,2,0,3,2,2,0,3,0,0,2,2,4,3,4,3,2,2,0,2,3,0,4,4,0,2,2,3,3,4
chr15:76283757-76292700,5,3,5,4,3,3,4,2,3,0,2,7,0,3,0,4,0,4,0,3,0,4,0,3,4,0,0,0,0,3
chr22:31258291-31260077,0,0,2,6,2,0,0,2,3,3,2,3,0,4,3,3,0,5,0,0,0,0,0,0,6,3,2,2,2,0
chr11:114580132-114583021,13,13,8,6,3,11,11,5,13,8,5,7,3,5,3,11,9,7,16,11,15,6,8,5,4,18,10,7,11,23
chr12:116096669-116111512,6,3,4,4,4,9,12,8,5,3,10,9,5,7,2,9,2,6,5,9,4,4,5,2,2,6,4,6,6,23
chr7:105062164-105066807,3,0,2,0,0,5,0,3,2,0,3,5,0,4,0,0,3,4,6,0,2,0,0,2,0,3,4,0,2,8
chr2:70224554-70230854,2,0,4,2,2,2,3,0,0,0,0,4,2,2,0,2,2,0,2,2,0,0,5,2,0,2,0,0,2,4
chr18:76441245-76443211,2,2,4,3,3,4,3,4,3,2,0,8,0,0,2,2,0,0,3,2,3,0,2,2,2,2,0,3,0,0
chr9:121161856-121166180,0,0,4,0,0,4,2,0,3,3,7,2,2,0,0,0,3,0,3,2,0,5,5,4,0,4,2,0,4,0
chr2:199323803-199381820,6,6,0,4,5,7,2,5,7,3,7,9,3,0,0,9,7,2,3,5,4,3,8,4,4,3,2,4,2,12
chr6:158580940-158589782,13,9,9,4,17,8,15,9,5,10,10,4,9,5,4,12,6,4,12,9,10,4,13,12,8,14,8,10,7,15
chr6:70426439-70452571,3,2,2,0,3,3,4,5,2,3,2,6,2,5,0,0,3,2,5,4,3,0,5,0,2,6,4,0,0,3
chr5:57230846-57231321,2,0,0,2,2,4,5,0,2,0,0,3,0,0,2,3,0,3,4,0,0,3,0,2,0,3,0,2,2,3
chr1:15717893-15721388,5,6,5,7,14,11,14,5,7,8,6,14,6,7,4,7,9,5,10,10,8,8,13,8,7,14,5,7,8,14
