ID,1032245-P_bwa.ciri2,1039868-P_bwa.ciri2,1042353-P_bwa.ciri2,1042745-P_bwa.ciri2,1043773-P_bwa.ciri2,1045386-P_bwa.ciri2,1045549-P_bwa.ciri2,1046191-P_bwa.ciri2,1046287-P_bwa.ciri2,1046349-P_bwa.ciri2,1046499-P_bwa.ciri2,1047291-P_bwa.ciri2,1047831-P_bwa.ciri2,1047912-P_bwa.ciri2,1048720-P_bwa.ciri2,1049983-P_bwa.ciri2,1050700-P_bwa.ciri2,1051316-P_bwa.ciri2,1054390-P_bwa.ciri2,1056166-P_bwa.ciri2,272577-P_bwa.ciri2,451368-P_bwa.ciri2,477022-P_bwa.ciri2,515975-P_bwa.ciri2,522638-P_bwa.ciri2,548142-P_bwa.ciri2,649867-P_bwa.ciri2,685749-P_bwa.ciri2,843725-P_bwa.ciri2,99272-P_bwa.ciri2
chr3:52204693-52206751,3,0,0,3,2,2,3,2,2,0,3,4,0,2,0,0,0,0,2,5,2,2,2,4,0,5,0,0,2,2
chr7:22266964-22318037,10,8,0,0,6,6,3,6,8,4,9,4,6,10,3,3,6,4,3,4,2,2,3,4,8,8,11,4,5,3
chr11:96091892-96093517,22,16,11,17,18,22,19,14,10,12,45,14,10,18,18,10,10,9,8,13,13,9,23,12,23,23,14,12,17,15
chr1:10095461-10105744,2,3,0,0,0,4,7,2,0,5,4,3,4,6,2,2,0,2,4,3,0,0,2,4,3,0,3,3,2,7
chr20:48953556-48963898,3,2,0,3,2,5,8,6,0,3,9,5,6,9,5,2,2,6,5,4,0,6,3,0,5,6,11,6,4,2
chr1:77801331-77815231,2,3,5,4,6,4,3,2,4,4,4,3,6,5,3,4,2,0,2,3,5,3,5,0,8,9,0,4,6,2
chrX:102839801-102905737,9,3,0,0,3,3,6,0,2,3,4,5,2,2,4,5,2,0,2,2,0,0,3,3,4,2,2,4,4,2
chr3:119503532-119517315,3,2,3,3,6,4,5,6,0,7,3,5,2,5,5,3,3,2,5,3,3,4,4,3,5,2,12,0,0,2
chr13:24477701-24478276,4,0,2,2,3,0,2,0,3,0,4,0,3,3,2,3,4,3,2,0,0,0,5,0,3,2,3,0,0,0
chr5:69174877-69175537,10,10,7,4,2,3,7,11,5,6,6,0,4,13,5,5,0,4,5,5,4,3,9,5,8,4,6,0,4,7
chr22:41808875-41813822,3,3,5,9,0,3,6,6,4,3,3,4,7,6,4,6,5,0,3,2,4,4,0,4,4,3,4,3,4,6
chr6:13632370-13644729,9,8,8,9,8,18,13,13,8,13,17,8,13,15,3,5,16,3,16,5,12,7,11,6,14,8,9,16,12,6
chr1:805799-810170,4,6,6,0,0,4,6,0,5,14,8,11,5,17,0,3,4,7,29,3,4,21,6,0,11,6,8,7,6,5
chr15:25405461-25411971,45,28,25,26,29,45,41,39,22,44,47,43,28,65,30,27,30,14,25,20,38,19,36,23,41,38,46,39,27,22
chr4:22401431-22402799,5,2,0,0,2,2,10,7,6,8,11,9,4,5,3,0,2,0,7,0,3,0,8,2,6,4,0,0,3,0
chr2:229858772-229880128,3,5,3,2,5,4,2,4,5,2,8,8,2,2,5,0,0,3,3,5,0,2,2,4,0,7,5,4,3,2
chr21:39228500-39229436,3,3,0,3,0,5,6,7,5,3,5,9,5,7,2,3,3,3,2,3,3,3,6,3,7,3,8,3,3,4
chr20:62139075-62140944,5,4,0,5,6,7,12,2,10,8,11,7,9,12,3,6,8,4,11,2,2,3,7,8,5,7,8,12,8,4
chr1:52493611-52509712,7,4,4,3,0,12,8,6,6,5,9,5,5,8,0,0,0,3,7,3,4,6,6,5,2,3,5,6,3,4
chr7:66991137-66994341,0,0,0,4,2,4,6,3,6,6,0,6,3,4,2,2,3,3,4,0,2,3,5,8,4,0,0,3,3,4
chr11:118583179-118584644,2,3,2,2,3,6,5,0,0,5,0,2,2,4,4,0,3,0,2,2,4,0,4,2,6,0,2,0,0,2
chr7:80789306-80810701,5,8,5,0,4,7,5,8,3,7,8,8,6,4,5,4,6,6,5,3,3,5,13,3,7,3,7,0,11,7
chr2:71396141-71418639,7,8,10,7,10,15,10,7,10,12,17,10,12,20,0,5,6,7,6,5,10,4,9,3,9,7,16,12,7,4
chr2:199308760-199328910,12,10,11,6,11,22,18,26,12,6,21,14,10,9,24,8,4,3,17,6,9,4,20,16,17,13,6,5,10,9
chr2:30525587-30533314,7,8,6,7,8,5,6,3,4,4,11,5,9,5,10,7,5,5,3,5,4,2,4,0,4,5,5,2,5,6
chr2:54982515-54987698,6,9,9,6,6,17,13,10,10,6,17,9,8,9,6,9,8,5,13,7,10,5,8,12,7,14,12,5,8,9
chr1:197595208-197715074,0,3,0,2,0,4,2,0,0,2,3,3,2,4,2,3,2,0,0,0,2,2,5,0,0,0,3,0,3,3
chr11:76463821-76472840,0,0,0,2,4,4,8,3,0,4,6,3,4,6,5,0,3,4,10,0,5,5,6,0,2,5,2,0,5,0
chr10:110596398-110598290,7,3,5,2,8,2,6,7,4,3,11,8,2,8,2,3,4,0,6,8,5,7,2,2,8,7,10,5,4,3
chr2:15488894-15534641,0,4,2,3,6,3,4,2,0,0,3,4,2,3,0,0,0,0,3,0,0,0,4,0,2,5,0,0,2,6
chr16:58559804-58560362,6,5,6,6,3,12,13,6,9,8,6,3,5,9,4,4,2,3,11,2,7,7,5,3,5,3,12,6,6,4
chr2:85368686-85371562,4,12,5,3,3,7,8,4,3,2,4,6,4,3,3,9,4,2,7,7,4,4,8,0,6,10,5,3,5,0
chr2:199348701-199433514,9,9,8,7,7,5,13,14,6,8,13,5,14,13,4,5,12,0,18,9,3,6,15,8,10,13,10,7,11,6
chr4:51863437-51891851,16,11,13,14,9,17,15,14,8,28,22,12,19,20,8,9,12,8,8,9,9,8,13,14,10,12,17,11,18,12
chr3:71690010-71699708,0,3,0,0,0,3,5,5,5,4,8,2,4,10,2,4,0,0,5,4,8,5,6,0,0,0,4,4,0,8
chr4:139137630-139139497,5,4,0,0,2,9,4,3,5,5,10,3,3,12,3,2,0,2,2,3,3,5,4,2,3,7,6,2,5,2
chr19:29985223-29986417,0,6,0,3,4,9,5,0,5,0,10,4,7,8,4,3,3,0,4,0,4,3,2,6,4,4,5,4,3,5
chr10:21713772-21727928,0,2,0,3,0,6,6,4,2,4,4,6,4,5,0,0,0,3,2,2,3,0,2,0,3,2,3,3,4,0
chr11:108227595-108235834,3,3,2,0,2,9,9,0,2,3,5,6,4,8,0,4,3,3,4,0,3,5,3,0,11,3,0,6,2,2
chr1:99993537-99999415,0,2,0,2,0,0,5,3,2,0,9,4,3,5,3,0,0,0,0,0,6,0,3,0,4,5,2,0,3,0
chr1:94487542-94491247,3,2,0,0,0,4,0,0,3,3,0,0,3,2,2,2,0,2,0,0,0,0,3,3,0,2,6,0,3,2
chr1:51402435-51408332,4,10,5,9,10,12,12,5,7,7,12,10,6,13,6,5,4,6,11,9,10,11,12,6,5,3,4,6,5,8
chr11:85996826-86001158,0,2,0,3,0,0,9,5,5,2,8,4,2,4,0,2,2,3,2,0,3,0,4,0,2,3,0,2,0,2
chr5:50399107-50411383,0,22,11,6,19,22,26,14,21,17,24,19,14,56,13,12,10,9,9,11,17,18,17,14,21,17,17,24,30,9
chr2:58221942-58232112,19,19,23,22,14,37,22,18,17,26,34,25,23,43,22,15,19,13,22,13,16,4,39,13,31,30,25,18,24,14
chr12:70278132-70311017,4,2,4,3,3,13,4,12,6,0,9,4,3,4,3,2,3,4,4,3,4,0,6,6,3,3,5,0,0,5
chr14:67761366-67762819,0,0,0,2,3,4,5,0,5,5,2,0,6,8,2,0,3,0,0,2,0,0,3,3,0,0,2,0,0,2
chr17:42498924-42501304,6,5,3,4,5,7,6,13,4,7,10,5,13,10,8,7,2,2,8,5,3,3,12,2,9,5,12,7,2,2
chr1:27105885-27109777,2,0,3,0,3,6,4,3,0,2,2,0,0,2,2,0,0,2,0,0,2,0,3,4,0,2,3,0,2,2
chr1:247138716-247159813,0,5,6,2,0,0,6,6,3,7,9,8,2,6,3,7,3,0,5,0,2,2,12,2,4,8,5,2,2,3
chr15:85113873-85121014,28,18,13,20,15,34,19,16,24,24,44,13,11,36,12,30,16,14,17,7,12,17,23,9,24,14,16,7,26,23
chr17:42500707-42501304,8,5,6,4,8,7,9,9,9,8,11,14,10,11,6,7,6,6,5,0,7,2,13,2,9,3,13,8,5,3
chr2:175970764-175995646,4,3,4,3,5,0,4,8,0,2,3,4,0,6,0,3,4,0,0,4,4,3,4,0,6,3,3,2,5,5
chr8:37870420-37877551,5,7,6,6,9,8,11,6,10,9,16,9,8,8,4,6,6,4,9,9,4,0,10,9,9,13,5,2,6,12
chr15:65178934-65180204,7,2,0,0,0,0,3,2,4,3,8,8,8,13,4,0,2,6,4,3,5,0,5,3,6,8,6,3,6,2
chr18:54277703-54287411,3,0,2,2,3,0,9,0,0,8,8,2,2,4,2,4,2,4,5,2,0,2,3,2,7,3,2,2,0,3
chr11:129123446-129164427,0,0,2,0,2,0,2,4,0,4,4,0,4,6,4,0,3,0,3,0,0,0,0,2,2,4,5,0,0,2
chr10:68487144-68506718,2,0,5,3,2,6,5,2,2,3,0,0,0,3,0,2,0,0,2,0,0,2,2,0,0,0,2,0,0,4
chr9:131436620-131439061,5,0,0,2,0,5,2,3,3,4,8,5,0,2,0,2,0,0,4,4,2,3,0,0,5,7,3,3,4,2
chr2:120127688-120175000,5,0,5,6,6,7,8,6,5,9,8,5,6,6,2,7,3,2,3,0,0,4,9,6,11,6,3,5,0,2
chr16:87975048-87984259,8,3,4,10,8,7,9,9,10,8,14,10,7,5,4,7,9,6,4,11,2,5,10,5,9,8,12,4,6,5
chr12:55700899-55701154,2,4,0,0,5,14,6,4,11,4,4,10,7,7,5,0,0,5,5,5,7,5,0,3,6,5,3,0,17,2
chrX:13666317-13680598,4,2,0,2,0,0,4,0,0,0,0,4,3,3,0,2,4,3,4,0,0,0,4,0,2,2,4,0,2,3
chr10:5699525-5714207,3,3,7,5,6,12,4,2,5,5,6,2,4,7,0,6,6,2,16,4,0,2,5,2,10,4,14,6,4,9
chr5:146254943-146258593,4,6,6,2,7,2,2,3,4,2,3,6,2,4,6,0,0,4,9,0,6,0,6,5,4,5,8,0,2,6
chr15:58912563-58913696,3,0,2,3,0,2,3,0,3,0,2,0,4,5,3,3,2,2,3,0,0,4,3,0,4,7,2,0,3,0
chr11:120474560-120477526,10,8,9,8,5,4,10,7,12,13,10,4,11,7,3,6,5,4,7,4,9,0,4,8,9,7,6,4,3,4
chr17:4282798-4296814,6,3,6,5,15,13,12,4,5,16,14,14,16,20,7,5,16,6,7,5,10,10,20,3,20,17,6,13,4,6
chr11:74789626-74817714,3,0,0,0,3,0,7,2,5,7,8,6,2,0,2,4,4,5,4,2,7,4,0,5,7,6,6,10,0,0
chr17:49311312-49312845,5,6,3,2,9,18,8,12,6,10,16,6,10,14,3,11,7,3,2,5,7,8,12,4,10,9,9,3,9,2
chr1:205616478-205623891,32,51,19,35,37,60,40,39,37,51,68,57,54,50,32,32,29,29,42,34,25,30,55,32,54,64,51,48,31,37
chr11:68185781-68190152,3,0,0,0,3,2,6,3,3,0,7,0,5,2,0,0,0,2,0,3,2,0,2,0,3,2,6,6,0,0
chr10:68959806-68960249,0,0,0,2,2,0,4,4,0,3,2,2,3,5,2,2,3,5,0,2,2,0,4,0,0,2,0,0,0,0
chr5:139363759-139364743,7,8,2,5,9,7,7,6,6,8,9,15,7,5,9,6,13,2,8,6,9,5,3,3,7,10,8,6,7,3
chr17:67945409-67948306,12,8,5,6,3,14,19,8,10,11,25,14,16,16,10,5,9,6,12,5,11,7,7,3,8,11,15,11,7,6
chr16:53155926-53157541,8,3,4,6,4,17,12,4,5,4,12,10,5,10,3,3,3,6,5,4,7,4,9,3,8,6,9,2,10,2
chr19:21405129-21405856,3,6,0,0,2,6,5,0,4,3,6,3,2,3,0,0,0,2,3,4,2,5,4,5,2,0,5,3,4,2
chr9:83682951-83686155,3,5,0,0,4,5,11,5,7,3,8,6,7,16,8,3,2,2,7,8,3,2,5,0,9,4,8,6,3,2
chr3:16286342-16303592,2,3,2,5,0,5,8,3,5,4,10,5,7,7,6,2,4,3,4,2,3,0,6,2,4,9,5,6,4,0
chr9:93471141-93476338,14,17,19,8,14,17,16,19,12,17,30,14,24,19,8,19,16,14,10,24,13,9,23,6,26,21,19,12,17,9
chr15:42260958-42268032,6,7,0,3,5,5,7,0,4,13,10,7,7,15,7,2,5,7,5,2,6,5,8,7,9,8,10,4,6,2
chr17:63760914-63766194,2,2,3,0,0,3,0,4,3,4,6,3,0,4,3,0,3,0,3,2,3,2,4,0,2,0,2,0,2,2
chr19:57776543-57780146,3,0,4,3,4,5,0,0,2,6,12,5,5,5,0,3,3,2,4,4,0,0,2,2,2,2,2,0,0,2
chr1:1815756-1839238,2,2,3,2,0,11,5,0,0,0,11,7,6,6,4,2,3,0,4,5,4,3,4,3,3,5,0,5,2,2
chr10:68025546-68044563,0,3,2,2,0,0,0,2,0,3,6,2,0,2,0,0,0,2,3,3,0,0,0,0,2,3,0,3,3,3
chr2:161179614-161204793,2,7,5,3,5,4,4,2,4,5,3,0,3,7,0,3,0,3,5,0,3,2,2,2,6,3,6,2,2,4
chr13:40826506-40855815,2,3,3,4,4,4,0,3,0,5,0,2,9,5,4,2,0,0,0,2,2,0,3,3,0,0,0,2,2,0
chr1:9931891-9934860,18,14,11,24,15,30,33,19,24,26,36,24,23,34,19,18,15,18,19,11,17,20,17,10,28,25,30,14,11,10
chr4:75790150-75790797,0,0,4,2,3,4,0,3,2,3,5,3,3,3,3,3,3,2,0,0,0,0,2,2,3,9,2,0,0,0
chr4:48369849-48394653,7,0,0,0,0,3,7,0,4,4,6,3,6,12,2,2,4,0,3,3,0,0,5,3,3,3,3,0,0,4
chr12:111679151-111683307,2,0,2,3,2,4,2,0,0,3,4,2,3,7,2,2,0,4,0,0,0,0,3,0,2,2,4,0,0,0
chr14:76166663-76195972,0,0,2,0,3,2,4,3,4,0,5,3,5,2,0,2,0,4,0,3,5,5,3,0,4,2,0,2,3,0
chr6:18159883-18166378,4,2,2,2,3,3,0,4,3,2,6,2,3,0,0,3,0,4,3,0,5,2,0,0,0,3,0,4,2,2
chr1:151024611-151025673,5,4,3,6,2,10,8,7,7,7,11,4,7,7,5,0,4,2,5,3,6,6,11,4,2,6,8,5,2,6
chr14:65430216-65455718,0,4,0,9,9,9,6,3,4,4,10,7,6,8,2,4,9,2,0,4,3,0,10,3,7,3,7,7,2,2
chr4:185247294-185267155,0,0,0,3,4,4,6,2,4,2,9,5,8,10,3,0,2,3,0,0,0,5,9,2,3,0,4,7,2,5
chr16:83906987-83912367,4,0,0,3,0,9,9,9,0,7,3,3,3,5,2,2,0,2,4,4,7,5,6,0,3,4,2,5,5,5
chr16:11020193-11061022,2,6,6,4,4,6,6,5,4,9,12,8,6,10,8,6,6,4,11,9,9,4,4,2,7,6,4,5,2,2
chr19:19492306-19492712,3,0,0,0,0,2,0,4,5,0,4,5,3,3,0,0,3,0,6,0,2,0,2,0,0,4,3,3,0,2
chr13:49196877-49198574,0,2,0,2,0,6,3,0,2,2,3,3,3,2,0,0,2,2,3,0,2,0,5,0,3,6,0,4,0,2
