ID,X1032245.N_bwa.ciri2,X1039868.N_bwa.ciri2,X1042353.N_bwa.ciri2,X1042745.N_bwa.ciri2,X1043773.N_bwa.ciri2,X1045386.N_bwa.ciri2,X1045549.N_bwa.ciri2,X1046191.N_bwa.ciri2,X1046287.N_bwa.ciri2,X1046349.N_bwa.ciri2,X1046499.N_bwa.ciri2,X1047291.N_bwa.ciri2,X1047831.N_bwa.ciri2,X1047912.N_bwa.ciri2,X1048720.N_bwa.ciri2,X1049983.N_bwa.ciri2,X1050700.N_bwa.ciri2,X1051316.N_bwa.ciri2,X1054390.N_bwa.ciri2,X1056166.N_bwa.ciri2,X272577.N_bwa.ciri2,X451368.N_bwa.ciri2,X477022.N_bwa.ciri2,X515975.N_bwa.ciri2,X522638.N_bwa.ciri2,X548142.N_bwa.ciri2,X649867.N_bwa.ciri2,X685749.N_bwa.ciri2,X843725.N_bwa.ciri2,X99272.N_bwa.ciri2,,CircRNACount.1032245.N,CircRNACount.1039868.N,CircRNACount.1042353.N,CircRNACount.1042745.N,CircRNACount.1043773.N,CircRNACount.1045386.N,CircRNACount.1045549.N,CircRNACount.1046191.N,CircRNACount.1046287.N,CircRNACount.1046349.N,CircRNACount.1046499.N,CircRNACount.1047291.N,CircRNACount.1047831.N,CircRNACount.1047912.N,CircRNACount.1048720.N,CircRNACount.1049983.N,CircRNACount.1050700.N,CircRNACount.1051316.N,CircRNACount.1054390.N,CircRNACount.1056166.N,CircRNACount.272577.N,CircRNACount.451368.N,CircRNACount.477022.N,CircRNACount.515975.N,CircRNACount.522638.N,CircRNACount.548142.N,CircRNACount.649867.N,CircRNACount.685749.N,CircRNACount.843725.N,CircRNACount.99272.N,
chr2:168138088-168140758,7,0,0,3,0,3,0,4,0,2,2,2,0,0,2,4,0,2,2,4,0,0,6,0,0,0,0,2,2,2,1.633333333,3,1,0,3,1,3,1,4,1,2,1,2,0,1,2,4,1,2,2,4,1,1,6,0,1,0,1,2,2,2,1.715300546
chrX:65075474-65113813,3,11,5,4,8,7,14,3,3,6,5,7,3,7,2,8,12,4,7,4,4,0,4,6,4,5,4,5,15,8,5.933333333,2,8,4,3,4,6,9,3,3,4,5,7,2,6,2,6,1,3,4,3,3,0,4,4,2,4,4,5,8,6,5.064480874
chr1:206935486-206937188,2,5,0,0,7,2,4,2,0,2,3,6,0,0,0,3,2,0,2,0,3,0,4,2,4,0,4,4,3,4,2.266666667,0,4,2,0,3,1,3,2,1,2,2,2,0,1,0,2,2,1,2,1,3,0,1,2,3,1,4,3,2,1,1.987978142
chr15:94298201-94298730,0,7,3,2,2,7,12,6,4,7,0,11,2,2,3,0,6,4,6,8,8,7,5,4,5,0,9,10,10,11,5.366666667,0,2,1,1,2,2,2,3,3,3,0,8,1,2,0,0,3,3,3,5,5,1,3,1,4,0,4,6,6,1,3.956830601
chr14:21503173-21503881,13,18,14,5,26,23,22,17,15,14,20,19,22,10,14,17,11,21,25,12,7,10,25,16,12,17,17,22,21,28,17.1,9,13,9,4,17,17,16,14,9,10,13,17,13,7,8,14,8,15,20,9,4,5,19,10,8,8,10,15,14,19,14.49344262
chr11:85974708-86031611,3,4,3,3,3,3,8,4,3,2,8,7,3,3,4,4,5,2,7,4,4,2,4,3,0,2,0,4,4,8,3.8,1,3,2,1,1,2,1,3,2,2,6,3,3,0,2,1,2,1,5,3,2,1,2,2,0,2,1,2,4,6,3.013114754
chr11:130260856-130261929,19,20,11,24,36,44,35,20,35,23,5,27,24,16,23,17,17,19,25,18,13,13,53,21,13,27,23,16,21,33,23.03333333,13,12,9,20,24,29,23,14,24,15,5,21,19,13,17,11,11,14,19,15,7,10,42,12,9,20,15,13,16,27,19.88579235
chr13:42953948-42970670,4,0,10,3,6,9,14,2,8,5,7,4,5,4,3,4,0,4,4,6,4,4,19,7,3,6,4,6,4,8,5.566666667,2,1,7,2,3,7,9,0,5,4,5,2,3,3,2,2,1,2,3,3,4,2,10,0,2,5,2,4,3,7,4.550273224
chr12:2820086-2821792,2,7,3,6,10,6,11,5,4,2,7,5,0,6,2,8,2,5,9,9,4,0,2,6,2,6,7,0,2,8,4.866666667,0,7,2,6,10,4,8,4,4,2,6,2,0,5,2,6,2,3,8,9,3,0,2,4,1,4,4,1,1,4,4.342076503
chr3:3137260-3144710,4,6,0,0,0,0,4,0,0,6,5,8,3,4,0,2,3,0,4,2,2,5,3,4,0,6,5,2,5,7,3,3,5,0,1,0,1,4,0,1,4,2,6,3,3,1,2,3,0,3,2,2,2,3,4,1,3,4,2,3,5,2.721311475
chr12:120557282-120557682,5,5,5,9,7,8,15,10,5,2,10,9,7,4,3,6,5,9,9,3,13,6,9,3,5,15,10,8,6,10,7.366666667,4,3,4,4,5,1,9,6,3,0,1,7,5,2,2,4,4,6,6,1,7,1,6,1,4,13,7,7,2,7,5.907650273
chr20:32366384-32369123,12,9,7,5,20,14,11,17,19,7,11,23,18,13,9,16,10,14,14,15,6,22,16,11,5,22,15,12,8,25,13.53333333,9,7,6,2,12,10,6,11,12,5,6,15,14,7,6,9,6,8,7,12,4,15,14,6,3,16,1,9,4,20,11.1726776
chr1:114463104-114464388,3,9,9,5,4,17,10,5,6,5,2,10,4,5,6,9,5,5,9,11,2,2,6,5,6,14,10,5,2,6,6.566666667,3,7,4,2,3,14,6,4,6,4,1,7,3,1,6,6,3,5,8,9,2,1,4,2,5,11,6,4,1,3,5.64863388
chr1:160323431-160332557,7,9,4,4,4,3,8,9,6,3,9,8,3,7,0,6,5,4,6,2,6,10,8,4,3,7,5,3,3,5,5.366666667,4,6,4,2,3,2,7,5,2,3,5,6,1,5,0,5,5,3,5,1,4,8,6,2,1,6,4,3,3,3,4.596174863
chr2:190659158-190673152,22,27,21,11,31,34,42,15,34,19,36,26,17,26,13,24,22,18,22,28,12,13,28,26,18,41,21,16,17,21,23.36666667,8,14,7,1,14,13,20,7,10,13,20,13,10,13,5,14,10,8,11,18,1,4,15,2,5,1,8,1,11,9,16.56338798
chr2:238182065-238185287,11,11,11,10,14,13,20,6,15,6,9,13,13,11,9,19,11,11,13,13,13,5,10,6,5,13,8,8,9,22,11.26666667,7,9,6,8,9,9,10,4,8,5,6,6,7,4,4,13,9,7,9,8,7,4,7,3,2,6,3,4,5,11,9.004371585
chr15:85064370-85067204,5,0,2,2,5,2,2,0,2,0,2,4,2,0,0,3,2,0,3,2,3,0,5,5,4,2,3,3,0,6,2.3,3,1,2,2,2,1,1,1,0,0,0,3,2,1,1,1,1,0,2,2,3,0,3,2,2,1,2,2,1,3,1.906557377
chr4:151174670-151187463,6,3,2,5,5,3,9,6,3,3,3,4,3,3,0,2,3,3,0,6,3,2,8,4,6,4,9,5,4,7,4.133333333,3,1,1,3,3,1,5,5,0,1,1,3,3,2,0,2,1,2,0,3,1,1,6,1,5,2,9,3,1,5,3.313661202
chr3:119503532-119513719,0,2,0,0,0,3,2,0,0,4,4,3,0,2,3,0,2,6,3,5,3,3,4,0,0,2,0,0,3,4,1.933333333,1,1,0,0,0,2,2,1,1,2,2,2,1,1,3,1,2,4,2,5,2,3,2,1,1,0,0,1,3,2,1.769398907
chr10:67988663-68014186,2,2,0,3,2,0,5,0,0,0,3,2,3,2,0,0,0,3,2,0,2,0,6,4,0,2,2,0,3,5,1.766666667,2,2,0,3,2,1,3,0,1,1,2,2,2,1,0,0,1,3,0,1,2,1,5,3,0,2,1,1,2,5,1.701092896
chr5:154033791-154034967,21,17,11,25,16,24,36,24,15,16,38,29,39,18,16,24,28,16,25,25,18,20,22,13,13,39,23,25,24,21,22.7,13,11,6,19,12,16,29,20,10,11,25,20,34,9,12,16,21,10,17,16,11,13,12,10,12,29,15,17,15,16,19.3557377
chr20:35714185-35725155,11,14,5,12,23,16,21,11,18,12,16,15,10,13,8,22,8,12,17,22,11,11,8,11,10,22,10,17,10,23,13.96666667,11,13,4,9,21,12,13,8,15,11,12,11,9,9,7,16,7,10,12,18,7,9,7,8,7,16,8,15,7,21,12.5568306
chr2:173954873-173956232,3,2,4,4,6,7,3,5,3,2,0,3,6,7,5,5,6,4,2,6,3,0,7,4,3,8,3,3,3,5,4.066666667,1,2,2,2,6,4,1,2,3,1,0,2,2,4,3,2,2,4,2,3,1,1,3,2,1,3,2,3,2,2,3.181420765
chr15:101235082-101235577,2,0,12,9,2,5,6,5,3,2,3,3,5,6,4,5,3,5,2,3,8,4,8,3,5,7,4,4,0,4,4.4,1,1,9,5,1,5,4,3,2,2,1,1,3,7,2,3,2,2,2,1,5,3,4,1,2,2,2,2,0,3,3.563934426
chr11:117152441-117163892,3,7,2,2,4,5,8,3,5,0,3,3,0,4,2,6,4,5,5,6,2,3,5,6,4,2,2,3,0,0,3.466666667,2,5,1,1,3,2,4,1,4,1,2,3,1,2,1,4,4,4,3,5,1,2,1,4,3,1,1,4,2,1,2.958469945
chr18:8718424-8720496,0,2,0,3,8,2,3,4,3,5,4,4,2,3,3,4,0,2,0,2,2,2,4,4,3,5,0,7,0,7,2.933333333,0,2,1,2,7,2,2,4,2,5,1,3,1,3,1,4,1,2,0,1,1,1,4,1,3,5,0,7,0,6,2.671038251
chr9:20819796-20823115,7,9,5,6,4,8,11,4,8,8,7,6,4,6,5,6,6,7,4,3,2,4,5,9,5,7,7,10,13,14,6.666666667,5,5,2,4,2,6,9,1,6,5,5,1,3,6,1,6,6,7,3,2,1,3,4,7,2,7,1,8,12,9,5.666666667
chr7:116110708-116112038,4,4,3,0,2,12,0,3,7,0,7,0,4,2,0,4,6,7,0,3,0,0,0,9,2,4,2,2,9,3,3.3,0,2,1,0,2,3,1,2,2,0,6,0,2,0,0,3,4,4,0,2,0,0,1,5,1,2,1,2,3,1,2.496721311
chr12:32607957-32611283,8,8,4,9,5,8,8,6,9,6,7,13,4,2,4,6,6,4,9,4,9,7,6,5,3,14,3,4,6,21,6.933333333,8,6,4,8,5,7,8,5,8,5,5,10,4,2,4,6,6,4,8,1,8,6,6,6,2,1,1,3,6,18,6.326775956
chr4:87195324-87195690,52,41,22,26,32,36,47,17,42,23,25,35,40,29,13,34,28,28,23,28,26,22,42,20,39,40,35,16,34,58,31.76666667,40,28,16,24,24,30,33,14,32,21,19,24,33,21,9,28,21,20,15,20,23,16,36,14,29,30,27,14,27,41,28.09453552
chr1:231795242-231818517,4,4,4,0,8,9,8,5,10,3,7,3,11,6,11,9,10,6,3,8,2,9,10,7,4,6,10,3,3,15,6.6,2,1,1,1,2,5,3,2,6,1,3,1,9,2,5,3,5,4,0,6,2,4,7,4,2,4,1,1,1,1,4.813114754
chr12:123345258-123350441,0,3,2,0,6,2,2,0,2,3,3,5,2,0,0,2,4,0,0,0,2,0,6,0,0,4,2,0,3,10,2.1,1,3,1,1,5,2,2,0,2,2,3,3,2,0,0,2,4,1,1,0,2,1,4,1,1,4,2,1,2,7,2.050819672
chr16:68121987-68123121,7,22,22,13,27,34,35,20,24,14,22,27,18,23,10,36,22,20,28,33,20,32,30,19,21,39,27,23,19,42,24.3,6,16,16,10,18,22,24,13,15,12,1,22,17,19,9,26,18,13,18,1,13,24,23,1,17,30,18,18,15,31,20.31639344
chr5:142885298-142932125,7,4,3,2,6,4,8,2,5,0,3,4,11,2,4,6,3,3,2,4,4,2,5,3,2,7,0,5,3,3,3.9,7,3,3,2,5,2,4,1,1,0,2,3,8,2,1,5,2,3,1,4,3,2,5,2,2,1,0,5,2,2,3.342622951
chr12:27714780-27724186,8,5,6,4,10,13,8,3,5,0,5,8,8,10,7,11,5,6,9,10,4,4,9,11,2,3,6,4,4,12,6.666666667,5,3,4,3,4,10,4,3,3,1,4,4,6,5,4,1,3,4,6,5,2,2,7,6,2,0,4,3,2,7,5.306010929
chr1:211353239-211354467,4,4,4,2,5,5,11,0,5,2,9,13,2,4,5,5,3,5,8,6,2,3,4,6,3,5,5,5,6,9,5,3,0,2,0,2,2,5,0,3,0,3,9,1,4,1,3,1,2,4,3,1,0,2,4,3,3,3,2,4,7,3.803278689
chr16:30483827-30484263,8,4,8,6,8,7,17,6,4,3,9,10,4,10,0,8,9,14,12,10,4,12,13,2,7,13,5,5,7,8,7.766666667,3,3,6,3,7,5,12,5,3,2,6,7,1,7,1,5,6,9,7,4,4,9,8,1,2,9,1,2,6,1,6.324043716
chr18:24064140-24069271,10,12,7,5,6,10,13,6,7,5,9,10,9,12,2,6,8,15,3,3,4,11,9,6,4,4,4,6,5,9,7.333333333,5,6,5,0,3,3,8,2,4,2,6,6,5,7,1,4,6,5,1,2,1,6,4,3,4,1,0,1,4,4,5.513661202
chr10:84371014-84373815,5,2,0,4,7,6,4,0,3,9,0,2,2,5,4,4,8,2,2,6,4,0,6,0,3,5,0,0,3,6,3.4,3,1,1,4,6,6,3,0,1,7,1,1,1,4,4,3,5,0,1,4,4,1,6,2,1,3,2,0,1,6,3.072131148
chr11:77619606-77625818,12,11,9,5,14,21,16,14,16,7,18,23,10,18,13,9,10,13,12,7,7,15,16,6,6,17,10,13,18,29,13.16666667,4,9,4,2,9,10,8,6,7,4,6,8,7,10,5,8,5,9,8,4,4,8,3,3,4,5,4,6,5,17,9.838797814
chr5:73074742-73077493,39,40,30,26,56,37,68,38,26,28,52,65,47,50,26,33,48,43,42,38,16,43,55,34,37,46,43,41,38,76,42.03333333,25,26,18,14,46,27,47,24,20,1,36,41,36,30,16,24,32,29,30,29,12,1,32,25,16,32,33,30,25,47,34.54153005
chr2:8939821-8958642,5,3,0,0,0,4,2,5,5,6,4,3,4,2,3,2,4,0,4,2,3,0,3,2,0,5,3,0,0,7,2.7,5,3,1,0,0,3,2,3,5,6,2,1,3,2,2,2,3,1,4,1,2,1,3,2,0,3,2,1,1,7,2.536065574
chr6:158583954-158589782,8,7,9,0,7,11,15,4,7,2,4,15,4,11,5,9,11,3,8,8,4,14,13,4,3,10,11,6,5,8,7.533333333,5,6,5,1,7,10,6,2,4,1,4,10,2,8,1,6,7,2,5,8,4,10,1,3,2,7,1,4,4,7,6.172677596
chr9:93471141-93476338,11,18,17,16,5,18,29,11,16,15,21,16,10,11,10,17,22,12,23,23,11,12,16,15,11,28,13,12,11,26,15.86666667,5,11,10,12,3,15,24,9,7,6,17,10,9,8,1,13,12,9,18,15,1,9,12,1,7,21,9,9,9,21,13.19453552
chr22:45689712-45702847,0,0,0,2,4,9,4,9,2,4,0,3,4,2,0,4,3,0,4,0,3,3,0,0,3,3,5,2,3,0,2.533333333,0,0,1,2,3,1,3,6,2,3,0,3,3,1,1,3,2,0,3,1,1,3,0,0,2,2,3,2,3,0,2.172677596
chr3:31576396-31580096,13,15,12,7,15,29,17,18,12,19,13,13,18,17,6,16,13,15,9,9,12,9,20,20,17,29,20,12,10,23,15.26666667,10,10,6,4,10,19,14,16,11,8,5,8,15,13,5,9,7,10,7,6,6,6,12,11,14,21,11,9,7,18,12.80765027
chr10:126970702-127061776,0,3,3,2,5,5,3,6,4,3,3,0,0,4,0,4,0,2,5,3,0,9,6,4,2,3,3,0,2,0,2.8,1,2,3,1,4,2,2,4,3,3,2,1,0,1,1,4,0,2,3,1,0,5,3,4,2,2,2,0,2,0,2.406557377
chr1:66958059-66963160,3,2,5,0,6,5,12,3,3,2,5,7,10,3,2,4,5,0,3,4,3,5,10,3,4,4,4,3,3,7,4.333333333,2,0,3,1,5,4,6,3,2,2,4,6,10,1,2,1,5,0,3,3,1,2,7,2,3,1,3,2,2,4,3.677595628
chr8:67105905-67116122,0,3,0,4,3,3,11,3,7,2,9,0,5,2,2,6,4,4,6,2,3,3,6,0,4,7,3,3,2,3,3.666666667,1,1,0,3,1,2,9,3,6,2,6,0,3,2,1,4,4,3,6,1,2,2,4,1,3,6,1,2,0,1,3.174863388
chr8:22196680-22197420,5,0,0,0,3,2,0,2,0,0,4,0,6,0,8,0,0,3,2,0,3,3,0,0,3,2,4,3,2,5,2,5,1,0,0,3,2,1,1,0,1,4,1,4,0,6,1,2,3,2,1,3,3,0,1,2,2,4,3,1,4,2.016393443
chr6:154787861-154792976,5,0,2,3,4,4,2,0,2,3,2,5,6,2,0,6,0,2,6,2,3,3,6,0,0,5,3,2,0,3,2.7,4,1,1,2,2,4,2,0,2,2,1,4,5,1,0,4,1,2,5,1,2,3,3,1,0,1,3,2,1,2,2.38852459
chr17:3705081-3705645,0,6,0,0,5,5,5,0,0,0,6,2,5,3,0,2,3,4,11,3,0,6,4,0,3,0,0,5,3,5,2.866666667,0,3,0,0,5,5,3,1,1,0,5,1,4,2,1,1,3,3,8,2,1,4,3,1,2,1,0,4,2,2,2.571584699
chr5:180261684-180280608,5,5,6,2,9,9,6,3,2,2,2,9,8,5,2,8,5,3,11,2,9,3,6,4,5,9,4,8,6,0,5.266666667,3,2,4,2,6,6,5,2,2,2,2,9,7,5,2,7,3,2,8,2,7,3,5,4,5,9,2,7,6,1,4.807650273
chr16:19616114-19647882,5,3,6,4,10,8,5,2,4,4,6,0,6,2,3,4,3,4,4,5,5,0,2,4,3,7,5,3,0,7,4.133333333,2,3,5,2,10,2,4,1,5,1,6,0,4,2,3,4,3,3,3,2,3,1,1,3,2,4,1,3,0,5,3.543169399
chr1:167966629-167975015,2,12,4,0,5,4,5,0,2,0,3,5,0,5,0,2,3,0,3,3,2,2,3,3,4,3,3,7,0,3,2.933333333,1,5,5,1,2,2,2,0,3,1,2,1,1,1,2,3,1,1,2,2,1,0,3,2,1,5,1,3,1,1,2.408743169
chr2:164692221-164695836,4,0,0,2,2,3,6,0,2,3,2,3,2,3,0,4,2,2,3,5,3,2,3,0,5,0,2,2,0,4,2.3,3,1,0,1,2,1,5,1,2,2,2,2,1,3,1,3,1,1,1,3,2,2,2,1,3,1,1,1,0,3,2.021311475
chr5:52861447-52865817,0,4,2,3,0,4,3,2,3,0,3,0,3,5,6,2,2,0,4,0,0,2,3,0,4,0,2,6,2,3,2.266666667,0,3,2,3,1,4,2,2,2,1,3,0,3,4,2,2,2,0,2,1,0,2,2,1,2,1,1,4,2,2,2.069945355
chrX:2953143-2955537,0,6,0,0,3,6,0,2,0,0,5,2,0,4,0,2,2,2,0,2,0,3,4,3,2,5,4,2,3,5,2.233333333,0,4,1,0,0,4,0,1,0,0,4,2,1,3,1,2,2,1,1,1,0,2,4,3,0,5,4,2,3,4,2.036612022
chr19:50398851-50399484,6,7,4,3,2,9,6,3,6,2,5,4,6,3,0,5,3,6,6,5,0,5,6,0,3,4,6,5,3,11,4.466666667,4,6,3,2,1,9,4,3,5,1,4,2,5,3,1,3,2,6,4,5,1,3,4,1,2,5,2,3,0,10,3.974863388
chr13:49168613-49178654,3,7,0,3,0,4,4,3,3,0,3,2,2,0,0,0,3,0,2,2,0,2,3,2,2,3,2,2,4,0,2.033333333,2,7,0,3,0,0,1,2,2,0,2,2,2,0,0,1,1,0,2,2,1,1,2,2,2,1,2,1,3,0,1.754644809
chr10:94245946-94246621,6,14,10,12,7,13,14,12,18,17,9,14,8,7,2,8,7,4,16,6,6,7,15,9,12,14,7,10,6,14,10.13333333,6,13,9,9,3,11,12,10,1,14,5,7,1,4,2,5,6,2,10,4,6,1,14,8,10,11,6,7,5,10,8.625136612
chr18:75285448-75288648,0,3,3,2,2,0,0,4,2,2,5,3,2,0,0,3,3,3,0,5,3,0,5,0,3,4,2,0,3,4,2.2,0,3,1,1,1,1,0,3,2,1,4,1,2,1,0,2,2,1,1,3,3,1,4,0,3,4,2,1,2,3,1.986885246
chr17:39708321-39710481,9,16,12,9,12,9,18,15,9,4,6,16,11,10,2,8,6,3,12,10,10,3,11,13,6,15,6,7,6,7,9.366666667,6,14,8,6,9,1,18,1,7,3,5,15,9,9,2,5,4,1,12,7,8,2,9,7,2,10,2,1,5,6,7.940437158
chr1:26729651-26732792,31,32,22,18,36,40,39,21,37,17,40,35,18,25,19,34,23,31,43,21,16,19,34,20,27,35,32,34,25,42,28.86666667,24,25,16,16,31,30,30,15,32,15,1,1,16,18,18,1,22,24,39,18,13,16,31,1,23,28,27,33,20,37,24.85027322
chr1:112653598-112659779,7,0,2,0,9,0,0,0,4,4,2,7,6,4,0,4,5,3,8,9,3,0,10,8,0,8,5,5,4,10,4.233333333,3,7,3,2,8,5,10,4,5,4,3,4,6,5,0,5,7,1,8,7,3,5,8,10,4,8,3,7,6,8,4.757923497
chr14:88574693-88578140,3,2,2,0,4,10,5,5,3,4,2,4,3,3,0,0,0,0,4,3,5,2,6,2,5,3,6,2,2,4,3.133333333,1,1,2,1,1,7,4,4,3,1,1,4,2,1,1,1,1,0,2,1,3,2,4,1,3,2,6,2,2,1,2.657923497
chr14:50150008-50150230,3,2,0,0,3,6,4,0,3,3,4,13,4,0,3,4,2,3,0,3,0,6,5,5,2,2,5,4,2,0,3.033333333,2,1,2,1,2,4,2,1,3,3,2,11,3,1,2,3,2,1,1,2,1,4,3,2,1,2,3,2,2,0,2.672677596
chr6:79042843-79060818,0,3,2,2,4,8,7,6,5,5,3,5,0,5,0,5,5,6,7,7,5,4,6,3,4,9,2,7,4,4,4.433333333,1,2,2,2,4,8,4,5,1,4,1,5,1,5,1,2,5,5,4,5,3,2,3,2,3,8,2,7,4,4,3.97431694
chr10:93381219-93389154,2,4,0,0,0,6,0,4,0,0,7,7,2,4,2,2,3,4,0,3,3,3,4,5,4,3,8,4,0,10,3.133333333,2,3,1,0,0,3,1,4,1,0,5,6,2,2,1,2,3,3,0,2,2,3,2,4,4,3,8,4,0,8,2.887431694
chr4:102304317-102315830,17,22,9,19,17,37,14,8,16,19,9,20,27,21,3,22,18,14,21,17,16,8,15,8,15,13,25,10,16,17,16.43333333,12,15,8,15,13,32,8,4,12,11,6,13,22,18,2,16,15,7,16,13,12,4,13,5,12,10,18,7,10,11,14.25300546
chr7:92294889-92319512,0,2,3,0,2,4,4,2,3,2,0,2,2,4,0,2,0,3,0,2,2,0,0,3,0,2,2,2,0,2,1.666666667,0,2,3,1,1,3,4,2,3,2,1,2,2,3,0,2,0,3,0,2,2,0,0,3,1,2,2,2,1,2,1.683060109
chr20:35653528-35659014,7,8,2,0,5,8,5,5,7,0,4,7,12,7,4,6,5,5,2,0,7,3,3,3,9,7,6,4,5,5,5.033333333,7,4,1,1,4,6,3,4,6,1,4,5,10,5,2,5,5,4,1,0,4,3,2,3,8,5,2,2,3,5,4.443169399
chr1:45566569-45567020,6,2,0,2,0,3,3,8,0,2,4,2,0,3,0,0,0,3,3,2,0,4,4,3,0,6,0,0,2,10,2.4,3,1,1,2,1,2,2,3,0,2,3,2,1,1,1,1,0,2,2,2,0,0,2,2,0,2,1,1,1,9,2.039344262
chrX:37386599-37426000,5,0,0,2,3,2,3,0,3,0,3,4,0,3,0,0,3,3,2,0,3,0,0,2,3,2,0,0,0,4,1.666666667,4,0,1,2,3,2,1,0,2,2,3,3,0,2,1,0,2,2,2,0,3,1,0,2,3,1,0,1,0,4,1.617486339
chr16:30728966-30729572,6,18,6,8,17,8,25,18,7,7,15,18,9,10,10,12,17,13,24,17,7,16,21,8,7,16,19,14,11,25,13.63333333,4,15,2,5,11,1,19,1,5,7,12,1,8,10,9,11,10,11,2,9,6,13,14,8,5,14,16,11,9,20,11.33825137
