ID,X1032245.T_bwa.ciri2,X1039868.T_bwa.ciri2,X1042353.T_bwa.ciri2,X1042745.T_bwa.ciri2,X1043773.T_bwa.ciri2,X1045386.T_bwa.ciri2,X1045549.T_bwa.ciri2,X1046191.T_bwa.ciri2,X1046287.T_bwa.ciri2,X1046349.T_bwa.ciri2,X1046499.T_bwa.ciri2,X1047291.T_bwa.ciri2,X1047831.T_bwa.ciri2,X1047912.T_bwa.ciri2,X1048720.T_bwa.ciri2,X1049983.T_bwa.ciri2,X1050700.T_bwa.ciri2,X1051316.T_bwa.ciri2,X1054390.T_bwa.ciri2,X1056166.T_bwa.ciri2,X272577.T_bwa.ciri2,X451368.T_bwa.ciri2,X477022.T_bwa.ciri2,X515975.T_bwa.ciri2,X522638.T_bwa.ciri2,X548142.T_bwa.ciri2,X649867.T_bwa.ciri2,X685749.T_bwa.ciri2,X843725.T_bwa.ciri2,X99272.T_bwa.ciri2,CircRNACount.1032245.T,CircRNACount.1039868.T,CircRNACount.1042353.T,CircRNACount.1042745.T,CircRNACount.1043773.T,CircRNACount.1045386.T,CircRNACount.1045549.T,CircRNACount.1046191.T,CircRNACount.1046287.T,CircRNACount.1046349.T,CircRNACount.1046499.T,CircRNACount.1047291.T,CircRNACount.1047831.T,CircRNACount.1047912.T,CircRNACount.1048720.T,CircRNACount.1049983.T,CircRNACount.1050700.T,CircRNACount.1051316.T,CircRNACount.1054390.T,CircRNACount.1056166.T,CircRNACount.272577.T,CircRNACount.451368.T,CircRNACount.477022.T,CircRNACount.515975.T,CircRNACount.522638.T,CircRNACount.548142.T,CircRNACount.649867.T,CircRNACount.685749.T,CircRNACount.843725.T,CircRNACount.99272.T
chr3:170359699-170361429,7,0,4,6,13,5,2,2,9,3,10,9,6,6,7,4,12,0,5,6,7,6,18,6,0,19,3,12,8,7,4,1,3,5,8,5,2,2,7,3,8,8,4,6,2,3,11,2,5,5,4,3,11,4,1,13,1,9,7,3
chr7:155672867-155680908,31,22,42,52,35,40,15,23,28,45,45,31,44,61,28,17,34,13,34,46,62,20,28,25,30,18,16,36,26,56,12,17,18,30,1,21,5,14,13,23,25,15,19,32,18,10,17,8,18,29,1,7,13,11,21,11,9,16,14,30
chr7:100819557-100820296,4,5,2,0,3,2,0,2,0,3,5,9,3,3,3,2,5,2,2,2,0,2,0,2,2,5,3,6,0,0,4,5,1,1,3,2,1,1,0,2,4,8,2,3,3,2,5,1,1,1,0,2,1,2,1,3,2,2,0,0
chr7:6814764-6823360,4,3,3,0,0,0,5,8,5,0,10,4,0,12,7,0,0,3,2,0,0,4,3,3,2,5,2,7,2,5,0,4,2,1,5,1,2,4,3,1,1,7,4,5,4,3,3,2,3,4,1,4,2,2,2,3,1,1,1,0
chrX:24172715-24179770,6,0,6,11,0,12,2,9,4,0,6,5,5,7,5,0,11,4,2,3,4,0,3,0,0,3,2,9,8,7,4,0,4,1,0,5,1,7,2,1,6,1,3,7,4,0,9,2,2,2,3,1,2,0,0,1,2,9,4,6
chr1:114463104-114464388,11,0,4,8,9,4,3,5,11,2,4,8,9,5,4,6,7,0,6,7,3,10,5,5,7,3,0,8,6,0,7,0,3,5,6,3,2,3,7,1,3,6,6,4,4,5,7,1,4,7,2,8,4,4,7,1,1,7,6,0
chr4:128074460-128077962,3,5,5,0,4,0,0,3,4,3,5,5,6,5,2,2,4,4,5,0,0,3,5,4,6,7,5,13,7,2,4,4,1,0,3,0,1,3,3,1,1,5,2,3,2,2,3,2,4,2,0,1,3,1,3,2,2,7,4,0
chr14:71400794-71418196,2,2,0,4,4,0,0,0,3,0,2,0,0,2,3,4,3,0,7,4,3,3,0,0,0,5,0,5,4,4,2,2,1,2,2,0,1,1,1,0,1,0,2,2,2,3,2,0,4,3,3,3,1,0,0,3,0,3,3,2
chr8:37870420-37877551,6,3,16,4,12,10,2,2,8,9,9,4,4,15,3,3,13,3,26,3,0,2,6,2,5,3,6,0,6,3,5,2,10,3,6,7,0,1,7,8,5,4,3,8,1,1,8,2,16,2,1,1,4,2,3,3,4,0,4,3
chr7:27629371-27649633,9,6,7,14,3,15,2,8,7,5,8,7,11,14,4,0,6,5,13,8,4,6,5,0,6,3,8,5,6,6,5,5,6,9,2,14,2,8,4,4,8,7,9,12,4,1,3,4,8,6,2,6,5,2,5,2,7,2,5,5
chr9:93471141-93476338,16,3,7,6,21,21,3,14,12,10,12,11,12,20,12,6,28,6,9,9,2,13,10,12,13,12,10,7,5,8,10,3,4,5,13,14,3,12,9,9,7,9,10,15,7,4,18,5,6,8,1,9,7,8,8,6,5,4,2,7
chr16:84740309-84745673,0,0,0,5,2,8,0,2,5,5,4,4,2,4,2,3,4,0,4,3,2,0,0,3,2,0,0,0,2,2,1,1,1,9,3,6,1,1,3,1,1,4,0,3,0,3,6,0,3,2,2,2,1,3,4,0,0,0,1,3
chr6:47283938-47286595,184,26,7,38,40,49,25,35,14,22,33,28,47,21,24,19,41,25,25,55,36,47,24,20,16,68,23,17,35,40,134,21,4,27,31,40,20,27,11,16,23,21,37,18,21,11,33,20,21,37,28,33,20,15,12,51,16,10,26,30
chr15:49225205-49292537,3,0,0,3,4,2,2,3,6,2,7,0,4,4,0,0,0,0,3,2,3,2,2,0,0,2,2,3,5,6,3,1,0,2,3,2,1,2,5,1,7,0,4,3,1,1,1,0,1,2,2,1,2,1,0,2,1,2,3,5
chr7:70762870-70771644,3,2,7,0,0,6,0,2,5,6,0,5,2,7,2,0,5,3,5,2,0,3,0,0,0,4,4,2,0,0,2,1,6,0,0,4,0,2,3,2,0,3,2,5,1,0,5,2,2,2,1,2,0,0,0,2,2,1,0,0
chr13:100301460-100309908,2,2,5,7,15,6,0,12,3,2,7,7,4,4,7,4,6,2,4,2,0,5,7,0,11,0,2,0,0,4,2,2,5,7,12,6,0,9,3,0,7,6,4,3,5,3,5,1,3,2,1,5,6,0,10,1,2,1,0,3
chr15:80120328-80122800,16,14,9,9,19,9,7,10,22,7,12,11,10,8,7,11,11,9,16,11,7,18,16,9,7,16,17,14,13,17,14,1,6,6,1,10,4,11,20,7,12,9,10,7,8,11,12,8,14,9,7,16,14,9,6,11,14,15,3,15
chr5:61472681-61473037,8,2,2,4,2,3,2,5,9,0,6,0,0,3,2,2,4,0,5,2,6,0,5,0,3,0,2,6,5,3,3,2,1,4,2,3,1,4,8,1,4,1,0,2,1,2,4,1,3,1,4,1,5,1,2,1,1,4,3,2
chr6:130955105-130956499,8,0,4,6,5,2,7,2,10,4,8,4,7,4,8,3,11,4,5,5,3,7,7,2,2,3,5,23,7,3,6,1,1,6,3,1,6,1,8,1,4,4,5,4,7,2,8,4,2,5,2,5,6,1,2,2,1,15,5,2
chr17:64821767-64822393,4,3,3,0,6,3,0,0,0,3,10,3,4,3,4,5,0,5,3,2,2,4,5,4,5,3,2,4,3,8,3,3,3,1,5,2,1,0,2,2,8,3,3,3,5,4,3,4,2,0,2,1,3,3,5,3,2,3,2,7
chr20:35858302-35871829,4,0,6,4,6,4,0,3,7,3,6,4,0,5,0,2,3,2,6,0,0,3,0,0,0,0,0,2,2,2,3,0,5,3,5,3,0,3,5,2,5,3,1,3,1,1,3,2,5,0,0,2,0,0,1,1,1,2,2,2
chr5:73058433-73077493,3,5,4,0,5,2,3,5,6,6,6,4,3,3,0,4,0,5,6,2,0,3,0,0,2,3,2,8,4,6,1,3,3,0,3,1,2,5,5,4,4,1,3,0,0,2,0,3,4,2,0,1,0,1,1,3,1,5,4,5
chr17:51263274-51268904,2,5,8,3,7,2,5,4,2,5,6,7,9,5,5,4,5,0,0,8,0,8,9,2,8,3,3,4,5,7,1,4,6,2,4,1,3,3,2,3,5,6,5,2,4,1,6,1,2,1,0,1,6,3,3,1,1,2,3,7
chr2:226906793-226914351,7,2,2,6,3,5,0,2,5,0,7,3,3,2,2,2,8,4,0,10,0,0,8,2,7,5,0,3,2,2,7,0,2,5,3,4,0,2,4,1,1,2,2,1,2,2,6,2,1,7,0,1,7,2,6,4,1,1,2,1
chr11:120474560-120477526,4,2,0,4,8,5,5,5,9,4,2,8,4,7,5,5,4,2,2,3,2,4,3,0,9,3,4,12,4,4,4,1,1,3,1,4,3,4,6,3,2,6,4,7,4,4,3,2,2,2,2,3,1,0,8,2,4,1,4,4
chr17:49311312-49312042,3,3,5,3,10,2,0,2,6,5,6,3,0,9,7,0,7,3,4,3,3,3,2,2,3,5,3,0,8,5,3,2,1,2,6,2,0,2,6,2,2,3,0,7,4,1,4,0,3,1,1,1,1,2,3,5,2,0,5,3
chr8:144190784-144200541,6,0,8,8,0,2,0,13,3,5,4,10,0,4,0,0,3,3,5,5,3,3,2,0,4,0,0,0,3,0,1,0,7,6,1,2,0,10,3,3,2,10,1,3,2,0,3,3,5,5,2,2,2,0,3,1,1,1,3,1
chr8:51845661-51861246,5,2,2,6,5,3,0,0,0,6,5,2,2,2,0,0,2,0,5,0,2,0,4,0,2,2,0,2,4,2,4,2,0,4,3,2,0,2,0,4,2,1,2,1,1,0,2,0,4,1,1,0,4,0,1,1,0,2,5,2
chr6:87215903-87218731,25,2,8,13,18,13,4,11,21,6,17,11,13,19,11,5,15,5,5,8,8,10,12,9,7,8,6,24,17,11,19,1,4,12,14,10,4,8,1,4,12,10,9,14,9,4,9,5,3,1,3,1,11,7,6,5,6,4,16,9
chr11:118583809-118584644,2,3,0,2,0,0,0,2,2,0,2,3,0,2,2,2,2,0,2,6,7,2,0,0,2,5,0,3,5,2,2,3,1,1,0,1,1,1,1,1,2,2,1,1,2,2,1,1,2,4,6,2,1,1,2,2,1,2,5,2
chr1:233198939-233236980,3,2,2,7,6,6,0,0,4,3,4,0,0,0,2,0,3,2,2,0,0,3,3,0,4,7,0,0,2,3,2,2,2,4,4,5,0,0,3,3,4,0,0,0,2,1,2,1,2,0,0,3,2,1,3,3,1,1,1,1
chr1:58506060-58536741,4,4,6,3,10,9,0,5,3,0,3,0,7,7,2,5,4,5,6,6,0,2,0,3,4,0,5,6,4,8,3,2,3,3,5,6,1,4,1,0,2,0,3,5,2,3,2,3,6,5,0,2,0,2,3,0,4,3,3,8
chr5:180261684-180280608,2,3,2,9,14,5,3,3,3,2,3,8,6,12,4,3,10,3,3,5,3,3,10,5,10,3,3,8,10,6,1,2,1,6,5,2,2,2,3,0,1,7,5,10,2,3,7,3,2,3,2,2,5,3,6,3,3,4,8,5
chr10:101667886-101676436,9,3,6,15,6,8,4,8,20,5,14,12,13,24,14,6,9,9,12,7,6,3,9,3,8,11,11,27,5,9,5,1,5,12,6,5,4,5,16,5,13,8,8,17,7,3,8,8,9,4,7,2,5,3,8,6,9,18,4,7
chr4:74174506-74225394,6,4,3,0,5,4,3,3,3,2,5,7,0,7,6,0,2,4,8,3,0,4,8,4,2,0,0,8,0,3,5,3,1,0,2,4,1,3,2,1,4,5,0,2,6,0,2,2,1,2,1,4,7,4,2,1,0,3,0,2
chr17:81855142-81855586,3,4,0,2,3,6,3,3,2,4,6,2,2,4,2,4,4,4,7,6,0,0,6,0,2,8,0,6,3,0,2,3,1,2,3,4,1,2,2,3,5,2,2,2,1,4,2,3,6,5,0,1,5,0,2,5,1,4,2,0
chr2:159169250-159170805,6,0,2,2,2,0,0,0,0,0,3,5,0,3,2,0,5,2,0,2,0,0,0,0,2,3,3,4,0,3,5,1,2,2,2,0,1,1,1,0,2,3,0,2,2,0,4,2,0,2,0,1,1,0,2,3,2,2,0,1
chr22:20933779-20934244,13,6,20,24,8,14,7,8,19,12,18,24,12,12,12,11,39,6,12,7,5,9,15,8,13,15,16,34,10,10,7,3,1,20,5,1,7,6,11,5,12,14,1,10,7,3,30,6,5,5,5,6,11,6,10,10,10,2,9,8
chr12:50427762-50429090,2,2,0,5,5,0,2,2,2,3,3,4,2,4,3,3,0,4,6,6,0,2,6,0,8,4,6,6,0,0,1,1,1,3,4,1,1,1,2,2,2,1,1,2,3,4,1,3,3,2,0,1,4,1,5,2,2,2,0,0
chr3:119500695-119513719,5,0,3,0,5,0,0,3,6,0,3,2,2,6,0,0,4,4,0,3,2,0,5,0,2,4,3,2,2,0,5,0,2,0,2,1,0,2,4,0,2,2,1,5,0,0,3,4,1,2,2,0,4,1,2,4,3,2,1,1
chr6:70426439-70452571,6,3,5,2,7,3,0,2,0,0,3,2,5,4,0,4,5,0,4,0,0,2,3,0,0,0,0,4,4,2,3,3,3,2,4,2,1,2,1,1,2,2,5,3,1,4,5,1,3,1,0,2,2,1,0,1,0,4,1,2
chr14:102040236-102040673,14,9,7,4,4,10,4,8,12,8,8,8,6,6,4,6,7,7,7,16,0,8,8,4,10,30,8,9,14,8,9,9,6,4,2,4,3,6,6,4,6,4,4,1,3,2,6,4,2,12,0,5,5,1,3,20,4,7,9,7
chr10:110964125-110985765,14,9,7,13,23,16,5,6,18,14,7,17,12,11,7,14,5,6,15,6,11,10,13,10,8,7,6,5,13,11,12,7,5,8,16,14,5,4,12,10,4,9,10,9,6,1,3,2,12,4,8,9,9,7,6,5,5,3,10,10
chr12:45926142-45928859,4,2,0,4,2,4,2,0,4,0,2,3,5,2,0,3,0,2,0,3,0,4,0,0,4,2,6,5,0,4,2,1,1,1,2,2,1,0,4,1,2,2,4,2,0,2,1,2,0,2,0,1,1,0,4,2,5,3,1,3
chr7:135577796-135593192,8,2,0,6,5,7,4,2,0,5,4,9,5,17,3,6,9,0,4,4,0,0,0,3,4,0,0,5,5,6,6,2,0,4,3,4,4,1,0,2,3,7,2,11,2,5,5,1,3,4,1,0,1,3,4,1,1,1,3,6
chr8:67105905-67116122,0,0,4,0,2,5,3,4,5,0,2,0,0,7,2,0,2,0,10,5,0,0,0,0,4,0,0,9,4,5,1,0,4,0,2,3,2,3,5,0,2,1,1,6,2,0,2,1,8,4,1,1,0,0,4,1,0,6,2,4
chr5:73074742-73077493,41,17,22,14,27,18,6,18,26,15,26,19,19,24,13,15,22,14,18,22,4,25,14,11,21,32,24,29,26,29,28,11,16,8,17,15,5,13,18,10,18,14,16,17,10,10,14,8,11,14,2,15,5,5,15,27,17,18,18,20
chr21:39228500-39229436,2,0,0,2,3,7,0,6,3,5,0,2,7,5,0,0,2,0,2,8,3,3,3,5,2,2,3,3,0,2,2,1,0,2,2,5,0,5,3,3,0,2,4,3,1,0,2,1,2,8,3,1,2,4,2,2,2,3,1,1
chrX:41660439-41671530,2,0,2,2,0,2,0,4,2,3,0,6,0,7,0,0,2,0,3,2,0,0,4,0,5,2,2,0,0,0,2,1,1,2,0,1,1,3,2,2,0,5,0,5,1,1,2,1,2,2,0,1,3,0,4,2,2,0,1,2
chr15:41696075-41699159,8,2,3,15,4,7,2,5,7,7,2,8,6,8,4,2,8,3,0,3,3,3,3,0,3,0,5,6,6,9,6,1,1,10,3,1,2,2,7,4,1,4,6,5,1,2,7,1,1,1,2,2,3,0,2,1,3,6,6,5
chr9:122280443-122291840,7,2,6,7,2,6,4,4,10,4,4,4,8,10,0,5,8,4,7,0,2,3,5,0,6,3,2,6,5,2,3,2,4,5,2,5,4,3,6,2,3,3,8,7,1,1,7,3,5,2,2,1,3,1,5,2,1,4,3,2
chr4:122927634-122979386,3,3,2,2,3,3,0,2,6,3,3,2,3,5,0,2,4,2,3,0,2,2,2,0,2,2,0,2,0,0,2,2,1,2,3,2,0,1,4,3,1,2,2,5,0,1,4,1,1,0,2,2,2,0,2,1,0,1,0,0
chr1:32948222-32949774,11,9,7,8,10,6,0,5,23,7,14,14,6,9,8,9,12,7,12,17,5,7,4,6,8,15,5,21,10,6,9,9,4,6,8,6,1,4,17,6,11,11,2,9,8,9,9,7,11,11,5,3,3,5,7,10,5,17,9,6
chr14:63998914-64022863,0,4,0,0,6,3,3,0,2,2,3,11,2,3,5,2,2,4,2,0,0,6,0,0,0,2,0,12,6,4,0,2,0,1,6,2,3,0,2,0,3,11,2,3,2,2,2,4,2,1,1,5,1,0,0,1,0,9,4,4
chr1:28742403-28743986,4,7,0,3,3,3,2,2,5,2,0,0,6,5,3,4,0,3,5,0,0,5,0,7,0,3,0,3,4,2,1,4,0,1,2,0,0,1,4,1,1,3,4,2,2,4,2,4,2,0,1,2,0,3,0,0,3,1,3,2
chr4:127669036-127687867,5,2,4,2,6,0,0,0,3,4,0,0,3,2,0,2,0,0,3,2,0,5,0,2,0,0,3,4,0,5,5,2,3,2,5,1,1,0,3,4,0,0,3,1,1,0,0,1,2,2,0,3,0,2,0,0,3,2,0,4
chr1:117402186-117414831,11,11,3,7,12,13,4,6,14,6,6,11,8,24,14,6,15,6,12,14,11,10,3,3,16,17,3,32,7,11,7,8,3,7,9,10,3,5,10,1,5,9,8,20,12,6,11,1,8,1,1,9,2,1,1,2,3,22,6,9
