"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","group"
"GO:0005856","CC","GO:0005856","cytoskeleton",41,-0.468136637142744,-1.69013525803246,0.00320880578691017,0.74754205811667,0.74754205811667,44,"tags=44%, list=22%, signal=43%","60581/361197/171296/64353/367056/81740/24907/296372/54348/288010/84476/361256/290533/116670/305332/309025/498136/100360334","MA"
"GO:0031984","CC","GO:0031984","organelle subcompartment",14,0.69600503319353,1.68283712576115,0.00756694653843871,0.74754205811667,0.74754205811667,68,"tags=93%, list=34%, signal=66%","85431/300901/116548/498328/361694/64018/365057/689560/292999/81925/58817/311215/29606","MA"
"GO:0006082","BP","GO:0006082","organic acid metabolic process",7,0.794736621515516,1.58578622737994,0.0129930073497765,0.74754205811667,0.74754205811667,9,"tags=43%, list=4%, signal=42%","114506/85431/300901","MA"
"GO:0043436","BP","GO:0043436","oxoacid metabolic process",7,0.794736621515516,1.58578622737994,0.0129930073497765,0.74754205811667,0.74754205811667,9,"tags=43%, list=4%, signal=42%","114506/85431/300901","MA"
"GO:1902115","BP","GO:1902115","regulation of organelle assembly",3,-0.94749917746032,-1.57192171624272,0.00341915592751045,0.74754205811667,0.74754205811667,12,"tags=67%, list=6%, signal=64%","313278/29613","MA"
"GO:0030016","CC","GO:0030016","myofibril",12,-0.60266052615603,-1.5413639149369,0.0304027431759839,0.74754205811667,0.74754205811667,37,"tags=58%, list=18%, signal=51%","362036/64353/25560/24907/361256/116670/100360334","MA"
"GO:0043292","CC","GO:0043292","contractile fiber",12,-0.60266052615603,-1.5413639149369,0.0304027431759839,0.74754205811667,0.74754205811667,37,"tags=58%, list=18%, signal=51%","362036/64353/25560/24907/361256/116670/100360334","MA"
"GO:0006520","BP","GO:0006520","cellular amino acid metabolic process",4,0.868414569013051,1.53257295444689,0.0136362109482254,0.74754205811667,0.74754205811667,9,"tags=50%, list=4%, signal=49%","85431/300901","MA"
"GO:0008092","MF","GO:0008092","cytoskeletal protein binding",23,-0.479203062480296,-1.51031681693806,0.045224393081166,0.74754205811667,0.74754205811667,42,"tags=39%, list=21%, signal=35%","171296/64353/290986/24907/84476/361256/305332/498136/100360334","MA"
"GO:0051639","BP","GO:0051639","actin filament network formation",2,-0.98632850652541,-1.50971371329241,0.00243481438381601,0.74754205811667,0.74754205811667,2,"tags=100%, list=1%, signal=100%","100360334","MA"
"GO:0055001","BP","GO:0055001","muscle cell development",6,-0.718433986595975,-1.50113808099793,0.044030159742993,0.74754205811667,0.74754205811667,49,"tags=67%, list=24%, signal=52%","362036/64353/24907/100360334","MA"
"GO:0099081","CC","GO:0099081","supramolecular polymer",21,-0.486673772083476,-1.47680937247421,0.0579362420300518,0.74754205811667,0.74754205811667,42,"tags=43%, list=21%, signal=38%","362036/171296/64353/25560/24907/361256/116670/498136/100360334","MA"
"GO:0099512","CC","GO:0099512","supramolecular fiber",21,-0.486673772083476,-1.47680937247421,0.0579362420300518,0.74754205811667,0.74754205811667,42,"tags=43%, list=21%, signal=38%","362036/171296/64353/25560/24907/361256/116670/498136/100360334","MA"
"GO:0016922","MF","GO:0016922","nuclear receptor binding",3,-0.861664120613679,-1.42951949249217,0.0424312035541973,0.74754205811667,0.74754205811667,6,"tags=67%, list=3%, signal=66%","306764/309025","MA"
"GO:0003779","MF","GO:0003779","actin binding",13,-0.545429126048419,-1.42440723396472,0.0964912280701754,0.74754205811667,0.74754205811667,42,"tags=46%, list=21%, signal=39%","171296/64353/24907/361256/305332/100360334","MA"
"GO:0032502","BP","GO:0032502","developmental process",102,0.405834165198401,1.36495380910553,0.0399529964747356,0.74754205811667,0.74754205811667,48,"tags=32%, list=24%, signal=50%","114506/85431/298732/309135/63845/361886/367218/25181/685899/363212/58952/116548/257645/59323/266611/303439/315686/83467/501203/363239/299897/498328/306347/89816/59107/304244/503000/362696/64018/365057/54251/689560/100361818","MA"
"GO:0005865","CC","GO:0005865","striated muscle thin filament",1,-1,-1.34098521362634,0.00765593049209287,0.74754205811667,0.74754205811667,2,"tags=100%, list=1%, signal=100%","","MA"
"GO:0042554","BP","GO:0042554","superoxide anion generation",1,0.985074626865672,1.32036245243792,0.0450156244091263,0.74754205811667,0.74754205811667,4,"tags=100%, list=2%, signal=99%","85431","MA"
"GO:0043020","CC","GO:0043020","NADPH oxidase complex",1,0.985074626865672,1.32036245243792,0.0450156244091263,0.74754205811667,0.74754205811667,4,"tags=100%, list=2%, signal=99%","85431","MA"
"GO:0097038","CC","GO:0097038","perinuclear endoplasmic reticulum",1,0.985074626865672,1.32036245243792,0.0450156244091263,0.74754205811667,0.74754205811667,4,"tags=100%, list=2%, signal=99%","85431","MA"
"GO:0048856","BP","GO:0048856","anatomical structure development",100,0.384567866580159,1.28934470805141,0.0794780545670225,0.74754205811667,0.74754205811667,48,"tags=32%, list=24%, signal=48%","114506/85431/309135/63845/361886/367218/25181/685899/363212/58952/116548/257645/59323/266611/303439/315686/83467/501203/363239/299897/498328/306347/89816/59107/304244/503000/362696/64018/365057/54251/689560/100361818","MA"
"GO:0007275","BP","GO:0007275","multicellular organism development",83,0.382536109846175,1.27552569199781,0.0957575757575758,0.74754205811667,0.74754205811667,42,"tags=30%, list=21%, signal=40%","114506/85431/309135/63845/361886/367218/25181/685899/363212/116548/257645/59323/266611/303439/83467/363239/299897/498328/306347/89816/59107/304244/503000/362696/64018","MA"
"GO:0012505","CC","GO:0012505","endomembrane system",48,0.42179545355395,1.28710148494013,0.121052631578947,0.83420257592622,0.83420257592622,71,"tags=60%, list=35%, signal=51%","85431/300901/25181/58952/116548/303439/80849/498328/362465/89816/361694/64018/365057/54251/689560/192154/311857/364786/29598/171015/292999/290234/81925/58817/311215/291320/29606/367328/366016","MA"
"GO:0016324","CC","GO:0016324","apical plasma membrane",8,0.602717999186156,1.25130886056317,0.204283360790774,0.842537685933912,0.842537685933912,23,"tags=38%, list=11%, signal=35%","85431/309135/25390","MA"
"GO:0048731","BP","GO:0048731","system development",75,0.340081392859231,1.12169661989918,0.286592865928659,0.842537685933912,0.842537685933912,52,"tags=36%, list=26%, signal=43%","85431/309135/63845/361886/367218/25181/685899/363212/116548/59323/266611/303439/83467/363239/299897/498328/89816/59107/304244/503000/362696/64018/54251/689560/100361818/364786/29598","MA"
"GO:0005829","CC","GO:0005829","cytosol",49,-0.263874912475904,-0.969458209067108,0.55241935483871,0.919275099768956,0.919275099768956,44,"tags=31%, list=22%, signal=32%","60581/361197/64353/290986/296211/81740/117521/367314/305826/54348/288010/361256/116670/309025/63912","MA"
"GO:0019955","MF","GO:0019955","cytokine binding",3,-0.349663381071533,-0.580099144312147,0.922222222222222,0.9841603511741,0.9841603511741,25,"tags=67%, list=12%, signal=59%","140590/310914","MA"
"GO:00058291","CC","GO:0005829","cytosol",32,-0.71750567915029,-1.79889411970031,0.000180485257034854,0.0814903015057221,0.0814903015057221,25,"tags=38%, list=18%, signal=40%","688429/367314/353227/290986/288010/54348/116670/24851/686098/309025/493909/316424","SA"
"GO:00169031","MF","GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors",4,-0.988800392518451,-1.62750296684166,3.01307121390575e-05,0.0814903015057221,0.0814903015057221,3,"tags=50%, list=2%, signal=50%","493909/316424","SA"
"GO:00040311","MF","GO:0004031","aldehyde oxidase activity",2,-1,-1.44457730905092,0.000217481455846603,0.0814903015057221,0.0814903015057221,3,"tags=100%, list=2%, signal=99%","316424","SA"
"GO:00068051","BP","GO:0006805","xenobiotic metabolic process",2,-1,-1.44457730905092,0.000217481455846603,0.0814903015057221,0.0814903015057221,3,"tags=100%, list=2%, signal=99%","316424","SA"
"GO:00166231","MF","GO:0016623","oxidoreductase activity, acting on the aldehyde or oxo group of donors, oxygen as acceptor",2,-1,-1.44457730905092,0.000217481455846603,0.0814903015057221,0.0814903015057221,3,"tags=100%, list=2%, signal=99%","316424","SA"
"GO:00435461","MF","GO:0043546","molybdopterin cofactor binding",2,-1,-1.44457730905092,0.000217481455846603,0.0814903015057221,0.0814903015057221,3,"tags=100%, list=2%, signal=99%","316424","SA"
"GO:00515361","MF","GO:0051536","iron-sulfur cluster binding",2,-1,-1.44457730905092,0.000217481455846603,0.0814903015057221,0.0814903015057221,3,"tags=100%, list=2%, signal=99%","316424","SA"
"GO:00425541","BP","GO:0042554","superoxide anion generation",2,0.996898862023395,1.48571081207902,0.000483944122241546,0.164848966003552,0.164848966003552,1,"tags=50%, list=1%, signal=50%","85431","SA"
"GO:00060821","BP","GO:0006082","organic acid metabolic process",5,0.909093872777103,1.62233615373485,0.00186951466369102,0.511997504471131,0.511997504471131,6,"tags=40%, list=4%, signal=40%","85431/114506","SA"
"GO:00434361","BP","GO:0043436","oxoacid metabolic process",5,0.909093872777103,1.62233615373485,0.00186951466369102,0.511997504471131,0.511997504471131,6,"tags=40%, list=4%, signal=40%","85431/114506","SA"
"GO:00065201","BP","GO:0006520","cellular amino acid metabolic process",3,0.967575743427203,1.5547143409773,0.00204962972166185,0.511997504471131,0.511997504471131,1,"tags=33%, list=1%, signal=34%","85431","SA"
"GO:00125051","CC","GO:0012505","endomembrane system",30,0.57816855018943,1.64143848750354,0.00932981459588702,0.83503979512553,0.83503979512553,19,"tags=33%, list=14%, signal=37%","85431/303439/80849/25118/54251/89816/171015/308519/246232/246046","SA"
"GO:00163241","CC","GO:0016324","apical plasma membrane",5,0.8564081302496,1.5283150768711,0.0105480255016935,0.83503979512553,0.83503979512553,7,"tags=60%, list=5%, signal=59%","85431/309135/25390","SA"
"GO:00325021","BP","GO:0032502","developmental process",66,0.439985445201608,1.45374185391194,0.0130094345435262,0.83503979512553,0.83503979512553,16,"tags=20%, list=11%, signal=33%","85431/63845/298732/303439/309135/114506/25118/304244/54251/59107/89816/171015/315119","SA"
"GO:00430201","CC","GO:0043020","NADPH oxidase complex",1,1,1.34553087082367,0.0149313227310943,0.83503979512553,0.83503979512553,1,"tags=100%, list=1%, signal=100%","85431","SA"
"GO:00970381","CC","GO:0097038","perinuclear endoplasmic reticulum",1,1,1.34553087082367,0.0149313227310943,0.83503979512553,0.83503979512553,1,"tags=100%, list=1%, signal=100%","85431","SA"
"GO:00319841","CC","GO:0031984","organelle subcompartment",7,0.754342677354334,1.47901510903419,0.0498829308991039,0.839381720430108,0.839381720430108,19,"tags=43%, list=14%, signal=39%","85431/246232/246046","SA"
"GO:00709251","BP","GO:0070925","organelle assembly",13,-0.642351500251167,-1.36541243555997,0.122112211221122,0.839381720430108,0.839381720430108,18,"tags=38%, list=13%, signal=37%","304740/313278/29613/24851/100360334","SA"
"GO:00488561","BP","GO:0048856","anatomical structure development",63,0.400938796585562,1.30589225307385,0.0591302713482867,0.839381720430108,0.839381720430108,16,"tags=19%, list=11%, signal=31%","85431/63845/303439/309135/114506/25118/304244/54251/59107/89816/171015/315119","SA"
"GO:00058651","CC","GO:0005865","striated muscle thin filament",1,-0.971223021582734,-1.29520874520293,0.0826612903225806,0.839381720430108,0.839381720430108,6,"tags=100%, list=4%, signal=96%","","SA"
"GO:00312241","CC","GO:0031224","intrinsic component of membrane",31,0.45079280836884,1.29318491231985,0.109090909090909,0.839381720430108,0.839381720430108,19,"tags=42%, list=14%, signal=47%","85431/63845/303439/309135/114506/25390/25118/54251/89816/315119/308519/246232/246046","SA"
"GO:00300161","CC","GO:0030016","myofibril",6,-0.716223047195152,-1.28589701969702,0.191228070175439,0.839381720430108,0.839381720430108,11,"tags=83%, list=8%, signal=80%","24907/29715/116670/24851/100360334","SA"
"GO:00432921","CC","GO:0043292","contractile fiber",6,-0.716223047195152,-1.28589701969702,0.191228070175439,0.839381720430108,0.839381720430108,11,"tags=83%, list=8%, signal=80%","24907/29715/116670/24851/100360334","SA"
"GO:00072751","BP","GO:0007275","multicellular organism development",58,0.392572636180027,1.24414273792336,0.100946372239748,0.839381720430108,0.839381720430108,16,"tags=19%, list=11%, signal=29%","85431/63845/303439/309135/114506/25118/304244/54251/59107/89816/315119","SA"
"GO:00160211","CC","GO:0016021","integral component of membrane",30,0.431309583339626,1.22450131521478,0.150895140664962,0.839381720430108,0.839381720430108,19,"tags=40%, list=14%, signal=44%","85431/63845/303439/309135/114506/25390/25118/54251/315119/308519/246232/246046","SA"
"GO:00169221","MF","GO:0016922","nuclear receptor binding",2,-0.828468459270006,-1.19678673752582,0.214421252371917,0.839381720430108,0.839381720430108,4,"tags=100%, list=3%, signal=99%","309025","SA"
"GO:00058561","CC","GO:0005856","cytoskeleton",36,-0.457164686615289,-1.17908563328901,0.209756097560976,0.839381720430108,0.839381720430108,38,"tags=44%, list=27%, signal=44%","306941/312108/296372/304740/361745/290533/29715/307548/288010/54348/116670/24851/686098/100360334/498136/309025","SA"
"GO:00487311","BP","GO:0048731","system development",55,0.366182359856941,1.15471668735819,0.208459214501511,0.839381720430108,0.839381720430108,16,"tags=18%, list=11%, signal=27%","85431/63845/303439/309135/25118/304244/54251/59107/89816/315119","SA"
"GO:00990811","CC","GO:0099081","supramolecular polymer",17,-0.538123283836644,-1.20381158115968,0.223140495867769,0.855799177775009,0.855799177775009,42,"tags=59%, list=30%, signal=47%","24907/306941/304740/29715/314655/25043/116670/24851/100360334/498136","SA"
"GO:00995121","CC","GO:0099512","supramolecular fiber",17,-0.538123283836644,-1.20381158115968,0.223140495867769,0.855799177775009,0.855799177775009,42,"tags=59%, list=30%, signal=47%","24907/306941/304740/29715/314655/25043/116670/24851/100360334/498136","SA"
"GO:00550011","BP","GO:0055001","muscle cell development",5,-0.671032384044573,-1.16519658382875,0.314586994727592,0.891020888331669,0.891020888331669,8,"tags=80%, list=6%, signal=78%","24907/29715/24851/100360334","SA"
"GO:00037791","MF","GO:0003779","actin binding",6,-0.648377418623435,-1.16408791020034,0.312280701754386,0.891020888331669,0.891020888331669,8,"tags=83%, list=6%, signal=82%","171296/24907/312108/24851/100360334","SA"
"GO:19021151","BP","GO:1902115","regulation of organelle assembly",4,-0.698925285875204,-1.15038685761983,0.317028985507246,0.891020888331669,0.891020888331669,18,"tags=50%, list=13%, signal=45%","313278/29613","SA"
"GO:00516391","BP","GO:0051639","actin filament network formation",2,-0.778766497793203,-1.12498841176111,0.326375711574953,0.891020888331669,0.891020888331669,6,"tags=100%, list=4%, signal=97%","100360334","SA"
"GO:00080921","MF","GO:0008092","cytoskeletal protein binding",15,-0.513425137283185,-1.12424319530915,0.336092715231788,0.891020888331669,0.891020888331669,48,"tags=67%, list=34%, signal=49%","171296/500261/24907/312108/304740/29715/290986/24851/100360334/498136","SA"
"GO:20006491","BP","GO:2000649","regulation of sodium ion transmembrane transporter activity",3,-0.722627737226277,-1.11474094407454,0.354359925788497,0.891020888331669,0.891020888331669,42,"tags=100%, list=30%, signal=72%","290533/54348","SA"
"GO:00199551","MF","GO:0019955","cytokine binding",2,-0.491599612272826,-0.710153645027552,0.893738140417457,0.97944661735662,0.97944661735662,10,"tags=50%, list=7%, signal=47%","310914","SA"
"GO:00990812","CC","GO:0099081","supramolecular polymer",14,-0.726196470661853,-1.84275181535109,0.00165505881420496,0.781884099782663,0.781884099782663,22,"tags=50%, list=17%, signal=46%","24907/64353/361256/29715/24851/100360334/498136","HA"
"GO:00995122","CC","GO:0099512","supramolecular fiber",14,-0.726196470661853,-1.84275181535109,0.00165505881420496,0.781884099782663,0.781884099782663,22,"tags=50%, list=17%, signal=46%","24907/64353/361256/29715/24851/100360334/498136","HA"
"GO:00058562","CC","GO:0005856","cytoskeleton",31,-0.588896562247146,-1.81788448084669,0.00164289462990588,0.781884099782663,0.781884099782663,22,"tags=52%, list=17%, signal=57%","29491/688749/296372/24907/60581/290533/64353/361256/29715/288010/54348/24851/307548/309025/100360334/498136","HA"
"GO:00080922","MF","GO:0008092","cytoskeletal protein binding",16,-0.686436602386059,-1.7976830291477,0.00299734272848396,0.781884099782663,0.781884099782663,22,"tags=50%, list=17%, signal=47%","24907/64353/290986/361256/29715/24851/100360334/498136","HA"
"GO:00300162","CC","GO:0030016","myofibril",6,-0.875,-1.73682672263855,0.00185086347146103,0.781884099782663,0.781884099782663,22,"tags=100%, list=17%, signal=87%","64353/361256/29715/24851/100360334","HA"
"GO:00432922","CC","GO:0043292","contractile fiber",6,-0.875,-1.73682672263855,0.00185086347146103,0.781884099782663,0.781884099782663,22,"tags=100%, list=17%, signal=87%","64353/361256/29715/24851/100360334","HA"
"GO:00550012","BP","GO:0055001","muscle cell development",5,-0.867768595041322,-1.64832008167356,0.00565922925483718,0.781884099782663,0.781884099782663,22,"tags=100%, list=17%, signal=86%","64353/29715/24851/100360334","HA"
"GO:00312242","CC","GO:0031224","intrinsic component of membrane",30,0.584739210788225,1.64723973365104,0.00630852047514866,0.781884099782663,0.781884099782663,33,"tags=57%, list=26%, signal=55%","170641/63845/85431/25029/315119/81680/81810/140590/114506/116548/54251/170566/25236/298184/25390/29263/100362458","HA"
"GO:00037792","MF","GO:0003779","actin binding",8,-0.736399128074457,-1.6207851314044,0.0311549659524012,0.781884099782663,0.781884099782663,22,"tags=62%, list=17%, signal=55%","24907/64353/361256/24851/100360334","HA"
"GO:00488562","BP","GO:0048856","anatomical structure development",72,0.503413407634189,1.61469084436611,0.00148147742102378,0.781884099782663,0.781884099782663,29,"tags=35%, list=23%, signal=62%","309729/170641/63845/85431/307393/25029/305501/367218/315119/81680/298189/81810/140590/114506/304193/116548/116699/54251/305012/25236/685899/298184/298024/25485/311622","HA"
"GO:00160212","CC","GO:0016021","integral component of membrane",29,0.570916555132162,1.60089298868211,0.0119072651685257,0.781884099782663,0.781884099782663,33,"tags=55%, list=26%, signal=53%","170641/63845/85431/25029/315119/81680/81810/140590/114506/116548/54251/170566/298184/25390/29263/100362458","HA"
"GO:00325022","BP","GO:0032502","developmental process",74,0.492499312349354,1.59505258557701,0.00375283445438673,0.781884099782663,0.781884099782663,29,"tags=34%, list=23%, signal=63%","309729/170641/63845/85431/307393/25029/305501/367218/315119/81680/298189/81810/140590/114506/304193/116548/116699/54251/305012/25236/685899/298184/298024/25485/311622","HA"
"GO:00709252","BP","GO:0070925","organelle assembly",10,-0.680210683790398,-1.59226322408499,0.0381477463027131,0.781884099782663,0.781884099782663,29,"tags=50%, list=23%, signal=42%","84020/313278/24851/29613/100360334","HA"
"GO:00072752","BP","GO:0007275","multicellular organism development",65,0.492277295678933,1.57496075482918,0.00399062125521086,0.781884099782663,0.781884099782663,14,"tags=22%, list=11%, signal=40%","309729/170641/63845/85431/307393/25029/305501/367218/315119/81680/298189/81810/140590/114506","HA"
"GO:00487312","BP","GO:0048731","system development",61,0.491708062030391,1.56098691506031,0.00398886177856199,0.781884099782663,0.781884099782663,13,"tags=21%, list=10%, signal=37%","309729/170641/63845/85431/307393/25029/305501/367218/315119/81680/298189/81810/140590","HA"
"GO:00199552","MF","GO:0019955","cytokine binding",4,0.900747752022576,1.54721983817958,0.0125012573001061,0.781884099782663,0.781884099782663,13,"tags=75%, list=10%, signal=69%","81680/81810/140590","HA"
"GO:00058292","CC","GO:0005829","cytosol",37,-0.474769589244007,-1.5315199817012,0.018088135637684,0.781884099782663,0.781884099782663,24,"tags=32%, list=19%, signal=37%","294088/688429/60581/367846/64353/290986/361256/288010/54348/24851/309025/63912","HA"
"GO:00169222","MF","GO:0016922","nuclear receptor binding",3,-0.912452369826192,-1.49556574433574,0.0166741637125464,0.781884099782663,0.781884099782663,5,"tags=67%, list=4%, signal=66%","306764/309025","HA"
"GO:0004930","MF","GO:0004930","G protein-coupled receptor activity",2,0.967741935483871,1.4316446677397,0.0164798456848352,0.781884099782663,0.781884099782663,6,"tags=100%, list=5%, signal=97%","170641/25029","HA"
"GO:20006492","BP","GO:2000649","regulation of sodium ion transmembrane transporter activity",4,-0.80327868852459,-1.42275633234338,0.105950053901221,0.781884099782663,0.781884099782663,29,"tags=100%, list=23%, signal=80%","24907/290533/54348","HA"
"GO:00516392","BP","GO:0051639","actin filament network formation",2,-0.914982984554508,-1.38385444256995,0.0511486905811936,0.781884099782663,0.781884099782663,4,"tags=100%, list=3%, signal=98%","100360334","HA"
"GO:19021152","BP","GO:1902115","regulation of organelle assembly",5,-0.712685578077088,-1.35374102839899,0.101871101871102,0.781884099782663,0.781884099782663,21,"tags=40%, list=17%, signal=35%","313278/29613","HA"
"GO:00058652","CC","GO:0005865","striated muscle thin filament",1,-0.984,-1.32342661336379,0.0787457055020182,0.781884099782663,0.781884099782663,4,"tags=100%, list=3%, signal=98%","","HA"
"GO:00065202","BP","GO:0006520","cellular amino acid metabolic process",1,0.976,1.29293212597163,0.0622641509433962,0.781884099782663,0.781884099782663,4,"tags=100%, list=3%, signal=98%","85431","HA"
"GO:00430202","CC","GO:0043020","NADPH oxidase complex",1,0.976,1.29293212597163,0.0622641509433962,0.781884099782663,0.781884099782663,4,"tags=100%, list=3%, signal=98%","85431","HA"
"GO:00970382","CC","GO:0097038","perinuclear endoplasmic reticulum",1,0.976,1.29293212597163,0.0622641509433962,0.781884099782663,0.781884099782663,4,"tags=100%, list=3%, signal=98%","85431","HA"
"GO:00319842","CC","GO:0031984","organelle subcompartment",6,0.675609773441104,1.28362183102802,0.187022900763359,0.781884099782663,0.781884099782663,18,"tags=33%, list=14%, signal=30%","85431/116548","HA"
"GO:00425542","BP","GO:0042554","superoxide anion generation",2,0.847717362052027,1.25408437583656,0.206896551724138,0.804485129517109,0.804485129517109,4,"tags=50%, list=3%, signal=49%","85431","HA"
"GO:00060822","BP","GO:0006082","organic acid metabolic process",3,0.703936779097527,1.14407670859745,0.355339805825243,0.835539691916424,0.835539691916424,14,"tags=67%, list=11%, signal=61%","85431/114506","HA"
"GO:00434362","BP","GO:0043436","oxoacid metabolic process",3,0.703936779097527,1.14407670859745,0.355339805825243,0.835539691916424,0.835539691916424,14,"tags=67%, list=11%, signal=61%","85431/114506","HA"
"GO:00125052","CC","GO:0012505","endomembrane system",33,0.396468802171133,1.13750278102365,0.274247491638796,0.835539691916424,0.835539691916424,20,"tags=24%, list=16%, signal=28%","85431/307393/25029/140590/80849/116548/116699/54251","HA"
"GO:00163242","CC","GO:0016324","apical plasma membrane",7,0.441209371744111,0.880913567143049,0.623574144486692,0.931312033973631,0.931312033973631,13,"tags=29%, list=10%, signal=27%","85431/140590","HA"
